TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612738,Boston Celtics,17,10,7,0.588,831.0,35.8,84.4,0.423,11.2,36.0,0.311,19.8,24.6,0.803,8.7,32.3,41.0,21.8,12.4,6.4,4.7,4.7,21.6,21.9,102.5,-4.9,4,3,13,4,4,1,9,1,1,11,1,11,11,10,8,4,3,8,12,4,11,4,7,10,1,2
1610612751,Brooklyn Nets,4,0,4,0.0,192.0,45.0,91.0,0.495,17.8,41.0,0.433,18.5,23.5,0.787,9.3,41.8,51.0,30.5,12.0,7.0,5.5,4.5,22.5,21.3,126.3,20.5,14,14,1,14,14,16,16,15,15,14,16,8,8,8,10,15,16,16,13,8,14,5,12,12,16,16
1610612742,Dallas Mavericks,6,2,4,0.333,293.0,44.4,88.6,0.501,13.8,34.1,0.404,22.0,27.0,0.812,8.5,37.0,45.5,20.8,11.8,7.0,3.3,3.6,24.1,22.1,124.5,9.5,11,11,1,11,11,15,14,16,11,4,14,14,14,13,7,12,12,2,15,11,2,12,15,7,15,12
1610612743,Denver Nuggets,19,9,10,0.474,917.0,38.9,81.7,0.477,12.1,32.6,0.373,19.1,24.4,0.779,9.4,30.8,40.3,22.4,13.5,7.4,4.0,4.0,21.9,22.3,109.1,2.3,3,4,16,7,3,9,3,12,5,2,10,9,10,6,12,2,2,9,10,13,6,8,8,5,10,9
1610612745,Houston Rockets,12,5,7,0.417,581.0,38.3,82.9,0.462,12.0,34.5,0.347,17.3,22.6,0.769,9.0,38.6,47.6,20.9,16.9,6.3,4.9,3.5,18.4,22.0,106.0,-0.7,6,7,13,10,6,7,4,8,3,6,4,4,4,5,9,14,13,3,1,3,12,14,2,9,4,8
1610612754,Indiana Pacers,4,0,4,0.0,192.0,37.5,80.8,0.464,13.0,33.3,0.391,23.3,29.8,0.782,9.3,36.3,45.5,24.0,14.3,8.8,4.3,5.5,15.8,23.3,111.3,10.5,14,14,1,14,14,5,1,9,9,3,13,16,16,7,10,11,11,12,7,14,8,1,1,2,11,13
1610612746,LA Clippers,13,7,6,0.538,629.0,39.5,84.2,0.469,12.4,34.4,0.359,17.6,23.4,0.752,8.2,34.2,42.4,21.8,13.6,6.9,4.0,3.7,22.1,22.7,108.9,-4.2,5,5,12,5,5,11,7,11,8,5,8,5,7,3,6,7,6,7,9,6,7,11,9,3,9,3
1610612747,Los Angeles Lakers,21,16,5,0.762,1008.0,36.9,81.4,0.453,11.8,32.5,0.363,20.4,25.3,0.806,7.4,29.9,37.3,21.8,14.5,7.0,3.1,5.3,22.4,22.7,106.0,-6.9,1,1,10,1,2,4,2,6,2,1,9,13,12,11,3,1,1,5,6,7,1,3,11,4,3,1
1610612748,Miami Heat,21,14,7,0.667,1018.0,38.3,84.0,0.456,12.3,35.5,0.347,18.1,22.9,0.788,9.8,32.5,42.3,23.5,14.0,7.3,4.4,3.8,22.4,19.7,106.9,-2.0,1,2,13,2,1,6,5,7,7,9,5,7,5,9,14,5,5,11,8,12,9,10,10,14,5,6
1610612749,Milwaukee Bucks,10,5,5,0.5,485.0,36.8,84.0,0.438,14.8,39.6,0.375,20.3,24.0,0.847,7.1,36.1,43.2,24.0,14.7,7.0,3.6,4.2,21.0,21.5,108.8,-1.2,8,7,10,6,8,3,6,4,12,13,11,12,9,15,1,10,8,13,5,10,3,7,6,11,7,7
1610612760,Oklahoma City Thunder,7,3,4,0.429,341.0,38.9,89.4,0.435,18.0,50.3,0.359,13.1,16.2,0.809,7.3,35.3,42.7,21.1,12.5,9.1,3.8,3.9,22.7,16.9,108.8,6.3,9,9,1,8,9,8,15,3,16,16,7,1,1,12,2,8,7,4,11,16,5,9,13,16,8,10
1610612753,Orlando Magic,5,1,4,0.2,240.0,42.4,88.0,0.482,15.8,41.2,0.383,15.6,21.8,0.716,8.0,42.4,50.4,27.4,16.6,7.0,3.8,3.2,20.6,21.0,116.2,9.2,12,12,1,12,12,13,12,13,14,15,12,3,3,2,5,16,15,15,2,8,4,15,4,13,13,11
1610612755,Philadelphia 76ers,4,0,4,0.0,192.0,39.0,86.3,0.452,12.3,35.0,0.35,22.0,27.0,0.815,9.8,33.5,43.3,19.0,10.5,6.8,5.5,4.5,24.3,22.3,112.3,11.8,14,14,1,14,14,10,11,5,6,7,6,15,13,14,13,6,9,1,16,5,14,5,16,6,12,15
1610612757,Portland Trail Blazers,5,1,4,0.2,240.0,42.8,88.4,0.484,12.0,35.0,0.343,19.6,28.0,0.7,12.4,36.0,48.4,26.0,15.0,8.8,5.8,3.6,22.8,25.0,117.2,10.6,12,12,1,12,12,14,13,14,4,7,3,10,15,1,16,9,14,14,3,15,16,13,14,1,14,14
1610612761,Toronto Raptors,11,7,4,0.636,538.0,36.1,84.3,0.429,13.3,39.5,0.336,17.8,23.2,0.765,7.8,37.5,45.2,23.1,15.0,6.1,4.9,5.4,19.9,22.0,103.3,-4.0,7,5,1,3,7,2,8,2,10,12,2,6,6,4,4,13,10,10,4,2,13,2,3,8,2,4
