PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK
1631260,AJ Green,AJ,1610612749,MIL,25.0,5,1,4,0.2,27.0,110.5,2.4,0.085,0.121,0.0,0.0,0.2,0.111,6.0,6.2,7.2,21.2,-0.701,115,139,75,154,78,110,86,154,169,165,165,118,126,101,121,152,130,140
203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,14,7,7,0.5,37.3,113.9,4.0,0.104,0.149,0.6,0.099,0.4,0.119,13.1,10.1,12.9,41.6,-1.022,36,39,197,84,22,143,48,125,139,92,153,84,122,200,176,210,213,193
1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,3,3,0,1.0,9.1,116.7,0.3,0.038,0.067,0.0,0.0,0.0,0.0,4.7,4.3,5.3,12.0,-0.3,176,88,1,1,147,160,193,202,202,165,165,160,160,87,93,119,88,85
1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,18,13,5,0.722,28.8,109.7,4.8,0.156,0.243,0.8,0.184,0.8,0.212,7.2,9.6,4.2,27.9,-0.736,1,1,156,21,68,101,32,61,65,65,105,37,74,123,166,101,159,148
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,17,12,5,0.706,13.7,101.0,1.6,0.113,0.171,0.5,0.133,0.2,0.182,3.6,3.4,2.5,11.3,-0.287,23,16,156,37,129,42,128,114,123,111,128,114,86,74,81,65,86,82
1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,10,7,3,0.7,7.1,109.9,0.5,0.064,0.096,0.2,0.118,0.0,0.0,2.2,2.4,1.8,7.0,-0.196,61,39,57,39,164,103,184,181,185,150,140,160,160,50,66,49,61,66
201143,Al Horford,Al,1610612738,BOS,39.0,11,6,5,0.545,31.6,108.3,4.4,0.13,0.206,0.6,0.152,1.3,0.359,10.4,10.8,7.5,28.9,-0.789,51,46,156,77,56,85,41,96,96,83,114,11,35,170,184,156,163,155
202692,Alec Burks,Alec,1610612748,MIA,33.0,1,0,1,0.0,15.2,121.4,2.0,0.133,0.286,0.0,0.0,0.0,0.0,3.0,7.0,3.0,22.0,-0.461,212,180,10,180,121,182,100,92,35,165,165,160,160,65,136,73,134,103
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,18,13,5,0.722,23.1,101.1,1.9,0.082,0.138,1.7,0.29,0.5,0.196,5.7,6.3,3.8,18.8,-0.485,1,1,156,21,89,43,111,159,147,10,36,61,82,99,123,93,120,109
203458,Alex Len,Alex,1610612747,LAL,31.0,2,0,2,0.0,1.8,66.7,0.5,0.333,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-0.002,199,180,24,180,212,3,184,6,5,165,165,160,160,27,20,1,3,3
1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,7,3,4,0.429,36.6,104.0,8.9,0.225,0.335,1.9,0.317,0.4,0.115,10.0,8.4,8.7,24.6,-0.817,86,88,75,101,24,54,5,18,22,7,25,73,124,164,156,176,145,162
1641708,Amen Thompson,Amen,1610612745,HOU,22.0,7,3,4,0.429,33.1,109.6,4.1,0.116,0.173,1.7,0.353,0.9,0.25,11.1,9.1,9.0,25.4,-0.854,86,88,75,101,46,98,46,112,121,11,15,30,56,175,161,177,149,170
1641748,Andre Jackson Jr.,Andre,1610612749,MIL,23.0,2,0,2,0.0,2.4,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.031,199,180,24,180,208,21,204,204,204,165,165,160,160,1,1,1,3,9
1629614,Andrew Nembhard,Andrew,1610612754,IND,25.0,18,13,5,0.722,33.1,111.5,2.8,0.078,0.125,1.6,0.315,0.2,0.054,7.9,10.7,5.7,33.2,-0.874,1,1,156,21,45,121,77,163,163,13,27,115,151,134,183,124,188,173
203952,Andrew Wiggins,Andrew,1610612748,MIA,30.0,4,0,4,0.0,30.6,135.9,2.3,0.082,0.132,0.3,0.111,1.3,0.417,9.0,9.5,8.5,32.0,-1.22,153,180,75,180,60,207,92,158,157,141,145,12,28,151,164,172,178,214
1641710,Anthony Black,Anthony,1610612753,ORL,21.0,5,1,4,0.2,17.7,123.1,2.4,0.162,0.255,0.8,0.4,0.2,0.143,5.6,5.8,3.2,12.0,-0.587,115,139,75,154,110,187,86,53,49,61,11,118,104,98,118,78,88,129
1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,15,9,6,0.6,39.0,109.1,6.6,0.166,0.256,1.1,0.215,0.7,0.19,12.9,11.7,8.1,33.1,-0.97,27,28,186,51,13,92,10,50,47,36,77,42,84,197,203,165,185,187
1630574,Ariel Hukporti,Ariel,1610612752,NYK,23.0,3,1,2,0.333,1.5,87.5,0.7,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,-0.017,176,139,24,132,219,20,169,2,1,165,165,160,160,1,1,1,2,7
1641709,Ausar Thompson,Ausar,1610612765,DET,22.0,6,2,4,0.333,22.5,103.8,3.8,0.158,0.228,1.2,0.389,0.8,0.25,7.5,8.0,6.5,23.7,-0.516,104,121,75,132,91,51,51,58,72,29,12,32,56,128,153,140,142,115
1630559,Austin Reaves,Austin,1610612747,LAL,27.0,5,1,4,0.2,39.3,116.2,4.6,0.106,0.189,0.2,0.053,0.6,0.143,15.8,16.4,14.2,40.4,-1.137,115,139,75,154,10,158,36,124,106,150,162,51,104,213,218,216,212,209
1628389,Bam Adebayo,Bam,1610612748,MIA,27.0,4,0,4,0.0,38.4,132.4,7.0,0.199,0.318,1.0,0.286,0.3,0.143,14.0,13.3,10.3,36.0,-1.451,153,180,75,180,17,205,7,28,28,39,37,102,104,203,214,190,202,218
1631248,Baylor Scheierman,Baylor,1610612738,BOS,24.0,4,3,1,0.75,5.6,114.3,0.8,0.158,0.25,0.0,0.0,0.0,0.0,0.8,1.8,2.8,3.5,-0.153,153,88,10,13,176,146,164,55,56,165,165,160,160,21,53,71,30,54
1641767,Ben Sheppard,Ben,1610612754,IND,23.0,16,11,5,0.688,13.8,117.4,1.4,0.1,0.168,0.3,0.114,0.1,0.043,4.3,3.8,3.4,13.8,-0.419,25,19,156,40,128,165,134,133,124,141,142,158,155,82,87,85,97,95
1627732,Ben Simmons,Ben,1610612746,LAC,28.0,5,2,3,0.4,8.3,91.0,0.8,0.091,0.148,0.2,0.143,0.8,0.667,2.6,0.8,2.6,9.6,-0.139,115,121,57,124,152,24,157,145,140,150,117,34,6,56,14,69,82,46
1631097,Bennedict Mathurin,Bennedict,1610612754,IND,22.0,17,12,5,0.706,16.4,115.5,1.8,0.1,0.167,0.3,0.128,0.2,0.111,4.9,5.9,3.8,17.3,-0.491,23,16,156,37,116,155,116,129,125,140,130,132,126,91,120,92,113,111
1626171,Bobby Portis,Bobby,1610612749,MIL,30.0,5,1,4,0.2,31.7,111.1,6.6,0.198,0.273,0.4,0.111,0.4,0.167,6.2,7.6,8.6,26.0,-0.831,115,139,75,154,55,117,10,29,41,120,145,76,93,107,147,174,152,166
203992,Bogdan Bogdanović,Bogdan,1610612746,LAC,32.0,7,3,4,0.429,16.8,103.9,2.1,0.128,0.197,0.4,0.143,0.0,0.0,4.7,5.3,5.4,14.6,-0.382,86,88,75,101,113,52,98,97,102,117,117,160,160,89,112,121,101,89
1641764,Brandin Podziemski,Brandin,1610612744,GSW,22.0,12,5,7,0.417,32.1,109.6,3.7,0.117,0.186,1.3,0.217,0.2,0.054,10.8,9.0,7.8,33.7,-0.809,44,55,197,118,53,99,58,110,111,25,73,133,151,173,159,160,190,161
