season,team_id,team,team_name,game_id,game_date,matchup,wl,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank,available_flag,season_start,season_end,is_home,home,away
2020-21,1610612763,MEM,Memphis Grizzlies,42000144,2021-05-31,MEM vs. UTA,L,48.0,109.9,111.9,118.4,118.8,-8.5,-6.9,0.605,2.89,18.8,0.22,0.813,0.51,0.089,0.522,0.561,102.1,101.0,84.17,101,0.48,1,86,86,86,7,94,115,115,44,21,44,124,20,65,24,97,95,31,96,1,2020,2021,True,MEM,UTA
2020-21,1610612764,WAS,Washington Wizards,42000104,2021-05-31,WAS vs. PHI,W,48.0,113.5,110.9,103.7,105.6,9.8,5.4,0.6,1.71,16.1,0.309,0.778,0.559,0.127,0.506,0.573,108.7,109.0,90.83,110,0.591,1,1,1,1,7,105,47,67,51,92,91,48,48,15,89,108,82,1,28,1,2020,2021,True,WAS,PHI
2020-21,1610612762,UTA,Utah Jazz,42000144,2021-05-31,UTA @ MEM,W,48.0,118.4,118.8,109.9,111.9,8.5,6.9,0.59,2.09,17.3,0.188,0.78,0.49,0.109,0.559,0.617,102.1,101.0,84.17,101,0.52,1,1,1,1,7,56,76,56,60,65,74,149,45,106,56,59,48,31,75,1,2020,2021,False,MEM,UTA
2020-21,1610612755,PHI,Philadelphia 76ers,42000104,2021-05-31,PHI @ WAS,L,48.0,103.7,105.6,113.5,110.9,-9.8,-5.4,0.525,1.91,14.7,0.222,0.691,0.441,0.102,0.479,0.514,108.7,109.0,90.83,108,0.409,1,86,86,86,7,124,66,104,104,77,126,120,123,156,45,135,135,1,143,1,2020,2021,False,WAS,PHI
2020-21,1610612742,DAL,Dallas Mavericks,42000174,2021-05-30,DAL vs. LAC,L,48.0,83.8,86.2,116.5,115.2,-32.7,-29.0,0.484,1.88,12.0,0.254,0.795,0.477,0.085,0.376,0.41,93.8,93.0,77.5,94,0.299,1,86,86,86,7,166,95,164,125,79,156,101,33,124,18,169,170,133,168,1,2020,2021,True,DAL,LAC
2020-21,1610612746,LAC,LA Clippers,42000174,2021-05-30,LAC @ DAL,W,48.0,116.5,115.2,83.8,86.2,32.7,29.0,0.432,1.33,13.7,0.205,0.746,0.523,0.13,0.565,0.602,93.8,93.0,77.5,92,0.701,1,1,1,1,7,76,5,7,148,134,141,134,70,47,101,55,59,133,3,1,2020,2021,False,DAL,LAC
2020-21,1610612752,NYK,New York Knicks,42000134,2021-05-30,NYK @ ATL,L,48.0,102.0,100.0,117.3,120.2,-15.3,-20.2,0.706,2.67,18.9,0.167,0.787,0.474,0.094,0.475,0.527,95.2,95.0,79.17,96,0.446,1,86,86,86,7,140,118,155,6,30,42,157,43,130,29,141,127,105,120,1,2020,2021,False,ATL,NYK
2020-21,1610612756,PHX,Phoenix Suns,42000154,2021-05-30,PHX @ LAL,W,48.0,105.0,102.0,94.6,94.8,10.4,7.2,0.649,2.4,18.3,0.17,0.788,0.476,0.102,0.494,0.531,96.2,97.5,81.25,98,0.577,1,1,1,1,7,135,13,55,21,42,53,155,42,125,46,120,120,65,40,1,2020,2021,False,LAL,PHX
2020-21,1610612751,BKN,Brooklyn Nets,42000114,2021-05-30,BKN @ BOS,W,48.0,145.1,143.9,123.0,129.9,22.1,14.0,0.604,2.9,21.0,0.306,0.64,0.5,0.102,0.675,0.733,99.8,97.5,81.25,98,0.57,1,1,1,1,7,1,153,33,50,20,12,50,152,82,46,5,1,65,43,1,2020,2021,False,BOS,BKN
2020-21,1610612737,ATL,Atlanta Hawks,42000134,2021-05-30,ATL vs. NYK,W,48.0,117.3,120.2,102.0,100.0,15.3,20.2,0.667,2.18,18.8,0.213,0.833,0.526,0.117,0.53,0.599,95.2,95.0,79.17,94,0.554,1,1,1,1,7,53,25,16,13,54,46,128,9,40,73,91,61,105,51,1,2020,2021,True,ATL,NYK
2020-21,1610612738,BOS,Boston Celtics,42000114,2021-05-30,BOS vs. BKN,L,48.0,123.0,129.9,145.1,143.9,-22.1,-14.0,0.649,2.18,17.4,0.36,0.694,0.5,0.113,0.524,0.615,99.8,97.5,81.25,97,0.43,1,86,86,86,7,17,170,138,21,54,72,19,121,82,65,96,49,65,128,1,2020,2021,True,BOS,BKN
2020-21,1610612747,LAL,Los Angeles Lakers,42000154,2021-05-30,LAL vs. PHX,L,48.0,94.6,94.8,105.0,102.0,-10.4,-7.2,0.594,1.19,15.0,0.212,0.83,0.524,0.165,0.475,0.51,96.2,97.5,81.25,97,0.423,1,86,86,86,7,158,35,116,58,147,115,129,15,46,149,141,139,65,131,1,2020,2021,True,LAL,PHX
2020-21,1610612764,WAS,Washington Wizards,42000103,2021-05-29,WAS vs. PHI,L,48.0,101.0,100.0,126.0,130.7,-25.0,-30.7,0.474,2.25,13.1,0.262,0.725,0.446,0.078,0.438,0.481,103.4,102.0,85.0,103,0.346,1,86,86,86,7,140,157,167,131,49,147,94,86,152,13,158,158,17,164,1,2020,2021,True,WAS,PHI
2020-21,1610612763,MEM,Memphis Grizzlies,42000143,2021-05-29,MEM vs. UTA,L,48.0,111.9,114.4,122.4,124.7,-10.4,-10.3,0.535,2.56,16.5,0.362,0.795,0.549,0.093,0.495,0.523,99.0,97.0,80.83,97,0.464,1,86,86,86,7,81,135,127,98,35,82,18,33,22,26,117,131,75,107,1,2020,2021,True,MEM,UTA
2020-21,1610612755,PHI,Philadelphia 76ers,42000103,2021-05-29,PHI @ WAS,W,48.0,126.0,130.7,101.0,100.0,25.0,30.7,0.608,1.94,21.7,0.275,0.738,0.554,0.158,0.684,0.689,103.4,102.0,85.0,101,0.654,1,1,1,1,7,14,25,4,42,73,7,83,77,19,141,3,4,17,7,1,2020,2021,False,WAS,PHI
2020-21,1610612757,POR,Portland Trail Blazers,42000164,2021-05-29,POR vs. DEN,W,48.0,118.6,123.7,96.3,102.2,22.3,21.5,0.571,4.0,19.0,0.222,0.667,0.481,0.065,0.571,0.605,97.8,93.0,77.5,93,0.624,1,1,1,1,7,42,37,14,79,7,39,120,134,116,5,52,56,133,13,1,2020,2021,True,POR,DEN
