GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK
Players,201143,Al Horford,Al,1610612737,ATL,30.0,41,22,19,0.537,3.8,0.721,0.279,0.718,0.385,0.192,0.051,0.09,0.026,0.333,0.857,0.143,1.0,0.0,0.879,0.121,33,61,0.541,22,25,379,165,71,181,198,77,26,155,149,287,233,171,68,249,1,82,84,258,21,38,81
Players,203471,Dennis Schröder,Dennis,1610612737,ATL,22.0,14,4,10,0.286,3.6,0.542,0.458,0.5,0.143,0.214,0.036,0.286,0.321,0.357,0.286,0.714,1.0,0.0,0.444,0.556,9,24,0.375,242,270,238,370,99,259,120,163,120,140,165,167,35,162,219,100,1,82,237,103,126,111,209
Players,201952,Jeff Teague,Jeff,1610612737,ATL,28.0,36,22,14,0.611,3.2,0.817,0.183,0.471,0.047,0.106,0.118,0.423,0.165,0.424,0.0,1.0,0.333,0.667,0.043,0.957,23,60,0.383,59,25,298,99,153,146,233,191,182,187,94,84,120,135,270,1,180,25,312,30,42,40,204
Players,203145,Kent Bazemore,Kent,1610612737,ATL,26.0,36,19,17,0.528,3.2,0.686,0.314,0.373,0.034,0.254,0.102,0.373,0.136,0.339,0.455,0.545,1.0,0.0,0.625,0.375,16,35,0.457,59,64,341,171,144,188,191,240,185,125,108,107,146,170,181,139,1,82,163,178,69,79,139
Players,2550,Kirk Hinrich,Kirk,1610612737,ATL,35.0,12,8,4,0.667,2.5,0.5,0.5,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,2,0.5,257,195,127,61,243,268,92,320,195,27,175,88,234,303,270,257,194,1,313,1,279,316,98
Players,2743,Kris Humphries,Kris,1610612737,ATL,31.0,8,4,4,0.5,1.2,0.2,0.8,0.182,0.182,0.818,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4,5,0.8,296,270,127,188,368,352,25,305,93,11,175,299,234,303,1,257,1,82,1,264,197,269,30
Players,2594,Kyle Korver,Kyle,1610612737,ATL,35.0,40,21,19,0.525,3.4,0.273,0.727,0.077,0.0,0.808,0.231,0.115,0.115,0.077,1.0,0.0,0.857,0.143,0.875,0.125,8,22,0.364,28,33,379,176,130,341,38,318,195,13,35,278,165,296,1,257,130,74,85,252,138,120,224
Players,203934,Lamar Patterson,Lamar,1610612737,ATL,24.0,2,2,0,1.0,0.4,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1.0,374,326,1,1,415,1,275,88,195,209,175,125,30,46,1,257,194,82,1,264,279,337,1
Players,203488,Mike Muscala,Mike,1610612737,ATL,24.0,6,4,2,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,312,270,75,61,406,363,275,320,195,209,175,1,234,303,270,257,194,82,313,264,342,379,342
Players,203118,Mike Scott,Mike,1610612737,ATL,27.0,12,4,8,0.333,0.8,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1,6,0.167,257,270,204,330,390,325,49,320,195,1,175,299,234,303,270,257,1,82,1,264,279,255,324
Players,200794,Paul Millsap,Paul,1610612737,ATL,31.0,41,23,18,0.561,3.8,0.859,0.141,0.615,0.051,0.077,0.026,0.308,0.141,0.564,0.5,0.5,1.0,0.0,0.538,0.462,26,71,0.366,22,19,361,138,67,137,242,114,179,194,170,154,142,77,138,146,1,82,193,147,32,27,222
Players,200757,Thabo Sefolosha,Thabo,1610612737,ATL,32.0,34,17,17,0.5,2.3,0.533,0.467,0.143,0.0,0.429,0.429,0.428,0.429,0.143,1.0,0.0,1.0,0.0,1.0,0.0,3,15,0.2,76,88,341,188,264,263,115,311,195,67,16,79,19,281,1,257,1,82,1,264,223,163,319
Players,201168,Tiago Splitter,Tiago,1610612737,ATL,31.0,4,2,2,0.5,0.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1.0,339,326,75,188,403,1,275,1,195,209,175,299,234,1,270,1,194,82,313,1,279,337,1
Players,203501,Tim Hardaway Jr.,Tim,1610612737,ATL,24.0,8,3,5,0.375,0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,296,293,153,308,404,1,275,320,195,209,175,299,234,303,270,257,194,82,313,264,342,337,342
