GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,ROUND,GAME_NO_IN_SERIES
42400141,2025-04-20,MEM,OKC,RND1,1
42400142,2025-04-22,MEM,OKC,RND1,2
42400143,2025-04-24,OKC,MEM,RND1,3
42400144,2025-04-26,OKC,MEM,RND1,4
42400221,2025-05-05,DEN,OKC,SF,1
42400222,2025-05-07,DEN,OKC,SF,2
42400223,2025-05-09,OKC,DEN,SF,3
42400224,2025-05-11,OKC,DEN,SF,4
42400225,2025-05-13,DEN,OKC,SF,5
42400226,2025-05-15,OKC,DEN,SF,6
42400227,2025-05-18,DEN,OKC,SF,7
42400311,2025-05-20,MIN,OKC,CONF,1
42400312,2025-05-22,MIN,OKC,CONF,2
42400313,2025-05-24,OKC,MIN,CONF,3
42400314,2025-05-26,OKC,MIN,CONF,4
42400315,2025-05-28,MIN,OKC,CONF,5
42400401,2025-06-05,IND,OKC,FINALS,1
