player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Harrison Barnes,SAS,40,Forward,80.0,225.0,North Carolina,USA,https://www.nba.com/player/203084/harrison-barnes,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,12.0,False,2012.0,1.0,7.0,Drafted,barneha01
Charles Bassey,SAS,28,Center-Forward,82.0,230.0,Western Kentucky,Nigeria,https://www.nba.com/player/1629646/charles-bassey,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,2021.0,2.0,53.0,Drafted,bassech01
Bismack Biyombo,SAS,15,Center,80.0,255.0,Baloncesto Fuenlabrada,DRC,https://www.nba.com/player/202687/bismack-biyombo,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,13.0,False,2011.0,1.0,7.0,Drafted,biyombi01
Malaki Branham,SAS,22,Forward,76.0,180.0,Ohio State,USA,https://www.nba.com/player/1631103/malaki-branham,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2022.0,1.0,20.0,Drafted,branhma01
Stephon Castle,SAS,5,Guard,78.0,215.0,Connecticut,USA,https://www.nba.com/player/1642264/stephen-castle,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,1.0,4.0,Drafted,castlst01
Julian Champagnie,SAS,30,Forward,79.0,217.0,St. John's,USA,https://www.nba.com/player/1630577/julian-champagnie,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/fallback.png,1980-01-01,2.0,False,0.0,0.0,0.0,UDF,champju01
David Duke Jr.,SAS,7,Guard,76.0,204.0,Providence,USA,https://www.nba.com/player/1630561/david-duke-jr,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,jr.da0100
De'Aaron Fox,SAS,4,Guard,75.0,185.0,Kentucky,USA,https://www.nba.com/player/1628368/de'aaron-fox,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/1630173.png,1980-01-01,,False,0.0,0.0,0.0,UDF,foxde0100
Harrison Ingram,SAS,55,Forward,77.0,230.0,North Carolina,USA,https://www.nba.com/player/1631127/harrison-ingram,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,2.0,48.0,Drafted,ingraha01
Keldon Johnson,SAS,0,Forward-Guard,77.0,220.0,Kentucky,USA,https://www.nba.com/player/1629640/keldon-johnson,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,5.0,False,2019.0,1.0,29.0,Drafted,johnske01
