season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2021-22,1629027,Trae Young,Trae,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,34.233333333333334,0,5,0,6,13,4,11,38,0,2,4,3,45.5,1,1,1,1,4149,11791,1092,9479,6157,21206,8222,21584,22801,8184,23744,22177,4544,1645,1,34:14,2021,2022
2021-22,203991,Clint Capela,Clint,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,23.33333333333333,0,8,2,14,4,4,7,22,2,0,2,2,42.6,1,1,1,1,13371,11791,161,4874,851,6255,8222,15757,12135,702,1,11965,7362,2236,1,23:20,2021,2022
2021-22,1630552,Jalen Johnson,Jalen,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,25364,11791,10350,9479,19255,1,1,1,1,8184,1,1,18239,25086,1,1:57,2021,2022
2021-22,1627789,Timothe Luwawu-Cabarrot,Timothe,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,7.483333333333333,0,0,0,0,2,2,2,4,0,0,0,0,1.4,1,1,1,1,23054,11791,10350,9479,19255,2820,3597,4596,1532,8184,1,1,18239,24520,1,7:29,2021,2022
2021-22,1630219,Skylar Mays,Skylar,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,25364,11791,10350,9479,19255,1,1,1,1,8184,1,1,18239,25086,1,1:57,2021,2022
2021-22,1630536,Sharife Cooper,Sharife,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,1,25457,11791,10350,9479,19255,1,1,1,1,8184,1,1,18239,25086,1,1:45,2021,2022
2021-22,1630168,Onyeka Okongwu,Onyeka,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,22.716666666666665,0,0,0,6,11,4,6,24,1,0,5,3,22.3,1,1,1,1,13834,11791,10350,9479,6157,18735,8222,13723,13736,2399,1,24672,4544,11040,1,22:43,2021,2022
2021-22,1629631,De'Andre Hunter,De'Andre,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,32.56666666666667,5,0,2,4,9,6,7,32,0,1,1,3,22.4,1,1,1,1,5529,1634,10350,4874,9370,15637,12662,15757,19540,8184,17438,5520,4544,10981,1,32:34,2021,2022
2021-22,203992,Bogdan Bogdanović,Bogdan,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,27.99333333333333,3,0,6,2,11,6,6,28,0,0,1,3,37.7,1,1,1,1,9522,4176,10350,615,13710,18735,12662,13723,16764,8184,1,5520,4544,3571,1,27:60,2021,2022
2021-22,1628989,Kevin Huerter,Kevin,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,30.48333333333333,3,0,0,2,4,6,7,26,0,1,3,0,23.5,1,1,1,1,7386,4176,10350,9479,13710,6255,12662,15757,15247,8184,17438,17825,18239,10350,1,30:29,2021,2022
2021-22,201568,Danilo Gallinari,Danilo,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,31.54,5,4,3,6,10,4,13,32,1,0,2,3,34.8,1,1,1,1,6472,1634,1761,3004,6157,17238,8222,23376,19540,2399,1,11965,4544,4609,1,31:32,2021,2022
2021-22,1628995,Kevin Knox II,Kevin,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,1.95,0,0,1,0,0,0,0,0,0,0,1,1,3.4,1,1,1,1,25364,11791,10350,9187,19255,1,1,1,1,8184,1,5520,11915,23371,1,1:57,2021,2022
2021-22,1626153,Delon Wright,Delon,1610612737,ATL,Atlanta Hawks,22101221,2022-04-10T00:00:00,ATL @ HOU,W,22.05,0,0,0,0,11,4,6,24,0,0,0,1,11.9,1,1,1,1,14385,11791,10350,9479,19255,18735,8222,13723,13736,8184,1,1,11915,18182,1,22:03,2021,2022
2021-22,1628989,Kevin Huerter,Kevin,1610612737,ATL,Atlanta Hawks,22101207,2022-04-08T00:00:00,ATL @ MIA,L,29.916666666666668,2,2,0,4,9,6,15,40,0,0,5,2,35.9,1,13121,13121,13121,7896,6291,5180,9479,9370,15637,12662,24521,23547,8184,1,24672,7362,4222,1,29:55,2021,2022
2021-22,1626153,Delon Wright,Delon,1610612737,ATL,Atlanta Hawks,22101207,2022-04-08T00:00:00,ATL @ MIA,L,21.23333333333333,0,0,0,2,7,3,3,12,0,0,1,0,11.9,1,13121,13121,13121,15063,11791,10350,9479,13710,12040,6721,7883,5301,8184,1,5520,18239,18182,1,21:14,2021,2022
2021-22,203991,Clint Capela,Clint,1610612737,ATL,Atlanta Hawks,22101207,2022-04-08T00:00:00,ATL @ MIA,L,26.921666666666667,1,7,0,14,7,6,10,32,0,0,2,2,33.8,1,13121,13121,13121,10439,11290,338,9479,851,12040,12662,20409,19540,8184,1,11965,7362,5006,1,26:55,2021,2022
2021-22,1629027,Trae Young,Trae,1610612737,ATL,Atlanta Hawks,22101207,2022-04-08T00:00:00,ATL @ MIA,L,36.03333333333333,6,4,5,10,12,7,12,44,0,1,1,7,45.4,1,13121,13121,13121,2672,944,1761,1120,2401,20088,14881,22577,24724,8184,17438,5520,507,1664,1,36:02,2021,2022
