season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2017-18,1610612739,41700131,2018-04-15,IND,CLE,IND,1610612754,80,98,L,-18,rnd1,1
2017-18,1610612739,41700132,2018-04-18,IND,CLE,IND,1610612754,100,97,W,3,rnd1,2
2017-18,1610612739,41700133,2018-04-20,CLE,IND,IND,1610612754,90,92,L,-2,rnd1,3
2017-18,1610612739,41700134,2018-04-22,CLE,IND,IND,1610612754,104,100,W,4,rnd1,4
2017-18,1610612739,41700135,2018-04-25,IND,CLE,IND,1610612754,98,95,W,3,rnd1,5
2017-18,1610612739,41700136,2018-04-27,CLE,IND,IND,1610612754,87,121,L,-34,rnd1,6
2017-18,1610612739,41700137,2018-04-29,IND,CLE,IND,1610612754,105,101,W,4,rnd1,7
2017-18,1610612739,41700201,2018-05-01,CLE,TOR,TOR,1610612761,113,112,W,1,sf,1
2017-18,1610612739,41700202,2018-05-03,CLE,TOR,TOR,1610612761,128,110,W,18,sf,2
2017-18,1610612739,41700203,2018-05-05,TOR,CLE,TOR,1610612761,105,103,W,2,sf,3
2017-18,1610612739,41700204,2018-05-07,TOR,CLE,TOR,1610612761,128,93,W,35,sf,4
2017-18,1610612739,41700301,2018-05-13,CLE,BOS,BOS,1610612738,83,108,L,-25,conf,1
2017-18,1610612739,41700302,2018-05-15,CLE,BOS,BOS,1610612738,94,107,L,-13,conf,2
2017-18,1610612739,41700303,2018-05-19,BOS,CLE,BOS,1610612738,116,86,W,30,conf,3
2017-18,1610612739,41700304,2018-05-21,BOS,CLE,BOS,1610612738,111,102,W,9,conf,4
2017-18,1610612739,41700305,2018-05-23,CLE,BOS,BOS,1610612738,83,96,L,-13,conf,5
2017-18,1610612739,41700306,2018-05-25,BOS,CLE,BOS,1610612738,109,99,W,10,conf,6
2017-18,1610612739,41700307,2018-05-27,CLE,BOS,BOS,1610612738,87,79,W,8,conf,7
2017-18,1610612739,41700401,2018-05-31,CLE,GSW,GSW,1610612744,114,124,L,-10,finals,1
2017-18,1610612739,41700402,2018-06-03,CLE,GSW,GSW,1610612744,103,122,L,-19,finals,2
2017-18,1610612739,41700403,2018-06-06,GSW,CLE,GSW,1610612744,102,110,L,-8,finals,3
2017-18,1610612739,41700404,2018-06-08,GSW,CLE,GSW,1610612744,85,108,L,-23,finals,4
