game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
42100161,2022-04-16,DEN,GSW,123,107.0,rnd1,1
42100162,2022-04-18,DEN,GSW,126,106.0,rnd1,2
42100163,2022-04-21,GSW,DEN,118,113.0,rnd1,3
42100164,2022-04-24,GSW,DEN,121,126.0,rnd1,4
42100165,2022-04-27,DEN,GSW,102,98.0,rnd1,5
42100231,2022-05-01,GSW,MEM,117,116.0,sf,1
42100232,2022-05-03,GSW,MEM,101,106.0,sf,2
42100233,2022-05-07,MEM,GSW,142,112.0,sf,3
42100234,2022-05-09,MEM,GSW,101,98.0,sf,4
42100235,2022-05-11,GSW,MEM,95,134.0,sf,5
42100236,2022-05-13,MEM,GSW,110,96.0,sf,6
42100311,2022-05-18,DAL,GSW,112,87.0,conf,1
42100312,2022-05-20,DAL,GSW,126,117.0,conf,2
42100313,2022-05-22,GSW,DAL,109,100.0,conf,3
42100314,2022-05-24,GSW,DAL,109,119.0,conf,4
42100315,2022-05-26,DAL,GSW,120,110.0,conf,5
42100401,2022-06-02,BOS,GSW,108,120.0,finals,1
42100402,2022-06-05,BOS,GSW,107,88.0,finals,2
42100403,2022-06-08,GSW,BOS,100,116.0,finals,3
42100404,2022-06-10,GSW,BOS,107,97.0,finals,4
42100405,2022-06-13,BOS,GSW,104,94.0,finals,5
42100406,2022-06-16,GSW,BOS,103,90.0,finals,6
