GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1630558,Davion Mitchell,Davion,1610612758,SAC,24.0,4,2,2,0.5,39.5,4.2,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,4.2,8.3,4.2,8.3,0.0,0.0,0.0,0.0,0.0,8.3,16.7,16.3,0,0,20.8,38,37,35,47,101,60,89,1,39,75,39,59,60,59,24,60,47,38,11,39,26,25,83,67,74,45,91,41,5,85
Players,1628368,De'Aaron Fox,De'Aaron,1610612758,SAC,25.0,4,2,2,0.5,43.9,15.0,42.5,0.353,10.0,15.0,0.667,10.0,15.0,0.667,2.5,5.0,7.5,7.5,7.5,0.0,0.0,5.0,0.0,10.0,50.0,25.0,62.8,0,0,75.0,38,37,35,47,79,16,5,56,6,16,9,23,20,44,38,55,53,21,14,39,26,7,83,19,11,30,17,41,5,11
Players,1627734,Domantas Sabonis,Domantas,1610612758,SAC,27.0,4,2,2,0.5,43.8,7.5,10.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.5,17.5,0.0,2.5,0.0,0.0,2.5,0.0,0.0,15.0,25.0,33.5,2,0,32.5,38,37,35,47,83,43,66,16,39,75,39,59,60,59,19,15,15,54,36,39,26,17,83,67,61,30,66,12,5,59
Players,203084,Harrison Barnes,Harrison,1610612758,SAC,31.0,4,2,2,0.5,43.9,10.0,17.5,0.571,2.5,7.5,0.333,0.0,0.0,0.0,2.5,0.0,2.5,5.0,0.0,0.0,0.0,0.0,0.0,2.5,22.5,25.0,33.0,0,0,32.5,38,37,35,47,79,29,38,27,32,42,26,59,60,59,38,73,80,33,42,39,26,25,83,58,41,30,68,41,5,59
Players,1631099,Keegan Murray,Keegan,1610612758,SAC,22.0,2,0,2,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0,0,20.0,75,92,35,92,88,75,96,75,39,75,39,59,60,59,46,4,10,54,42,39,26,25,83,67,89,63,82,41,5,88
Players,1628989,Kevin Huerter,Kevin,1610612758,SAC,24.0,1,1,0,1.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,66.7,0.0,0,0,0.0,97,66,119,1,86,75,96,75,39,75,39,59,60,59,46,73,83,54,42,39,26,25,17,67,89,9,108,41,5,108
Players,1628370,Malik Monk,Malik,1610612758,SAC,25.0,4,2,2,0.5,43.9,2.5,10.0,0.25,0.0,2.5,0.0,25.0,27.5,0.909,2.5,5.0,7.5,5.0,0.0,5.0,0.0,2.5,2.5,15.0,30.0,25.0,61.5,0,0,52.5,38,37,35,47,79,72,66,63,39,70,39,6,6,33,38,55,53,33,42,15,26,17,77,8,31,30,20,41,5,33
Players,1626168,Trey Lyles,Trey,1610612758,SAC,27.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,97,66,119,1,127,75,96,75,39,75,39,59,60,59,46,73,83,54,42,39,26,25,83,67,89,63,108,41,5,108
