season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end
2021-22,1610612744,GSW,Golden State Warriors,42100406,2022-06-16T00:00:00,GSW @ BOS,W,48.0,15.0,15.8,9.8,24.0,20.3,9.8,9.0,28.5,0,0,0,1,3,47,16,53,144,163,93,92,56,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100406,2022-06-16T00:00:00,BOS vs. GSW,L,48.0,20.3,9.8,9.0,28.5,15.0,15.8,9.8,24.0,0,0,0,88,3,11,74,71,107,123,156,105,21,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100405,2022-06-13T00:00:00,GSW vs. BOS,W,48.0,16.5,5.3,9.0,37.5,6.8,12.0,6.0,27.0,0,0,0,1,3,32,138,71,33,22,124,44,44,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100405,2022-06-13T00:00:00,BOS @ GSW,L,48.0,6.8,12.0,6.0,27.0,16.5,5.3,9.0,37.5,0,0,0,88,3,146,46,119,120,137,22,92,130,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100404,2022-06-10T00:00:00,GSW @ BOS,W,48.0,14.3,14.3,6.0,28.5,12.8,9.0,10.5,24.0,0,0,0,1,3,53,26,119,107,92,82,123,21,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100404,2022-06-10T00:00:00,BOS vs. GSW,L,48.0,12.8,9.0,10.5,24.0,14.3,14.3,6.0,28.5,0,0,0,88,3,70,83,50,144,113,145,44,56,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100403,2022-06-08T00:00:00,BOS vs. GSW,W,48.0,12.8,16.5,3.0,39.0,14.3,8.3,13.5,19.5,0,0,0,1,3,70,13,163,26,113,67,146,5,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100403,2022-06-08T00:00:00,GSW @ BOS,L,48.0,14.3,8.3,13.5,19.5,12.8,16.5,3.0,39.0,0,0,0,88,3,53,94,22,166,92,160,9,143,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100402,2022-06-05T00:00:00,GSW vs. BOS,W,48.0,24.8,4.5,9.0,30.0,11.3,4.5,9.8,18.0,0,0,0,1,3,2,154,71,95,74,15,105,2,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100402,2022-06-05T00:00:00,BOS @ GSW,L,48.0,11.3,4.5,9.8,18.0,24.8,4.5,9.0,30.0,0,0,0,88,3,91,154,53,171,172,15,92,70,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100401,2022-06-02T00:00:00,BOS @ GSW,W,48.0,15.8,11.3,9.0,25.5,7.5,19.5,8.3,19.5,0,0,0,1,3,39,52,71,133,31,169,82,5,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100401,2022-06-02T00:00:00,GSW vs. BOS,L,48.0,7.5,19.5,8.3,19.5,15.8,11.3,9.0,25.5,0,0,0,88,3,137,2,85,166,129,114,92,32,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100307,2022-05-29T00:00:00,BOS @ MIA,W,48.0,10.5,6.0,15.0,34.5,9.8,6.8,9.8,42.0,0,0,0,1,3,102,129,12,57,58,48,105,157,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100307,2022-05-29T00:00:00,MIA vs. BOS,L,48.0,9.8,6.8,9.8,42.0,10.5,6.0,15.0,34.5,0,0,0,88,3,109,119,53,11,67,38,159,104,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100306,2022-05-27T00:00:00,MIA @ BOS,W,48.0,16.5,6.0,9.8,25.5,17.3,8.3,10.5,28.5,0,0,0,1,3,32,129,53,133,144,67,123,56,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100306,2022-05-27T00:00:00,BOS vs. MIA,L,48.0,17.3,8.3,10.5,28.5,16.5,6.0,9.8,25.5,0,0,0,88,3,25,94,50,107,137,38,105,32,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100315,2022-05-26T00:00:00,DAL @ GSW,L,48.0,5.3,9.0,6.8,24.0,12.0,12.8,7.5,37.5,0,0,0,88,3,159,83,108,144,85,130,68,130,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100315,2022-05-26T00:00:00,GSW vs. DAL,W,48.0,12.0,12.8,7.5,37.5,5.3,9.0,6.8,24.0,0,0,0,1,3,84,40,94,33,9,82,57,21,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100305,2022-05-25T00:00:00,MIA vs. BOS,L,48.0,12.8,18.0,3.8,30.0,10.5,3.0,9.8,27.0,0,0,0,88,3,70,7,153,95,67,6,105,44,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100305,2022-05-25T00:00:00,BOS @ MIA,W,48.0,10.5,3.0,9.8,27.0,12.8,18.0,3.8,30.0,0,0,0,1,3,102,164,53,120,92,167,13,70,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100314,2022-05-24T00:00:00,DAL vs. GSW,W,48.0,6.8,2.3,7.5,27.0,4.5,6.8,8.3,33.0,0,0,0,1,3,146,170,94,120,4,48,82,91,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100314,2022-05-24T00:00:00,GSW @ DAL,L,48.0,4.5,6.8,8.3,33.0,6.8,2.3,7.5,27.0,0,0,0,88,3,167,119,85,72,22,3,68,44,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100304,2022-05-23T00:00:00,BOS vs. MIA,W,48.0,9.8,7.5,6.8,28.5,5.3,5.3,9.0,21.0,0,0,0,1,3,109,109,108,107,9,22,92,10,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100304,2022-05-23T00:00:00,MIA @ BOS,L,48.0,5.3,5.3,9.0,21.0,9.8,7.5,6.8,28.5,0,0,0,88,3,159,138,71,161,58,57,57,56,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100313,2022-05-22T00:00:00,GSW @ DAL,W,48.0,6.0,13.5,3.8,34.5,7.5,3.0,3.8,25.5,0,0,0,1,3,154,31,153,57,31,6,13,32,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100313,2022-05-22T00:00:00,DAL vs. GSW,L,48.0,7.5,3.0,3.8,25.5,6.0,13.5,3.8,34.5,0,0,0,88,3,137,164,153,133,17,136,13,104,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100303,2022-05-21T00:00:00,MIA @ BOS,W,48.0,24.8,11.3,11.3,36.0,6.8,15.8,6.0,25.5,0,0,0,1,3,2,52,40,46,22,156,44,32,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100303,2022-05-21T00:00:00,BOS vs. MIA,L,48.0,6.8,15.8,6.0,25.5,24.8,11.3,11.3,36.0,0,0,0,88,3,146,16,119,133,172,114,126,119,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100312,2022-05-20T00:00:00,GSW vs. DAL,W,48.0,8.3,10.5,9.8,46.5,8.3,9.8,7.5,22.5,0,0,0,1,3,126,63,53,2,39,93,68,15,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100312,2022-05-20T00:00:00,DAL @ GSW,L,48.0,8.3,9.8,7.5,22.5,8.3,10.5,9.8,46.5,0,0,0,88,3,126,74,94,155,39,102,105,170,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100302,2022-05-19T00:00:00,MIA vs. BOS,L,48.0,6.8,9.0,6.0,31.5,15.0,8.3,9.0,22.5,0,0,0,88,3,146,83,119,85,123,67,92,15,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100302,2022-05-19T00:00:00,BOS @ MIA,W,48.0,15.0,8.3,9.0,22.5,6.8,9.0,6.0,31.5,0,0,0,1,3,47,94,71,155,22,82,44,81,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100311,2022-05-18T00:00:00,GSW vs. DAL,W,48.0,11.3,10.5,13.5,33.0,13.5,6.0,5.3,24.0,0,0,0,1,3,91,63,22,72,106,38,37,21,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100311,2022-05-18T00:00:00,DAL @ GSW,L,48.0,13.5,6.0,5.3,24.0,11.3,10.5,13.5,33.0,0,0,0,88,3,63,129,132,144,74,102,146,91,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100301,2022-05-17T00:00:00,BOS @ MIA,L,48.0,12.8,12.8,14.3,36.0,14.3,8.3,9.8,30.0,0,0,0,88,3,70,40,17,46,113,67,105,70,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100301,2022-05-17T00:00:00,MIA vs. BOS,W,48.0,14.3,8.3,9.8,30.0,12.8,12.8,14.3,36.0,0,0,0,1,3,53,94,53,95,92,130,154,119,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100217,2022-05-15T00:00:00,BOS vs. MIL,W,48.0,8.3,8.3,6.0,19.5,13.5,9.0,12.8,36.0,0,0,0,1,3,126,94,119,166,106,82,142,119,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100227,2022-05-15T00:00:00,DAL @ PHX,W,48.0,11.3,0.0,2.3,30.0,9.8,17.3,6.8,28.5,0,0,0,1,3,91,174,168,95,58,163,57,56,1,2021,2022
2021-22,1610612749,MIL,Milwaukee Bucks,42100217,2022-05-15T00:00:00,MIL @ BOS,L,48.0,13.5,9.0,12.8,36.0,8.3,8.3,6.0,19.5,0,0,0,88,3,63,83,30,46,39,67,44,5,1,2021,2022
2021-22,1610612756,PHX,Phoenix Suns,42100227,2022-05-15T00:00:00,PHX vs. DAL,L,48.0,9.8,17.3,6.8,28.5,11.3,0.0,2.3,30.0,0,0,0,88,3,109,9,108,107,74,1,3,70,1,2021,2022
2021-22,1610612749,MIL,Milwaukee Bucks,42100216,2022-05-13T00:00:00,MIL vs. BOS,L,48.0,7.5,9.0,11.3,36.0,6.0,7.5,4.5,25.5,0,0,0,88,3,137,83,40,46,17,57,23,32,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100236,2022-05-13T00:00:00,GSW vs. MEM,W,48.0,5.3,15.8,17.3,27.0,13.5,9.0,11.3,25.5,0,0,0,1,3,159,16,5,120,106,82,126,32,1,2021,2022
2021-22,1610612763,MEM,Memphis Grizzlies,42100236,2022-05-13T00:00:00,MEM @ GSW,L,48.0,13.5,9.0,11.3,25.5,5.3,15.8,17.3,27.0,0,0,0,88,3,63,83,40,133,9,156,170,44,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100216,2022-05-13T00:00:00,BOS @ MIL,W,48.0,6.0,7.5,4.5,25.5,7.5,9.0,11.3,36.0,0,0,0,1,3,154,109,139,133,31,82,126,119,1,2021,2022
2021-22,1610612755,PHI,Philadelphia 76ers,42100206,2022-05-12T00:00:00,PHI vs. MIA,L,48.0,9.8,6.8,8.3,36.0,16.5,12.8,9.8,46.5,0,0,0,88,3,109,119,85,46,137,130,105,170,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100206,2022-05-12T00:00:00,MIA @ PHI,W,48.0,16.5,12.8,9.8,46.5,9.8,6.8,8.3,36.0,0,0,0,1,3,32,40,53,2,58,48,82,119,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100226,2022-05-12T00:00:00,DAL vs. PHX,W,48.0,21.8,6.0,15.8,25.5,4.5,8.3,6.0,33.0,0,0,0,1,3,5,129,7,133,4,67,44,91,1,2021,2022
2021-22,1610612756,PHX,Phoenix Suns,42100226,2022-05-12T00:00:00,PHX @ DAL,L,48.0,4.5,8.3,6.0,33.0,21.8,6.0,15.8,25.5,0,0,0,88,3,167,94,119,72,168,38,164,32,1,2021,2022
2021-22,1610612738,BOS,Boston Celtics,42100215,2022-05-11T00:00:00,BOS vs. MIL,L,48.0,9.8,9.8,11.3,37.5,12.0,15.0,5.3,33.0,0,0,0,88,3,109,74,40,33,85,150,37,91,1,2021,2022
2021-22,1610612744,GSW,Golden State Warriors,42100235,2022-05-11T00:00:00,GSW @ MEM,L,48.0,7.5,3.8,6.8,27.0,21.8,18.0,12.0,37.5,0,0,0,88,3,137,161,108,120,168,167,136,130,1,2021,2022
2021-22,1610612749,MIL,Milwaukee Bucks,42100215,2022-05-11T00:00:00,MIL @ BOS,W,48.0,12.0,15.0,5.3,33.0,9.8,9.8,11.3,37.5,0,0,0,1,3,84,20,132,72,58,93,126,130,1,2021,2022
2021-22,1610612763,MEM,Memphis Grizzlies,42100235,2022-05-11T00:00:00,MEM vs. GSW,W,48.0,21.8,18.0,12.0,37.5,7.5,3.8,6.8,27.0,0,0,0,1,3,5,7,34,33,31,12,57,44,1,2021,2022
2021-22,1610612742,DAL,Dallas Mavericks,42100225,2022-05-10T00:00:00,DAL @ PHX,L,48.0,12.8,1.5,7.5,18.0,18.0,10.5,8.3,33.0,0,0,0,88,3,70,173,94,171,151,102,82,91,1,2021,2022
2021-22,1610612748,MIA,Miami Heat,42100205,2022-05-10T00:00:00,MIA vs. PHI,W,48.0,17.3,8.3,11.3,42.0,6.8,10.5,4.5,27.0,0,0,0,1,3,25,94,40,11,22,102,23,44,1,2021,2022
2021-22,1610612756,PHX,Phoenix Suns,42100225,2022-05-10T00:00:00,PHX vs. DAL,W,48.0,18.0,10.5,8.3,33.0,12.8,1.5,7.5,18.0,0,0,0,1,3,22,63,85,72,92,2,68,2,1,2021,2022
2021-22,1610612755,PHI,Philadelphia 76ers,42100205,2022-05-10T00:00:00,PHI @ MIA,L,48.0,6.8,10.5,4.5,27.0,17.3,8.3,11.3,42.0,0,0,0,88,3,146,63,139,120,144,67,126,157,1,2021,2022
