season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end
2019-20,1610612747,LAL,Los Angeles Lakers,41900406,2020-10-11T00:00:00,LAL @ MIA,W,48.0,32.3,66.8,0.483,8.3,26.3,0.314,6.8,10.5,0.643,9.0,25.5,34.5,17.3,10.5,3.8,3.0,3.0,16.5,13.5,79.5,9.8,1,1,1,1,13,27,37,49,104,83,125,157,149,154,22,71,42,64,79,120,72,66,87,137,94,25,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900406,2020-10-11T00:00:00,MIA vs. LAL,L,48.0,26.3,59.3,0.443,7.5,21.0,0.357,9.8,16.5,0.591,6.8,24.0,30.8,18.8,11.3,3.0,3.0,3.0,13.5,16.5,69.8,-9.8,1,84,84,84,13,122,126,103,121,141,80,134,91,161,62,96,92,44,97,137,72,66,24,69,152,138,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900405,2020-10-09T00:00:00,LAL vs. MIA,L,48.0,28.5,61.5,0.463,10.5,28.5,0.368,13.5,15.8,0.857,9.0,21.8,30.8,15.8,11.3,7.5,3.8,2.3,15.8,14.3,81.0,-2.3,1,84,84,84,13,77,106,75,53,55,69,83,98,44,22,131,92,103,97,18,43,35,69,119,82,94,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900405,2020-10-09T00:00:00,MIA @ LAL,W,48.0,28.5,62.3,0.458,10.5,24.8,0.424,15.8,16.5,0.955,6.8,19.5,26.3,19.5,9.8,5.3,2.3,3.8,14.3,15.8,83.3,2.3,1,1,1,1,13,77,94,79,53,108,31,53,91,3,62,153,150,34,66,73,105,98,32,83,63,70,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900404,2020-10-06T00:00:00,MIA vs. LAL,L,48.0,24.0,56.3,0.427,8.3,24.0,0.344,15.8,19.5,0.808,5.3,24.0,29.3,13.5,11.3,6.0,2.3,3.0,15.8,10.5,72.0,-4.5,1,84,84,84,13,153,149,123,104,116,95,53,60,72,100,96,120,139,97,48,105,66,69,161,145,103,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900404,2020-10-06T00:00:00,LAL @ MIA,W,48.0,26.3,59.3,0.443,10.5,29.3,0.359,13.5,15.8,0.857,7.5,24.0,31.5,18.8,11.3,3.8,3.0,2.3,10.5,15.8,76.5,4.5,1,1,1,1,13,122,126,103,53,46,78,83,98,44,45,96,81,44,97,120,72,35,4,83,118,61,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900403,2020-10-04T00:00:00,LAL @ MIA,L,48.0,25.5,59.3,0.43,10.5,31.5,0.333,16.5,21.8,0.759,8.3,24.0,32.3,17.3,15.0,6.0,1.5,2.3,16.5,17.3,78.0,-8.3,1,84,84,84,13,136,126,117,53,31,107,41,31,103,36,96,72,64,154,48,133,35,87,53,105,128,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900403,2020-10-04T00:00:00,MIA vs. LAL,W,48.0,30.8,60.0,0.513,9.0,25.5,0.353,15.8,17.3,0.913,2.3,25.5,27.8,18.8,9.8,6.0,2.3,1.5,17.3,16.5,86.3,8.3,1,1,1,1,13,43,120,22,86,97,87,53,83,17,161,71,136,44,66,48,105,10,100,69,42,36,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900402,2020-10-02T00:00:00,MIA @ LAL,L,48.0,27.0,53.3,0.507,8.3,20.3,0.407,23.3,25.5,0.912,4.5,23.3,27.8,21.8,7.5,1.5,0.8,2.3,17.3,19.5,85.5,-7.5,1,84,84,84,13,112,163,25,104,147,40,4,11,19,124,111,136,12,19,158,158,35,100,16,47,122,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900402,2020-10-02T00:00:00,LAL vs. MIA,W,48.0,36.8,72.8,0.505,12.0,35.3,0.34,7.5,12.8,0.588,12.0,21.0,33.0,24.0,6.8,4.5,2.3,0.8,19.5,17.3,93.0,7.5,1,1,1,1,13,3,6,30,31,10,104,153,129,162,8,140,59,5,12,98,105,5,139,53,13,41,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900401,2020-09-30T00:00:00,MIA @ LAL,L,48.0,28.5,66.8,0.427,8.3,26.3,0.314,8.3,10.5,0.786,3.8,23.3,27.0,17.3,6.0,3.0,3.8,6.0,11.3,14.3,73.5,-13.5,1,84,84,84,13,77,37,120,104,83,125,148,149,87,140,111,144,64,7,137,43,156,7,119,138,152,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900401,2020-09-30T00:00:00,LAL vs. MIA,W,48.0,28.5,63.0,0.452,11.3,28.5,0.395,18.8,20.3,0.926,6.8,33.8,40.5,19.5,9.0,5.3,6.0,3.8,14.3,11.3,87.0,13.5,1,1,1,1,13,77,79,87,43,55,47,21,48,10,62,4,11,34,49,73,4,98,32,156,39,14,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,41900306,2020-09-27T00:00:00,BOS @ MIA,L,48.0,32.3,74.3,0.434,11.3,34.5,0.326,9.0,11.3,0.8,9.8,21.8,31.5,19.5,7.5,5.3,1.5,1.5,15.8,9.8,84.8,-9.0,1,84,84,84,13,27,4,114,43,13,116,139,146,75,16,131,81,34,19,73,133,10,69,164,56,132,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900306,2020-09-27T00:00:00,MIA vs. BOS,W,48.0,33.8,60.0,0.563,9.8,20.3,0.481,16.5,19.5,0.846,1.5,28.5,30.0,22.5,9.0,4.5,1.5,1.5,9.8,15.8,93.8,9.0,1,1,1,1,13,13,120,6,70,147,11,41,60,49,165,38,114,8,49,98,133,10,3,83,12,30,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900315,2020-09-26T00:00:00,LAL vs. DEN,W,48.0,31.5,57.8,0.545,6.8,18.0,0.375,18.0,21.8,0.828,3.8,28.5,32.3,18.0,10.5,4.5,6.0,1.5,19.5,18.8,87.8,7.5,1,1,1,1,13,37,140,13,135,162,64,28,31,59,140,38,72,57,79,98,4,10,139,29,33,41,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,41900315,2020-09-26T00:00:00,DEN @ LAL,L,48.0,28.5,67.5,0.422,6.0,22.5,0.267,17.3,19.5,0.885,6.8,20.3,27.0,17.3,8.3,3.8,1.5,6.0,18.8,19.5,80.3,-7.5,1,84,84,84,13,77,28,124,150,128,147,32,60,33,62,147,144,64,33,120,133,156,131,16,88,122,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900305,2020-09-25T00:00:00,MIA @ BOS,L,48.0,29.3,64.5,0.453,5.3,27.0,0.194,17.3,21.8,0.793,4.5,24.0,28.5,20.3,9.8,2.3,3.8,3.0,21.8,17.3,81.0,-9.8,1,84,84,84,13,61,65,84,159,76,164,32,31,83,124,96,124,22,66,150,43,66,160,53,82,138,1,2019,2020
2019-20,1610612738,BOS,Boston Celtics,41900305,2020-09-25T00:00:00,BOS vs. MIA,W,48.0,31.5,69.8,0.452,9.0,28.5,0.316,18.8,21.8,0.862,9.8,27.8,37.5,21.8,8.3,5.3,3.0,3.8,17.3,21.8,90.8,9.8,1,1,1,1,13,37,14,90,86,55,123,21,31,42,16,48,17,12,33,73,72,98,100,3,24,25,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,41900314,2020-09-24T00:00:00,DEN vs. LAL,L,48.0,29.3,57.8,0.506,7.5,21.0,0.357,15.0,17.3,0.87,4.5,20.3,24.8,16.5,8.3,3.0,2.3,1.5,21.0,18.8,81.0,-4.5,1,84,84,84,13,61,140,26,121,141,80,65,83,39,124,147,159,83,33,137,105,10,154,29,82,103,1,2019,2020
2019-20,1610612747,LAL,Los Angeles Lakers,41900314,2020-09-24T00:00:00,LAL @ DEN,W,48.0,28.5,60.0,0.475,7.5,22.5,0.333,21.0,26.3,0.8,9.0,21.8,30.8,17.3,8.3,6.8,1.5,2.3,18.8,21.0,85.5,4.5,1,1,1,1,13,77,120,57,121,128,107,10,10,75,22,131,92,64,33,30,133,35,131,8,47,61,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,41900304,2020-09-23T00:00:00,MIA vs. BOS,W,48.0,29.3,68.3,0.429,7.5,27.8,0.27,18.0,20.3,0.889,7.5,22.5,30.0,15.0,6.0,6.8,1.5,3.8,15.0,18.0,84.0,2.3,1,1,1,1,13,61,19,119,121,67,146,28,48,28,45,124,114,114,7,30,133,98,52,38,59,70,1,2019,2020
