SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2021-22,1610612758,SAC,Sacramento Kings,0022101229,2022-04-10T00:00:00,SAC @ PHX,W,48.0,14.3,4.5,3.0,33.0,11.3,18.0,6.8,36.0,0,0,0,1,117,702,2192,2260,1422,1056,2358,696,1284,1
2021-22,1610612764,WAS,Washington Wizards,0022101217,2022-04-10T00:00:00,WAS @ CHA,L,48.0,18.8,12.0,15.0,42.0,9.8,10.5,21.8,43.5,0,0,0,1231,117,175,657,262,376,734,1355,2436,2097,1
2021-22,1610612748,MIA,Miami Heat,0022101227,2022-04-10T00:00:00,MIA @ ORL,L,48.0,11.3,9.8,14.3,25.5,9.0,9.8,8.3,27.0,0,0,0,1231,117,1268,1118,330,2203,580,1164,1007,266,1
2021-22,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10T00:00:00,DAL vs. SAS,W,48.0,13.5,8.3,10.5,36.0,15.8,7.5,14.3,39.0,0,0,0,1,117,833,1476,840,1006,1883,681,2061,1661,1
2021-22,1610612739,CLE,Cleveland Cavaliers,0022101218,2022-04-10T00:00:00,CLE vs. MIL,W,48.0,12.8,11.3,20.3,48.0,9.8,7.5,8.3,36.0,0,0,0,1,117,991,803,40,100,734,681,1007,1284,1
2021-22,1610612755,PHI,Philadelphia 76ers,0022101228,2022-04-10T00:00:00,PHI vs. DET,W,48.0,20.3,6.0,14.3,61.5,12.0,14.3,9.0,34.5,0,0,0,1,117,104,1943,330,1,1204,2026,1191,1052,1
2021-22,1610612763,MEM,Memphis Grizzlies,0022101223,2022-04-10T00:00:00,MEM vs. BOS,L,48.0,10.5,19.5,16.5,31.5,9.0,18.0,11.3,51.0,0,0,0,1231,117,1419,42,167,1603,580,2358,1629,2389,1
2021-22,1610612737,ATL,Atlanta Hawks,0022101221,2022-04-10T00:00:00,ATL @ HOU,W,48.0,12.0,12.8,10.5,30.0,11.3,6.0,9.8,34.5,0,0,0,1,117,1138,531,840,1782,1056,387,1345,1052,1
2021-22,1610612752,NYK,New York Knicks,0022101226,2022-04-10T00:00:00,NYK vs. TOR,W,48.0,9.0,9.0,12.8,36.0,13.5,11.3,10.5,31.5,0,0,0,1,117,1737,1300,498,1006,1481,1520,1485,687,1
2021-22,1610612740,NOP,New Orleans Pelicans,0022101225,2022-04-10T00:00:00,NOP vs. GSW,L,48.0,17.3,14.3,19.5,34.5,9.8,12.0,6.0,30.0,0,0,0,1231,117,301,351,56,1188,734,1664,547,521,1
2021-22,1610612766,CHA,Charlotte Hornets,0022101217,2022-04-10T00:00:00,CHA vs. WAS,W,48.0,9.8,10.5,21.8,43.5,18.8,12.0,15.0,42.0,0,0,0,1,117,1586,951,17,280,2238,1664,2138,1970,1
2021-22,1610612751,BKN,Brooklyn Nets,0022101216,2022-04-10T00:00:00,BKN vs. IND,W,48.0,7.5,14.3,13.5,55.5,20.3,15.0,19.5,36.0,0,0,0,1,117,2010,351,407,7,2321,2119,2386,1284,1
2021-22,1610612762,UTA,Utah Jazz,0022101230,2022-04-10T00:00:00,UTA @ POR,W,48.0,12.8,19.5,13.5,39.0,11.3,3.0,10.5,27.0,0,0,0,1,117,991,42,407,654,1056,53,1485,266,1
2021-22,1610612750,MIN,Minnesota Timberwolves,0022101224,2022-04-10T00:00:00,MIN vs. CHI,L,48.0,21.0,12.0,12.0,48.0,10.5,15.0,11.3,42.0,0,0,0,1231,117,78,657,590,100,882,2119,1629,1970,1
2021-22,1610612744,GSW,Golden State Warriors,0022101225,2022-04-10T00:00:00,GSW @ NOP,W,48.0,9.8,12.0,6.0,30.0,17.3,14.3,19.5,34.5,0,0,0,1,117,1586,657,1766,1782,2097,2026,2386,1052,1
2021-22,1610612745,HOU,Houston Rockets,0022101221,2022-04-10T00:00:00,HOU vs. ATL,L,48.0,11.3,6.0,9.8,34.5,12.0,12.8,10.5,30.0,0,0,0,1231,117,1268,1943,985,1188,1204,1809,1485,521,1
2021-22,1610612761,TOR,Toronto Raptors,0022101226,2022-04-10T00:00:00,TOR @ NYK,L,48.0,13.5,11.3,10.5,31.5,9.0,9.0,12.8,36.0,0,0,0,1231,117,833,803,840,1603,580,995,1875,1284,1
2021-22,1610612760,OKC,Oklahoma City Thunder,0022101222,2022-04-10T00:00:00,OKC @ LAC,L,48.0,6.0,10.5,6.8,37.5,11.3,12.0,17.3,37.5,0,0,0,1231,117,2235,951,1640,809,1056,1664,2296,1465,1
2021-22,1610612741,CHI,Chicago Bulls,0022101224,2022-04-10T00:00:00,CHI @ MIN,W,48.0,10.5,15.0,11.3,42.0,21.0,12.0,12.0,48.0,0,0,0,1,117,1419,272,707,376,2359,1664,1761,2315,1
2021-22,1610612747,LAL,Los Angeles Lakers,0022101220,2022-04-10T00:00:00,LAL @ DEN,W,53.0,10.9,10.9,14.3,35.3,14.3,5.4,14.3,36.7,0,0,0,1,15,1407,942,326,1179,1760,380,2132,1456,1
2021-22,1610612753,ORL,Orlando Magic,0022101227,2022-04-10T00:00:00,ORL vs. MIA,W,48.0,9.0,9.8,8.3,27.0,11.3,9.8,14.3,25.5,0,0,0,1,117,1737,1118,1275,2078,1056,1164,2061,172,1
2021-22,1610612743,DEN,Denver Nuggets,0022101220,2022-04-10T00:00:00,DEN vs. LAL,L,53.0,14.3,5.4,14.3,36.7,10.9,10.9,14.3,35.3,0,0,0,1231,15,698,2077,326,998,1047,1511,2132,1274,1
2021-22,1610612749,MIL,Milwaukee Bucks,0022101218,2022-04-10T00:00:00,MIL @ CLE,L,48.0,9.8,7.5,8.3,36.0,12.8,11.3,20.3,48.0,0,0,0,1231,117,1586,1615,1275,1006,1331,1520,2408,2315,1
2021-22,1610612738,BOS,Boston Celtics,0022101223,2022-04-10T00:00:00,BOS @ MEM,W,48.0,9.0,18.0,11.3,51.0,10.5,19.5,16.5,31.5,0,0,0,1,117,1737,77,707,45,882,2406,2254,687,1
2021-22,1610612756,PHX,Phoenix Suns,0022101229,2022-04-10T00:00:00,PHX vs. SAC,L,48.0,11.3,18.0,6.8,36.0,14.3,4.5,3.0,33.0,0,0,0,1231,117,1268,77,1640,1006,1635,174,109,873,1
2021-22,1610612757,POR,Portland Trail Blazers,0022101230,2022-04-10T00:00:00,POR vs. UTA,L,48.0,11.3,3.0,10.5,27.0,12.8,19.5,13.5,39.0,0,0,0,1231,117,1268,2349,840,2078,1331,2406,1967,1661,1
2021-22,1610612754,IND,Indiana Pacers,0022101216,2022-04-10T00:00:00,IND @ BKN,L,48.0,20.3,15.0,19.5,36.0,7.5,14.3,13.5,55.5,0,0,0,1231,117,104,272,56,1006,344,2026,1967,2448,1
2021-22,1610612746,LAC,LA Clippers,0022101222,2022-04-10T00:00:00,LAC vs. OKC,W,48.0,11.3,12.0,17.3,37.5,6.0,10.5,6.8,37.5,0,0,0,1,117,1268,657,129,809,160,1355,696,1465,1
