season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,40.333333333333336,12,23,0.522,7,13,0.538,0,2,0.0,0,1,1,1,2,3,0,1,4,2,31,11,40.7,0,0,46.0,1,13252,13252,13252,579,497,508,8883,71,135,4024,13417,7481,13417,13449,17515,19646,14131,4132,384,8529,17336,22902,6969,746,4032,3139,2248,138,1548,1,40:20,2023,2024
2023-24,1631298,Jack White,Jack,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,14.166666666666666,0,2,0.0,0,2,0.0,0,0,0.0,1,3,4,0,1,2,0,0,2,0,0,-10,9.8,0,0,8.0,1,13252,13252,13252,19866,22557,21406,22557,14651,13570,14651,13417,14233,13417,6495,9402,9569,19657,8468,1349,8529,1,13042,17532,23140,21324,19578,2248,138,20176,1,14:10,2023,2024
2023-24,1630285,Zavier Simpson,Zavier,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,11.966666666666669,1,4,0.25,0,1,0.0,0,0,0.0,0,1,1,2,1,0,0,0,1,0,2,-21,5.2,0,0,5.0,1,13252,13252,13252,21150,18910,17737,20383,14651,16961,14651,13417,14233,13417,13449,17515,19646,9909,8468,12108,8529,1,6163,17532,21036,25405,22341,2248,138,22092,1,11:58,2023,2024
2023-24,1631222,Jake LaRavia,Jake,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,43.25,7,13,0.538,3,6,0.5,11,11,1.0,1,2,3,6,1,1,1,1,3,7,28,9,45.6,0,0,44.0,1,13252,13252,13252,170,3981,5230,8366,2226,3921,4049,137,329,1,6495,13100,12548,2326,8468,4430,2720,17336,18879,505,1259,5021,1983,2248,138,1881,1,43:15,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301177,2024-04-12T00:00:00,MEM vs. LAL,L,35.416666666666664,3,4,0.75,0,0,0.0,0,0,0.0,2,3,5,0,1,0,1,0,6,0,6,8,14.0,0,0,13.0,1,13252,13252,13252,3452,12407,17737,2237,14651,20560,14651,13417,14233,13417,3105,9402,7148,19657,8468,12108,2720,1,26163,17532,15809,5604,16772,2248,138,16694,1,35:25,2023,2024
2023-24,1631222,Jake LaRavia,Jake,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,40.0,10,18,0.556,8,11,0.727,4,5,0.8,1,6,7,1,5,2,1,0,1,3,32,-16,45.9,0,0,54.0,1,13252,13252,13252,666,1283,1970,7603,29,427,1991,2744,2911,7723,6495,2880,3886,14131,304,1349,2720,1,6163,4296,628,24160,1910,2248,138,605,1,40:00,2023,2024
2023-24,1630205,Lamar Stevens,Lamar,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,37.29833333333333,4,13,0.308,2,5,0.4,6,6,1.0,2,4,6,3,1,1,4,2,2,3,16,7,41.7,0,0,37.0,1,13252,13252,13252,2030,9679,5230,19425,4439,5663,7875,1214,1912,1,3105,6490,5291,7003,8468,4430,129,23757,13042,4296,6105,6299,2864,2248,138,3693,1,37:18,2023,2024
2023-24,1641998,Trey Jemison III,Trey,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,35.935,2,7,0.286,0,0,0.0,0,0,0.0,2,7,9,3,1,1,4,2,2,0,4,-17,33.3,0,0,26.0,1,13252,13252,13252,3024,15517,12577,19775,14651,20560,14651,13417,14233,13417,3105,1913,2119,7003,8468,4430,129,23757,13042,17532,18488,24448,5700,2248,138,8454,1,35:56,2023,2024
2023-24,1641713,GG Jackson,GG,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,35.696666666666665,7,21,0.333,2,10,0.2,6,6,1.0,0,2,2,2,1,2,1,2,2,4,22,-13,35.4,0,0,34.0,1,13252,13252,13252,3225,3981,930,17629,4439,684,13222,1214,1912,1,13449,13100,15973,9909,8468,1349,2720,23757,13042,2625,2986,22947,4913,2248,138,4739,1,35:42,2023,2024
2023-24,1641851,Timmy Allen,Timmy,1610612763,MEM,Memphis Grizzlies,22301158,2024-04-10T00:00:00,MEM @ CLE,L,16.283333333333335,1,2,0.5,0,0,0.0,0,0,0.0,0,4,4,1,0,0,0,0,6,1,2,-13,8.3,0,0,7.0,1,13252,13252,13252,18487,18910,21406,8954,14651,20560,14651,13417,14233,13417,13449,6490,9569,14131,16035,12108,8529,1,26163,11166,21036,22947,20515,2248,138,20822,1,16:17,2023,2024
