team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank
1610612738,Boston Celtics,6,6,0,1.0,4.0,2.5,1.2,0.3,4.0,1.7,0.3,0.8,1.7,5,1,1,1,6,3,8,10,4,12,4,10,3
1610612739,Cleveland Cavaliers,3,1,2,0.333,3.7,0.7,0.0,0.7,2.7,1.3,3.0,0.0,2.7,9,8,6,9,9,13,11,7,12,10,14,1,6
1610612742,Dallas Mavericks,11,6,5,0.545,4.1,0.9,1.7,0.6,2.4,1.1,0.7,0.4,3.6,1,1,14,6,1,12,5,8,13,7,5,7,8
1610612743,Denver Nuggets,5,3,2,0.6,2.5,0.2,1.0,0.0,3.2,0.6,1.6,1.0,5.2,6,5,6,3,8,15,9,12,8,3,8,12,14
1610612754,Indiana Pacers,7,2,5,0.286,5.7,2.1,1.7,1.3,3.7,3.1,1.0,0.9,4.3,3,7,14,10,2,5,6,3,6,14,6,11,13
1610612746,LA Clippers,2,1,1,0.5,3.5,1.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,11,8,2,7,13,11,11,12,1,1,6,1,1
1610612747,Los Angeles Lakers,3,0,3,0.0,3.0,0.7,0.0,1.3,5.3,0.0,1.7,0.0,4.0,9,12,11,12,12,13,11,2,3,1,9,1,9
1610612749,Milwaukee Bucks,1,0,1,0.0,10.2,3.0,0.0,2.0,6.0,1.0,5.0,0.0,6.0,14,12,2,12,10,1,11,1,2,4,15,1,15
1610612750,Minnesota Timberwolves,7,4,3,0.571,3.5,1.1,1.4,0.1,3.1,1.7,1.9,0.4,2.6,3,4,11,5,5,10,7,11,9,13,10,9,5
1610612740,New Orleans Pelicans,2,0,2,0.0,2.9,2.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,11,12,6,12,14,3,11,4,15,4,1,1,1
1610612752,New York Knicks,8,6,2,0.75,4.8,1.6,2.0,0.5,3.3,1.3,2.0,1.0,4.0,2,1,6,2,3,7,4,9,7,9,11,12,9
1610612760,Oklahoma City Thunder,5,3,2,0.6,4.2,1.2,0.8,0.8,2.8,1.4,2.0,1.2,2.4,6,5,6,3,7,8,10,5,11,11,11,15,4
1610612753,Orlando Magic,2,1,1,0.5,4.9,2.0,3.5,0.0,3.0,1.0,0.0,1.0,4.0,11,8,2,7,11,6,2,12,10,4,1,12,9
1610612755,Philadelphia 76ers,5,1,4,0.2,5.3,1.2,2.2,0.8,4.0,1.2,2.4,0.4,3.6,6,8,13,11,4,8,3,5,4,8,13,8,7
1610612756,Phoenix Suns,1,0,1,0.0,3.5,3.0,6.0,0.0,2.0,4.0,0.0,0.0,4.0,14,12,2,12,15,1,1,12,14,15,1,1,9
