team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank
1610612738,Boston Celtics,11,6,5,0.545,48.5,15.4,14.9,11.2,37.5,15.1,15.6,11.3,42.4,7,6,11,6,7,9,6,10,15,6,11,4,5
1610612739,Cleveland Cavaliers,9,5,4,0.556,48.0,17.7,18.2,12.0,49.3,14.3,11.8,12.3,44.0,8,7,1,4,8,2,1,7,3,5,2,7,8
1610612743,Denver Nuggets,14,7,7,0.5,48.7,12.4,15.6,12.6,44.7,19.7,13.5,17.9,51.9,5,5,14,7,5,12,5,5,8,14,4,15,15
1610612765,Detroit Pistons,6,2,4,0.333,48.0,16.3,16.0,17.2,45.3,17.2,16.8,15.0,46.7,11,11,1,11,11,6,4,2,7,10,15,11,10
1610612744,Golden State Warriors,12,5,7,0.417,48.0,15.9,14.7,11.3,39.7,17.7,14.0,11.7,49.5,6,7,14,10,6,7,7,9,13,11,7,5,12
1610612745,Houston Rockets,7,3,4,0.429,48.0,17.3,14.4,10.1,46.9,15.6,13.9,12.4,36.3,9,9,1,8,10,5,8,13,6,8,6,8,1
1610612754,Indiana Pacers,17,13,4,0.765,48.6,17.6,11.4,15.2,44.0,12.4,16.0,9.5,48.0,2,1,1,1,2,4,16,4,9,2,13,2,11
1610612746,LA Clippers,7,3,4,0.429,48.7,15.6,12.4,15.4,53.4,13.3,15.7,14.0,50.3,9,9,1,8,9,8,15,3,1,3,12,10,14
1610612747,Los Angeles Lakers,5,1,4,0.2,48.0,10.6,13.8,9.6,34.8,18.8,18.8,16.0,50.0,12,12,1,12,13,14,9,14,16,13,16,14,13
1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,10.0,13.3,7.5,43.0,26.3,13.8,19.8,52.0,15,15,1,15,15,15,12,16,10,16,5,16,16
1610612748,Miami Heat,4,0,4,0.0,48.0,10.0,13.8,11.0,39.5,19.8,16.8,13.0,45.5,15,15,1,15,15,15,10,11,14,15,14,9,9
1610612749,Milwaukee Bucks,5,1,4,0.2,49.0,11.8,13.0,9.2,40.8,13.4,9.4,15.0,42.4,12,12,1,12,12,13,14,15,11,4,1,11,6
1610612750,Minnesota Timberwolves,15,9,6,0.6,48.0,17.7,16.3,12.5,48.3,16.2,14.1,10.7,43.1,4,4,13,3,4,2,3,6,4,9,8,3,7
1610612752,New York Knicks,18,10,8,0.556,48.6,14.5,17.0,11.6,47.1,18.3,15.6,15.2,41.6,1,3,16,4,1,10,2,8,5,12,10,13,4
1610612760,Oklahoma City Thunder,17,12,5,0.706,48.3,23.0,13.6,17.4,50.4,12.1,15.1,9.3,40.5,2,2,11,2,3,1,11,1,2,1,9,1,3
1610612753,Orlando Magic,5,1,4,0.2,48.0,13.8,13.2,10.6,40.4,15.4,12.6,11.8,40.0,12,12,1,12,13,11,13,12,12,7,3,6,2
