team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank
1610612738,Boston Celtics,11,6,5,0.545,48.5,108.1,32.3,0.669,6.7,5.4,15.1,15.6,11.3,42.4,7,6,11,6,6,2,9,13,11,6,6,11,4,5
1610612739,Cleveland Cavaliers,9,5,4,0.556,48.0,110.7,32.3,0.764,8.9,3.6,14.3,11.8,12.3,44.0,8,7,1,4,8,5,8,2,3,15,5,2,7,8
1610612743,Denver Nuggets,14,7,7,0.5,48.7,114.8,34.1,0.721,7.6,4.2,19.7,13.5,17.9,51.9,5,5,14,7,2,10,1,3,7,11,14,4,15,15
1610612765,Detroit Pistons,6,2,4,0.333,48.0,109.8,32.8,0.699,7.2,6.3,17.2,16.8,15.0,46.7,11,11,1,11,8,3,6,6,9,3,10,15,11,10
1610612744,Golden State Warriors,12,5,7,0.417,48.0,112.0,28.3,0.654,8.9,3.9,17.7,14.0,11.7,49.5,6,7,14,10,8,7,15,15,2,12,11,7,5,12
1610612745,Houston Rockets,7,3,4,0.429,48.0,111.7,33.4,0.708,7.9,5.1,15.6,13.9,12.4,36.3,9,9,1,8,8,6,3,5,6,7,8,6,8,1
1610612754,Indiana Pacers,17,13,4,0.765,48.6,113.2,33.2,0.687,7.1,5.7,12.4,16.0,9.5,48.0,2,1,1,1,4,8,4,10,10,4,2,13,2,11
1610612746,LA Clippers,7,3,4,0.429,48.7,115.3,29.4,0.662,8.0,7.1,13.3,15.7,14.0,50.3,9,9,1,8,2,11,12,14,4,1,3,12,10,14
1610612747,Los Angeles Lakers,5,1,4,0.2,48.0,116.7,29.4,0.635,5.0,5.0,18.8,18.8,16.0,50.0,12,12,1,12,8,12,13,16,15,8,13,16,14,13
1610612763,Memphis Grizzlies,4,0,4,0.0,48.0,117.4,34.0,0.708,5.8,6.5,26.3,13.8,19.8,52.0,15,15,1,15,8,13,2,4,14,2,16,5,16,16
1610612748,Miami Heat,4,0,4,0.0,48.0,136.2,27.3,0.684,4.5,3.0,19.8,16.8,13.0,45.5,15,15,1,15,8,16,16,11,16,16,15,14,9,9
1610612749,Milwaukee Bucks,5,1,4,0.2,49.0,118.0,33.2,0.778,6.0,3.6,13.4,9.4,15.0,42.4,12,12,1,12,1,15,5,1,13,14,4,1,11,6
1610612750,Minnesota Timberwolves,15,9,6,0.6,48.0,110.5,30.5,0.694,7.3,4.7,16.2,14.1,10.7,43.1,4,4,13,3,8,4,11,9,8,9,9,8,3,7
1610612752,New York Knicks,18,10,8,0.556,48.6,113.2,30.8,0.695,7.9,4.7,18.3,15.6,15.2,41.6,1,3,16,4,5,9,10,8,5,10,12,10,13,4
1610612760,Oklahoma City Thunder,17,12,5,0.706,48.3,104.9,32.5,0.672,10.9,5.6,12.1,15.1,9.3,40.5,2,2,11,2,7,1,7,12,1,5,1,9,1,3
1610612753,Orlando Magic,5,1,4,0.2,48.0,117.4,28.4,0.698,6.4,3.8,15.4,12.6,11.8,40.0,12,12,1,12,8,14,14,7,12,13,7,3,6,2
