team_id,team_name,gp,w,l,w_pct,min,e_off_rating,off_rating,e_def_rating,def_rating,e_net_rating,net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,efg_pct,ts_pct,e_pace,pace,pace_per40,poss,pie,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,off_rating_rank,def_rating_rank,net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,efg_pct_rank,ts_pct_rank,pace_rank,pie_rank
1610612738,Boston Celtics,11,6,5,0.545,533.0,110.9,114.4,105.1,108.1,5.8,6.2,0.545,1.52,15.8,0.308,0.669,0.495,0.143,0.528,0.569,94.4,91.68,76.4,1017,0.535,7,6,11,6,7,5,2,3,12,9,11,9,13,9,8,7,6,15,4
1610612739,Cleveland Cavaliers,9,5,4,0.556,432.0,119.7,122.6,109.3,110.7,10.3,11.8,0.56,1.89,16.8,0.33,0.764,0.537,0.124,0.551,0.597,99.2,97.39,81.16,877,0.542,8,7,1,4,8,1,5,1,11,4,8,5,2,1,2,3,2,6,2
1610612743,Denver Nuggets,14,7,7,0.5,682.0,106.6,109.3,112.9,114.8,-6.3,-5.5,0.587,1.43,16.4,0.339,0.721,0.529,0.161,0.514,0.552,98.3,96.21,80.18,1370,0.47,5,5,14,7,5,11,10,11,7,13,10,3,3,3,12,11,11,7,11
1610612765,Detroit Pistons,6,2,4,0.333,288.0,106.2,109.4,107.5,109.8,-1.3,-0.4,0.538,1.21,15.1,0.325,0.699,0.519,0.169,0.511,0.562,100.4,97.92,81.6,585,0.498,11,11,1,11,11,10,3,8,13,15,12,6,6,4,14,12,9,4,9
1610612744,Golden State Warriors,12,5,7,0.417,576.0,106.4,108.6,109.3,112.0,-2.9,-3.4,0.631,1.61,17.3,0.313,0.654,0.477,0.152,0.511,0.545,97.0,94.83,79.03,1139,0.473,6,7,14,10,6,13,7,10,3,6,6,8,15,13,10,13,14,10,10
1610612745,Houston Rockets,7,3,4,0.429,336.0,109.5,111.5,107.9,111.7,1.6,-0.2,0.533,1.44,15.0,0.358,0.708,0.536,0.145,0.51,0.548,95.7,93.21,77.68,653,0.506,9,9,1,8,10,8,6,7,14,11,13,1,5,2,9,14,12,11,6
1610612754,Indiana Pacers,17,13,4,0.765,826.0,115.0,117.1,110.3,113.2,4.7,3.9,0.658,2.07,20.1,0.245,0.687,0.481,0.134,0.576,0.612,100.9,98.67,82.23,1698,0.541,2,1,1,1,2,2,8,4,1,3,1,16,10,11,6,1,1,3,3
1610612746,LA Clippers,7,3,4,0.429,341.0,113.8,115.9,111.6,115.3,2.2,0.6,0.632,2.17,19.6,0.284,0.662,0.473,0.128,0.557,0.581,94.5,92.06,76.72,654,0.506,9,9,1,8,9,3,11,6,2,1,2,11,14,14,3,2,3,13,7
1610612747,Los Angeles Lakers,5,1,4,0.2,240.0,107.8,109.1,111.9,116.7,-4.1,-7.6,0.613,1.45,16.9,0.275,0.635,0.466,0.159,0.525,0.57,94.5,92.0,76.67,460,0.469,12,12,1,12,13,12,12,13,5,10,7,13,16,15,11,9,5,14,12
1610612763,Memphis Grizzlies,4,0,4,0.0,192.0,95.9,97.6,115.2,117.4,-19.3,-19.8,0.569,1.06,14.8,0.293,0.708,0.505,0.187,0.476,0.525,104.5,102.63,85.52,412,0.401,15,15,1,15,15,16,13,15,10,16,16,10,4,7,16,15,15,1,15
1610612748,Miami Heat,4,0,4,0.0,192.0,102.3,102.7,133.3,136.2,-31.0,-33.5,0.586,1.33,16.8,0.267,0.684,0.466,0.172,0.529,0.547,93.9,92.75,77.29,372,0.351,15,15,1,15,15,15,16,16,8,14,9,14,11,16,15,6,13,12,16
1610612749,Milwaukee Bucks,5,1,4,0.2,245.0,109.9,111.1,117.2,118.0,-7.3,-6.9,0.598,1.83,17.5,0.256,0.778,0.502,0.131,0.535,0.564,98.3,97.47,81.22,496,0.442,12,12,1,12,12,9,15,12,6,5,5,15,1,8,5,5,8,5,13
1610612750,Minnesota Timberwolves,15,9,6,0.6,720.0,110.1,113.6,109.2,110.5,1.0,3.1,0.613,1.54,17.7,0.343,0.694,0.518,0.163,0.539,0.574,98.2,96.13,80.11,1440,0.511,4,4,13,3,4,6,4,5,4,8,3,2,9,5,13,4,4,8,5
1610612752,New York Knicks,18,10,8,0.556,874.0,109.6,112.7,109.9,113.2,-0.3,-0.5,0.504,1.44,14.9,0.33,0.695,0.509,0.142,0.519,0.559,98.6,95.89,79.91,1750,0.498,1,3,16,4,1,7,9,9,16,12,15,4,8,6,7,10,10,9,8
1610612760,Oklahoma City Thunder,17,12,5,0.706,821.0,113.2,115.4,103.0,104.9,10.2,10.4,0.578,2.14,17.5,0.283,0.672,0.477,0.113,0.527,0.566,102.6,100.71,83.92,1719,0.559,2,2,11,2,3,4,1,2,9,2,4,12,12,12,1,8,7,2,1
1610612753,Orlando Magic,5,1,4,0.2,240.0,99.9,103.8,113.7,117.4,-13.8,-13.7,0.522,1.6,14.9,0.318,0.698,0.49,0.129,0.47,0.501,93.6,90.4,75.33,451,0.402,12,12,1,12,13,14,14,14,15,7,14,7,7,10,4,16,16,16,14
