team_id,team_name,team,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
1610612744,Golden State Warriors,GSW,22,22,0.558,514,1049,0.49,0.541,-0.051
1610612749,Milwaukee Bucks,MIL,12,12,0.544,277,567,0.489,0.537,-0.048
1610612738,Boston Celtics,BOS,24,24,0.61,634,1262,0.502,0.541,-0.039
1610612763,Memphis Grizzlies,MEM,12,12,0.566,305,588,0.519,0.548,-0.029
1610612756,Phoenix Suns,PHX,13,13,0.599,331,643,0.515,0.535,-0.021
1610612762,Utah Jazz,UTA,6,6,0.481,122,233,0.524,0.544,-0.02
1610612742,Dallas Mavericks,DAL,18,18,0.645,517,948,0.545,0.558,-0.013
1610612750,Minnesota Timberwolves,MIN,6,6,0.639,170,337,0.504,0.514,-0.01
1610612748,Miami Heat,MIA,18,18,0.563,417,788,0.529,0.533,-0.004
1610612741,Chicago Bulls,CHI,5,5,0.572,133,246,0.541,0.539,0.002
1610612761,Toronto Raptors,TOR,6,6,0.571,147,268,0.549,0.528,0.021
1610612743,Denver Nuggets,DEN,5,5,0.559,134,228,0.588,0.558,0.03
1610612737,Atlanta Hawks,ATL,5,5,0.551,133,236,0.564,0.532,0.032
1610612755,Philadelphia 76ers,PHI,12,12,0.618,346,628,0.551,0.518,0.033
1610612751,Brooklyn Nets,BKN,4,4,0.591,116,199,0.583,0.54,0.043
1610612740,New Orleans Pelicans,NOP,6,6,0.672,208,334,0.623,0.553,0.07
