season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl
2021-22,1610612764,22100006,2021-10-20,WAS,TOR,1610612761,1,98,83,W
2021-22,1610612764,22100019,2021-10-22,IND,WAS,1610612754,2,135,134,W
2021-22,1610612764,22100044,2021-10-25,WAS,BKN,1610612751,3,90,104,L
2021-22,1610612764,22100056,2021-10-27,WAS,BOS,1610612738,4,116,107,W
2021-22,1610612764,22100066,2021-10-28,ATL,WAS,1610612737,5,122,111,W
2021-22,1610612764,22100078,2021-10-30,BOS,WAS,1610612738,6,115,112,W
2021-22,1610612764,22100097,2021-11-01,WAS,ATL,1610612737,7,111,118,L
2021-22,1610612764,22100112,2021-11-03,TOR,WAS,1610612761,8,100,109,L
2021-22,1610612764,22100126,2021-11-05,MEM,WAS,1610612763,9,115,87,W
2021-22,1610612764,22100142,2021-11-07,MIL,WAS,1610612749,10,101,94,W
2021-22,1610612764,22100158,2021-11-10,WAS,CLE,1610612739,11,97,94,W
2021-22,1610612764,22100187,2021-11-13,WAS,ORL,1610612753,12,104,92,W
2021-22,1610612764,22100201,2021-11-15,NOP,WAS,1610612740,13,105,100,W
2021-22,1610612764,22100213,2021-11-17,WAS,CHA,1610612766,14,87,97,L
2021-22,1610612764,22100225,2021-11-18,WAS,MIA,1610612748,15,97,112,L
2021-22,1610612764,22100241,2021-11-20,MIA,WAS,1610612748,16,103,100,W
2021-22,1610612764,22100254,2021-11-22,CHA,WAS,1610612766,17,103,109,L
2021-22,1610612764,22100275,2021-11-24,WAS,NOP,1610612740,18,102,127,L
2021-22,1610612764,22100286,2021-11-26,WAS,OKC,1610612760,19,101,99,W
2021-22,1610612764,22100298,2021-11-27,WAS,DAL,1610612742,20,120,114,W
2021-22,1610612764,22100311,2021-11-29,WAS,SAS,1610612759,21,99,116,L
2021-22,1610612764,22100321,2021-12-01,MIN,WAS,1610612750,22,115,107,W
2021-22,1610612764,22100334,2021-12-03,CLE,WAS,1610612739,23,101,116,L
2021-22,1610612764,22100351,2021-12-05,WAS,TOR,1610612761,24,90,102,L
2021-22,1610612764,22100355,2021-12-06,WAS,IND,1610612754,25,110,116,L
2021-22,1610612764,22100368,2021-12-08,WAS,DET,1610612765,26,119,116,W
2021-22,1610612764,22100392,2021-12-11,UTA,WAS,1610612762,27,98,123,L
2021-22,1610612764,22100411,2021-12-13,WAS,DEN,1610612743,28,107,113,L
2021-22,1610612764,22100427,2021-12-15,WAS,SAC,1610612758,29,105,119,L
