player_id,player,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm,fga,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,fgm_rank,fga_rank,fg_pct_rank,team
1629626,Bol Bol,Bol,1610612756,PHX,25.0,36,10,26,0.278,12.5,0.492,0.508,0.525,0.205,0.393,0.115,0.082,0.143,0.32,0.844,0.156,1.0,0.0,0.896,0.104,96,183,0.525,370,419,315,470,411,369,198,230,8,256,337,455,334,405,29,523,1,350,48,510,327,347,89,PHX
203078,Bradley Beal,Bradley,1610612756,PHX,31.0,53,22,31,0.415,32.1,0.62,0.38,0.539,0.124,0.339,0.102,0.122,0.131,0.415,0.519,0.481,0.873,0.127,0.623,0.377,345,694,0.497,263,274,395,377,67,216,351,212,53,309,380,334,396,290,354,198,344,155,381,177,99,102,138,PHX
1628998,Cody Martin,Cody,1610612756,PHX,29.0,53,16,37,0.302,22.1,0.535,0.465,0.52,0.101,0.36,0.223,0.12,0.212,0.419,0.591,0.409,0.953,0.047,0.706,0.294,136,325,0.418,263,340,465,455,230,298,269,237,78,290,59,337,68,285,287,266,235,264,280,277,279,263,399,PHX
1631221,Collin Gillespie,Collin,1610612756,PHX,25.0,33,12,21,0.364,14.0,0.43,0.57,0.299,0.052,0.603,0.052,0.098,0.134,0.247,0.276,0.724,0.795,0.205,0.574,0.426,68,158,0.43,390,393,253,419,385,427,140,482,209,78,492,417,388,472,513,40,395,104,422,136,366,359,346,PHX
1627814,Damion Lee,Damion,1610612756,PHX,32.0,25,6,19,0.24,5.8,0.5,0.5,0.434,0.024,0.325,0.108,0.241,0.229,0.41,0.667,0.333,0.889,0.111,0.741,0.259,27,74,0.365,427,473,226,501,516,350,209,345,342,329,360,33,47,295,187,353,325,174,244,313,454,440,496,PHX
1626164,Devin Booker,Devin,1610612756,PHX,28.0,75,35,40,0.467,37.3,0.612,0.388,0.49,0.175,0.285,0.134,0.225,0.114,0.315,0.431,0.569,0.716,0.284,0.511,0.489,654,1420,0.461,59,149,503,319,3,218,349,277,16,357,277,43,458,409,435,118,429,70,466,92,7,6,239,PHX
1628960,Grayson Allen,Grayson,1610612756,PHX,29.0,64,29,35,0.453,24.1,0.284,0.716,0.206,0.006,0.657,0.119,0.137,0.153,0.2,0.7,0.3,0.966,0.034,0.881,0.119,219,489,0.448,170,212,447,344,203,519,48,530,445,46,321,284,278,505,151,397,204,295,53,505,190,189,285,PHX
1641779,Jalen Bridges,Jalen,1610612756,PHX,24.0,8,1,7,0.125,3.8,0.0,1.0,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,7,0.286,516,539,90,545,548,562,1,553,456,42,530,10,534,551,544,537,1,350,1,537,540,542,539,PHX
201142,Kevin Durant,Kevin,1610612756,PHX,36.0,62,33,29,0.532,36.5,0.669,0.331,0.525,0.185,0.291,0.103,0.184,0.123,0.34,0.433,0.567,0.888,0.113,0.556,0.444,592,1124,0.527,192,166,362,244,7,172,395,230,12,353,376,117,427,378,432,121,327,172,437,121,15,28,85,PHX
203486,Mason Plumlee,Mason,1610612756,PHX,35.0,74,33,41,0.446,17.6,0.98,0.02,0.751,0.0,0.0,0.06,0.249,0.168,0.751,0.776,0.224,0.0,0.0,0.776,0.224,125,202,0.619,71,166,512,352,321,40,527,76,456,499,476,27,197,63,79,474,496,350,179,379,294,332,33,PHX
1628420,Monté Morris,Monté,1610612756,PHX,29.0,45,21,24,0.467,12.7,0.559,0.441,0.446,0.12,0.399,0.107,0.155,0.094,0.326,0.462,0.538,0.903,0.097,0.627,0.373,83,195,0.426,318,280,291,319,404,270,297,327,56,249,367,218,493,398,403,150,313,186,373,185,345,336,369,PHX
1630208,Nick Richards,Nick,1610612756,PHX,27.0,57,17,40,0.298,22.0,0.994,0.006,0.775,0.03,0.0,0.06,0.225,0.095,0.745,0.683,0.317,0.0,0.0,0.683,0.317,205,347,0.591,232,323,503,459,231,30,537,67,315,499,475,42,492,67,174,379,496,350,310,248,203,251,44,PHX
1642345,Oso Ighodaro,Oso,1610612756,PHX,22.0,61,25,36,0.41,17.1,0.989,0.011,0.886,0.047,0.0,0.067,0.114,0.165,0.839,0.858,0.142,0.0,0.0,0.858,0.142,113,187,0.604,201,252,455,384,330,34,533,17,226,499,466,363,210,27,21,532,496,350,77,481,313,344,37,PHX
1626220,Royce O'Neale,Royce,1610612756,PHX,32.0,75,33,42,0.44,24.5,0.226,0.774,0.182,0.009,0.79,0.162,0.028,0.196,0.174,0.71,0.29,0.961,0.039,0.896,0.104,241,570,0.423,59,166,517,356,191,544,23,533,430,15,174,537,105,519,141,410,219,280,47,511,176,148,380,PHX
1642346,Ryan Dunn,Ryan,1610612756,PHX,22.0,74,32,42,0.432,19.1,0.447,0.553,0.481,0.016,0.481,0.131,0.038,0.174,0.466,0.748,0.252,1.0,0.0,0.849,0.151,205,477,0.43,71,179,517,363,293,414,153,285,384,160,284,530,170,233,107,446,1,350,90,468,203,195,349,PHX
1631102,TyTy Washington Jr.,TyTy,1610612756,PHX,23.0,16,4,12,0.25,7.4,0.533,0.467,0.571,0.171,0.343,0.143,0.086,0.286,0.4,0.7,0.3,0.75,0.25,0.714,0.286,14,45,0.311,469,493,146,489,494,303,263,183,20,303,241,446,18,311,151,397,415,80,267,285,483,473,532,PHX
1626145,Tyus Jones,Tyus,1610612756,PHX,29.0,81,36,45,0.444,26.8,0.413,0.587,0.338,0.055,0.601,0.117,0.061,0.154,0.282,0.393,0.607,0.873,0.127,0.654,0.346,306,683,0.448,12,136,529,353,152,443,124,443,188,79,330,498,271,448,456,96,343,156,347,211,113,105,284,PHX
203995,Vasilije Micić,Vasilije,1610612756,PHX,31.0,41,8,33,0.195,19.1,0.542,0.458,0.372,0.104,0.502,0.037,0.126,0.145,0.268,0.34,0.66,0.533,0.467,0.432,0.568,95,273,0.348,336,445,428,526,292,290,277,413,73,140,507,319,324,459,489,64,479,20,511,47,328,293,510,PHX
