GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,GAME_WEEK
22300061,2023-10-24,LAL,DEN,1
22300076,2023-10-26,PHX,LAL,2
22300100,2023-10-29,LAL,SAC,3
22300111,2023-10-30,ORL,LAL,4
22300127,2023-11-01,LAC,LAL,5
22300134,2023-11-04,LAL,ORL,6
22300150,2023-11-06,LAL,MIA,7
22300163,2023-11-08,LAL,HOU,8
22300015,2023-11-10,LAL,PHX,9
22300187,2023-11-12,POR,LAL,10
22300026,2023-11-14,MEM,LAL,11
22300198,2023-11-15,SAC,LAL,12
22300036,2023-11-17,LAL,POR,13
22300216,2023-11-19,HOU,LAL,14
22300042,2023-11-21,UTA,LAL,15
22300238,2023-11-22,DAL,LAL,16
22300242,2023-11-25,LAL,CLE,17
22300255,2023-11-27,LAL,PHI,18
22300258,2023-11-29,LAL,DET,19
22300271,2023-11-30,LAL,OKC,20
22300291,2023-12-02,HOU,LAL,21
22301203,2023-12-05,PHX,LAL,22
22301230,2023-12-07,NOP,LAL,23
22300306,2023-12-12,LAL,DAL,24
22300316,2023-12-13,LAL,SAS,25
22300331,2023-12-15,LAL,SAS,26
22300359,2023-12-18,NYK,LAL,27
22300370,2023-12-20,LAL,CHI,28
22300380,2023-12-21,LAL,MIN,29
22300397,2023-12-23,LAL,OKC,30
22300403,2023-12-25,BOS,LAL,31
22300428,2023-12-28,CHA,LAL,32
22300443,2023-12-30,LAL,MIN,33
22300446,2023-12-31,LAL,NOP,34
22300475,2024-01-03,MIA,LAL,35
22300491,2024-01-05,MEM,LAL,36
22300505,2024-01-07,LAC,LAL,37
22300516,2024-01-09,TOR,LAL,38
22300531,2024-01-11,PHX,LAL,39
22300549,2024-01-13,LAL,UTA,40
22300565,2024-01-15,OKC,LAL,41
22300577,2024-01-17,DAL,LAL,42
22300591,2024-01-19,BKN,LAL,43
22300605,2024-01-21,POR,LAL,44
22300618,2024-01-23,LAL,LAC,45
22300633,2024-01-25,CHI,LAL,46
22300650,2024-01-27,LAL,GSW,47
22300662,2024-01-29,LAL,HOU,48
22300669,2024-01-30,LAL,ATL,49
22300684,2024-02-01,LAL,BOS,50
22300701,2024-02-03,LAL,NYK,51
22300713,2024-02-05,LAL,CHA,52
22300740,2024-02-08,DEN,LAL,53
22300747,2024-02-09,NOP,LAL,54
22300776,2024-02-13,DET,LAL,55
22300788,2024-02-14,LAL,UTA,56
22300802,2024-02-22,LAL,GSW,57
22300813,2024-02-23,SAS,LAL,58
22300818,2024-02-25,LAL,PHX,59
22300848,2024-02-28,LAL,LAC,60
22300856,2024-02-29,WAS,LAL,61
22300869,2024-03-02,DEN,LAL,62
22300884,2024-03-04,OKC,LAL,63
22300901,2024-03-06,SAC,LAL,64
22300915,2024-03-08,MIL,LAL,65
22300932,2024-03-10,MIN,LAL,66
22300954,2024-03-13,LAL,SAC,67
22300973,2024-03-16,GSW,LAL,68
22300990,2024-03-18,ATL,LAL,69
22301018,2024-03-22,PHI,LAL,70
22301032,2024-03-24,IND,LAL,71
22301045,2024-03-26,LAL,MIL,72
22301055,2024-03-27,LAL,MEM,73
22301063,2024-03-29,LAL,IND,74
22301078,2024-03-31,LAL,BKN,75
22301094,2024-04-02,LAL,TOR,76
22301103,2024-04-03,LAL,WAS,77
22301127,2024-04-06,CLE,LAL,78
22301143,2024-04-07,MIN,LAL,79
22301155,2024-04-09,GSW,LAL,80
22301177,2024-04-12,LAL,MEM,81
22301195,2024-04-14,LAL,NOP,82
