SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
22024,202696,Nikola Vučević,1610612741,CHI,Chicago Bulls,PRRollMan,Offensive,0.605,73,0.283,1.145,0.527,0.058,0.046,0.052,0.023,0.513,0.584,345,395,167,317,150
22024,1627734,Domantas Sabonis,1610612758,SAC,Sacramento Kings,PRRollMan,Offensive,0.756,70,0.224,1.222,0.575,0.12,0.062,0.12,0.029,0.575,0.629,275,336,134,233,99
22024,1628386,Jarrett Allen,1610612739,CLE,Cleveland Cavaliers,PRRollMan,Offensive,0.865,82,0.289,1.308,0.685,0.168,0.076,0.164,0.044,0.66,0.685,250,327,137,200,63
22024,1626167,Myles Turner,1610612754,IND,Indiana Pacers,PRRollMan,Offensive,0.538,72,0.279,1.11,0.469,0.124,0.059,0.121,0.028,0.493,0.547,290,322,115,245,130
22024,1627826,Ivica Zubac,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.782,80,0.196,1.246,0.665,0.079,0.075,0.079,0.018,0.627,0.665,228,284,131,197,66
22024,203999,Nikola Jokić,1610612743,DEN,Denver Nuggets,PRRollMan,Offensive,0.835,70,0.12,1.29,0.582,0.14,0.061,0.117,0.028,0.593,0.65,214,276,103,177,74
22024,201572,Brook Lopez,1610612749,MIL,Milwaukee Bucks,PRRollMan,Offensive,0.726,80,0.242,1.203,0.49,0.095,0.027,0.095,0.023,0.514,0.59,222,267,98,200,102
22024,1630578,Alperen Sengun,1610612745,HOU,Houston Rockets,PRRollMan,Offensive,0.293,76,0.182,0.943,0.467,0.129,0.072,0.125,0.022,0.477,0.478,279,263,107,229,122
22024,1630168,Onyeka Okongwu,1610612737,ATL,Atlanta Hawks,PRRollMan,Offensive,0.823,74,0.227,1.283,0.648,0.172,0.066,0.172,0.04,0.646,0.664,198,254,103,159,56
22024,1626157,Karl-Anthony Towns,1610612752,NYK,New York Knicks,PRRollMan,Offensive,0.786,72,0.126,1.253,0.55,0.172,0.056,0.167,0.035,0.581,0.613,198,248,88,160,72
