--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
2002-03,NBA,Gilbert Arenas,(V),21,GSW,82,35.0,18.3,4.7,6.3,1.5,0.2,.431,.348,.791,6.5,.109,arenagi01
2001-02,NBA,Jermaine O'Neal,(V),23,IND,72,37.6,19.0,10.5,1.6,0.6,2.3,.479,.071,.688,6.4,.113,onealje01
2000-01,NBA,Tracy McGrady,(V),21,ORL,77,40.1,26.8,7.5,4.6,1.5,1.5,.457,.355,.733,12.2,.189,mcgratr01
1999-00,NBA,Jalen Rose,(V),27,IND,80,37.2,18.2,4.8,4.0,1.1,0.6,.471,.393,.827,7.3,.118,roseja01
1998-99,NBA,Darrell Armstrong,(V),30,ORL,50,30.0,13.8,3.6,6.7,2.2,0.1,.441,.365,.904,6.4,.205,armstda01
1997-98,NBA,Alan Henderson,(V),25,ATL,69,29.0,14.3,6.4,1.1,0.6,0.5,.485,.500,.652,6.0,.144,hendeal01
1996-97,NBA,Isaac Austin,(V),27,MIA,82,22.9,9.7,5.8,1.2,0.5,0.5,.502,.000,.664,4.0,.102,austiis01
1995-96,NBA,Gheorghe Mureșan,(V),24,WSB,76,29.5,14.5,9.6,0.7,0.7,2.3,.584,.000,.619,8.0,.172,muresgh01
1994-95,NBA,Dana Barros,(V),27,PHI,82,40.5,20.6,3.3,7.5,1.8,0.0,.490,.464,.899,12.7,.183,barroda01
1993-94,NBA,Don MacLean,(V),24,WSB,75,33.2,18.2,6.2,2.1,0.6,0.3,.502,.143,.824,5.6,.108,macledo01
1992-93,NBA,Mahmoud Abdul-Rauf,(V),23,DEN,81,33.5,19.2,2.8,4.2,1.0,0.1,.450,.355,.935,5.1,.091,abdulma02
1991-92,NBA,Pervis Ellison,(V),24,WSB,66,38.0,20.0,11.2,2.9,0.9,2.7,.539,.333,.728,6.9,.131,ellispe01
1990-91,NBA,Scott Skiles,(V),26,ORL,79,34.4,17.2,3.4,8.4,1.1,0.1,.445,.408,.902,7.0,.124,skilesc01
1989-90,NBA,Rony Seikaly,(V),24,MIA,74,32.6,16.6,10.4,1.1,1.1,1.7,.502,.000,.594,3.2,.063,seikaro01
1988-89,NBA,Kevin Johnson,(V),22,PHO,81,39.2,20.4,4.2,12.2,1.7,0.3,.505,.091,.882,12.2,.184,johnske02
1987-88,NBA,Kevin Duckworth,(V),23,POR,78,28.5,15.8,7.4,0.8,0.4,0.4,.496,,.770,5.2,.112,duckwke01
1986-87,NBA,Dale Ellis,(V),26,SEA,82,37.5,24.9,5.5,2.9,1.3,0.4,.516,.358,.787,9.3,.145,ellisda01
1985-86,NBA,Alvin Robertson,(V),23,SAS,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143,roberal01
