,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
2024-25,NBA,Evan Mobley,(V),23,CLE,71,30.5,18.5,9.3,3.2,0.9,1.6,.557,.370,.725,9.0,.200,mobleev01
2023-24,NBA,Rudy Gobert,(V),31,MIN,76,34.1,14.0,12.9,1.3,0.7,2.1,.661,.000,.638,11.6,.216,goberru01
2022-23,NBA,Jaren Jackson Jr.,(V),23,MEM,63,28.4,18.6,6.8,1.0,1.0,3.0,.506,.355,.788,6.6,.177,jacksja02
2021-22,NBA,Marcus Smart,(V),27,BOS,71,32.3,12.1,3.8,5.9,1.7,0.3,.418,.331,.793,5.6,.116,smartma01
2020-21,NBA,Rudy Gobert,(V),28,UTA,71,30.8,14.3,13.5,1.3,0.6,2.7,.675,.000,.623,11.3,.248,goberru01
2019-20,NBA,Giannis Antetokounmpo,(V),25,MIL,63,30.4,29.5,13.6,5.6,1.0,1.0,.553,.304,.633,11.1,.279,antetgi01
2018-19,NBA,Rudy Gobert,(V),26,UTA,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,goberru01
2017-18,NBA,Rudy Gobert,(V),25,UTA,56,32.4,13.5,10.7,1.4,0.8,2.3,.622,,.682,8.1,.214,goberru01
2016-17,NBA,Draymond Green,(V),26,GSW,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,greendr01
2015-16,NBA,Kawhi Leonard,(V),24,SAS,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,leonaka01
2014-15,NBA,Kawhi Leonard,(V),23,SAS,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,leonaka01
2013-14,NBA,Joakim Noah,(V),28,CHI,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,noahjo01
2012-13,NBA,Marc Gasol,(V),28,MEM,80,35.0,14.1,7.8,4.0,1.0,1.7,.494,.071,.848,11.5,.197,gasolma01
