game_id,game_date,away_team,home_team,game_no,pf,opp_pf
22400067,2024-10-23,CLE,TOR,1,106,136.0
22400078,2024-10-25,PHI,TOR,2,115,107.0
22400093,2024-10-26,TOR,MIN,3,101,112.0
22400107,2024-10-28,DEN,TOR,4,125,127.0
22400117,2024-10-30,TOR,CHA,5,133,138.0
22400137,2024-11-01,LAL,TOR,6,125,131.0
22400143,2024-11-02,SAC,TOR,7,131,128.0
22400166,2024-11-04,TOR,DEN,8,119,121.0
22400180,2024-11-06,TOR,SAC,9,107,122.0
22400200,2024-11-09,TOR,LAC,10,103,105.0
22400211,2024-11-10,TOR,LAL,11,103,123.0
22400005,2024-11-12,TOR,MIL,12,85,99.0
22400011,2024-11-15,DET,TOR,13,95,99.0
22400230,2024-11-16,TOR,BOS,14,123,126.0
22400247,2024-11-18,IND,TOR,15,130,119.0
22400261,2024-11-21,MIN,TOR,16,110,105.0
22400275,2024-11-24,TOR,CLE,17,108,122.0
22400278,2024-11-25,TOR,DET,18,100,102.0
22400295,2024-11-27,TOR,NOP,19,119,93.0
22400046,2024-11-29,TOR,MIA,20,111,121.0
22400309,2024-12-01,MIA,TOR,21,119,116.0
22400054,2024-12-03,IND,TOR,22,122,111.0
22400328,2024-12-05,OKC,TOR,23,92,129.0
22400344,2024-12-07,DAL,TOR,24,118,125.0
22400359,2024-12-09,NYK,TOR,25,108,113.0
22401206,2024-12-12,TOR,MIA,26,104,114.0
22401223,2024-12-16,CHI,TOR,27,121,122.0
22400364,2024-12-19,BKN,TOR,28,94,101.0
22400388,2024-12-22,HOU,TOR,29,110,114.0
22400397,2024-12-23,TOR,NYK,30,125,139.0
22400414,2024-12-26,TOR,MEM,31,126,155.0
22400438,2024-12-29,ATL,TOR,32,107,136.0
22400449,2024-12-31,TOR,BOS,33,71,125.0
22400459,2025-01-01,BKN,TOR,34,130,113.0
22400470,2025-01-03,ORL,TOR,35,97,106.0
22400497,2025-01-06,MIL,TOR,36,104,128.0
22400511,2025-01-08,TOR,NYK,37,98,112.0
22400517,2025-01-09,TOR,CLE,38,126,132.0
22400534,2025-01-11,TOR,DET,39,114,123.0
22400550,2025-01-13,GSW,TOR,40,104,101.0
22400562,2025-01-15,BOS,TOR,41,110,97.0
22400580,2025-01-17,TOR,MIL,42,112,130.0
22400608,2025-01-21,ORL,TOR,43,109,93.0
22400623,2025-01-23,TOR,ATL,44,122,119.0
22400639,2025-01-25,TOR,ATL,45,117,94.0
22400654,2025-01-27,NOP,TOR,46,113,104.0
22400665,2025-01-29,TOR,WAS,47,106,82.0
22400682,2025-01-31,CHI,TOR,48,106,122.0
22400697,2025-02-02,LAC,TOR,49,115,108.0
22400713,2025-02-04,NYK,TOR,50,115,121.0
22400722,2025-02-05,MEM,TOR,51,107,138.0
22400739,2025-02-07,TOR,OKC,52,109,121.0
22400753,2025-02-09,TOR,HOU,53,87,94.0
22400764,2025-02-11,TOR,PHI,54,106,103.0
22400774,2025-02-12,CLE,TOR,55,108,131.0
22400800,2025-02-21,MIA,TOR,56,111,120.0
22400816,2025-02-23,PHX,TOR,57,127,109.0
22400829,2025-02-25,BOS,TOR,58,101,111.0
22400837,2025-02-26,TOR,IND,59,91,111.0
22400855,2025-02-28,TOR,CHI,60,115,125.0
22400870,2025-03-02,TOR,ORL,61,104,102.0
22400883,2025-03-04,TOR,ORL,62,114,113.0
22400905,2025-03-07,UTA,TOR,63,118,109.0
22400915,2025-03-08,WAS,TOR,64,117,118.0
22400932,2025-03-10,WAS,TOR,65,119,104.0
22400947,2025-03-12,PHI,TOR,66,118,105.0
22400966,2025-03-14,TOR,UTA,67,126,118.0
22400980,2025-03-16,TOR,POR,68,102,105.0
22400991,2025-03-17,TOR,PHX,69,89,129.0
22401005,2025-03-20,TOR,GSW,70,114,117.0
22401033,2025-03-23,SAS,TOR,71,89,123.0
22401039,2025-03-24,TOR,WAS,72,112,104.0
22401054,2025-03-26,TOR,BKN,73,116,86.0
22401069,2025-03-28,CHA,TOR,74,108,97.0
22401087,2025-03-30,TOR,PHI,75,127,109.0
22401099,2025-04-01,TOR,CHI,76,118,137.0
22401116,2025-04-03,POR,TOR,77,103,112.0
22401121,2025-04-04,DET,TOR,78,105,117.0
22401134,2025-04-06,TOR,BKN,79,120,109.0
22401158,2025-04-09,CHA,TOR,80,126,96.0
22401178,2025-04-11,TOR,DAL,81,102,124.0
22401197,2025-04-13,TOR,SAS,82,118,125.0
