group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,e_off_rating,off_rating,sp_work_off_rating,e_def_rating,def_rating,sp_work_def_rating,e_net_rating,net_rating,sp_work_net_rating,ast_pct,ast_to,ast_ratio,oreb_pct,dreb_pct,reb_pct,tm_tov_pct,e_tov_pct,efg_pct,ts_pct,usg_pct,e_usg_pct,e_pace,pace,pace_per40,sp_work_pace,pie,poss,fgm,fga,fgm_pg,fga_pg,fg_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,e_off_rating_rank,off_rating_rank,sp_work_off_rating_rank,e_def_rating_rank,def_rating_rank,sp_work_def_rating_rank,e_net_rating_rank,net_rating_rank,sp_work_net_rating_rank,ast_pct_rank,ast_to_rank,ast_ratio_rank,oreb_pct_rank,dreb_pct_rank,reb_pct_rank,tm_tov_pct_rank,e_tov_pct_rank,efg_pct_rank,ts_pct_rank,usg_pct_rank,e_usg_pct_rank,e_pace_rank,pace_rank,sp_work_pace_rank,pie_rank,fgm_rank,fga_rank,fgm_pg_rank,fga_pg_rank,fg_pct_rank
Players,1630245,Ayo Dosunmu,Ayo,1610612741,CHI,25.0,16,8,8,0.5,2.5,100.0,95.1,95.1,114.7,114.3,114.3,-14.7,-19.2,-19.2,0.048,0.0,7.7,0.024,0.073,0.049,0.0,0.0,0.333,0.491,0.132,0.132,100.27,102.85,85.71,102.85,0.05,81,3,9,0.2,0.6,0.333,203,187,288,212,270,361,382,382,283,326,326,347,380,380,304,250,303,242,318,343,1,1,324,290,250,278,226,245,245,316,239,219,309,273,289
Players,1629632,Coby White,Coby,1610612741,CHI,25.0,31,16,15,0.516,3.4,117.8,115.9,115.9,97.9,96.9,96.9,19.9,19.0,19.0,0.161,1.29,11.8,0.01,0.106,0.061,9.2,9.2,0.557,0.62,0.263,0.277,100.94,102.28,85.23,102.28,0.161,220,27,53,0.9,1.7,0.509,44,55,433,204,134,159,136,136,110,120,120,104,104,104,130,141,241,294,238,297,328,324,167,164,76,75,204,261,261,88,17,27,45,60,128
Players,1631207,Dalen Terry,Dalen,1610612741,CHI,22.0,2,1,1,0.5,1.4,136.1,133.3,133.3,174.1,183.3,183.3,-38.0,-50.0,-50.0,0.333,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.8,101.11,84.26,101.11,-0.054,6,0,0,0.0,0.0,0.0,410,375,35,212,405,45,33,33,476,490,490,428,458,458,30,250,1,302,382,400,1,1,369,392,435,436,153,295,295,468,369,419,369,419,369
Players,1630188,Jalen Smith,Jalen,1610612741,CHI,25.0,1,1,0,1.0,0.8,0.0,0.0,0.0,100.0,100.0,100.0,-100.0,-100.0,-100.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,86.4,115.2,96.0,115.2,0.0,2,0,1,0.0,1.0,0.0,439,375,1,1,445,471,471,471,122,138,138,476,481,482,337,250,337,302,1,1,1,1,369,392,3,1,462,94,92,387,369,362,369,132,369
Players,1628975,Jevon Carter,Jevon,1610612741,CHI,29.0,1,0,1,0.0,3.1,62.5,71.4,71.4,221.5,200.0,200.0,-159.0,-128.6,-128.6,1.0,2.0,50.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.25,0.25,111.22,108.74,90.61,108.74,-0.05,7,0,1,0.0,1.0,0.0,439,450,35,450,168,453,442,442,489,492,492,487,490,490,1,68,10,302,382,400,457,458,369,392,81,92,64,139,139,466,369,362,369,132,369
Players,1630581,Josh Giddey,Josh,1610612741,CHI,22.0,25,14,11,0.56,3.2,112.5,111.3,111.3,97.3,97.1,97.1,15.2,14.3,14.3,0.373,4.75,32.8,0.113,0.193,0.153,6.9,7.0,0.46,0.547,0.199,0.203,100.76,101.44,84.53,101.44,0.177,168,9,25,0.4,1.0,0.36,103,77,352,166,151,216,175,175,104,121,121,125,131,131,22,12,52,58,86,62,275,276,239,222,133,140,210,286,286,72,119,96,195,132,273
Players,1641763,Julian Phillips,Julian,1610612741,CHI,21.0,4,3,1,0.75,3.2,139.3,146.2,146.2,75.1,73.9,73.9,64.2,72.2,72.2,0.091,1.0,25.0,0.0,0.154,0.083,25.0,25.8,1.0,1.064,0.088,0.087,94.8,93.05,77.54,93.05,0.087,26,1,1,0.3,0.3,1.0,359,304,35,45,159,34,17,17,48,48,48,18,15,15,242,155,77,302,133,200,457,467,15,18,371,390,378,463,463,213,306,362,252,379,1
Players,1628989,Kevin Huerter,Kevin,1610612741,CHI,26.0,20,10,10,0.5,2.5,124.3,120.3,120.3,106.8,103.4,103.4,17.5,16.9,16.9,0.098,0.0,19.0,0.017,0.161,0.092,0.0,0.0,0.433,0.477,0.125,0.135,109.81,113.41,94.51,113.41,0.079,118,6,15,0.3,0.8,0.4,160,154,328,212,271,105,96,96,187,192,192,114,117,117,233,250,141,272,122,175,1,1,265,301,270,263,71,101,101,241,160,155,229,219,234
Players,1628366,Lonzo Ball,Lonzo,1610612741,CHI,27.0,16,8,8,0.5,3.6,112.0,110.1,110.1,84.6,84.7,84.7,27.4,25.3,25.3,0.15,3.0,25.0,0.032,0.106,0.07,8.3,8.4,0.429,0.476,0.13,0.135,99.35,100.11,83.43,100.11,0.095,119,4,14,0.3,0.9,0.286,203,187,288,212,113,222,196,196,65,74,74,74,71,71,151,33,77,215,239,267,302,307,266,303,254,265,252,335,335,196,210,162,252,180,323
Players,1641824,Matas Buzelis,Matas,1610612741,CHI,20.0,9,5,4,0.556,2.0,129.9,124.3,124.3,96.6,89.5,89.5,33.4,34.9,34.9,0.071,1.0,25.0,0.077,0.118,0.1,25.0,22.5,1.5,1.434,0.068,0.085,95.26,101.2,84.33,101.2,0.123,37,2,2,0.2,0.2,1.0,279,243,181,169,348,67,72,72,98,85,85,55,42,42,269,155,77,104,207,147,457,453,1,7,401,391,370,293,293,141,272,333,281,390,1
