group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,blk,blka,pf,pfd,nba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,blk_rank,blka_rank,pf_rank,pfd_rank,nba_fantasy_pts_rank
,201565,Derrick Rose,,1610612752,NYK,34.0,1,0,1,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425,418,18,418,443,247,238,174,315,1,1,1,422,204,1,1,329,413
,203095,Evan Fournier,,1610612752,NYK,30.0,8,4,4,0.5,49.7,4.5,13.6,0.0,0.0,0.0,18.2,9.1,63.6,0.0,0.0,9.1,4.5,25.0,290,278,136,188,109,80,9,174,315,1,346,332,43,204,1,385,181,332
,1630193,Immanuel Quickley,,1610612752,NYK,24.0,34,19,15,0.559,45.0,0.4,0.8,0.0,3.9,14.5,14.1,4.7,37.6,0.0,0.4,3.5,1.6,19.6,63,40,344,145,319,245,226,174,255,254,253,161,285,204,255,155,304,372
,1628392,Isaiah Hartenstein,,1610612752,NYK,25.0,20,11,9,0.55,51.0,1.9,4.8,0.0,11.5,13.5,22.1,5.8,44.2,1.0,1.0,10.6,1.0,32.9,181,158,258,152,75,192,70,174,93,232,389,190,173,141,319,411,325,249
,1628973,Jalen Brunson,,1610612752,NYK,26.0,35,19,16,0.543,49.2,6.1,0.3,2.6,21.9,15.8,19.3,4.8,39.2,1.0,1.3,5.5,11.6,59.4,55,40,363,159,123,53,236,73,14,283,367,166,259,140,342,252,21,58
,1630579,Jericho Sims,,1610612752,NYK,24.0,9,5,4,0.556,56.1,0.0,7.5,0.0,15.1,35.8,5.7,5.7,45.3,5.7,0.0,7.5,1.9,50.2,277,259,136,147,22,247,27,174,44,430,77,186,150,16,1,345,291,93
,1628404,Josh Hart,,1610612752,NYK,28.0,40,18,22,0.45,50.8,2.8,0.3,2.8,3.7,17.2,21.2,8.0,46.0,1.2,0.6,8.6,4.0,32.1,17,53,432,270,77,147,237,62,262,317,385,293,145,115,278,371,202,256
,203944,Julius Randle,,1610612752,NYK,28.0,42,22,20,0.524,49.1,3.4,4.0,1.6,8.0,15.6,20.7,5.8,39.8,0.8,2.1,7.4,10.6,53.6,10,16,415,177,133,125,100,123,156,280,379,191,252,155,409,341,28,74
,1630540,Miles McBride,,1610612752,NYK,22.0,5,3,2,0.6,33.8,0.0,15.0,0.0,0.0,5.0,20.0,0.0,20.0,0.0,5.0,5.0,10.0,30.0,338,304,72,113,423,247,8,174,315,82,369,1,412,204,441,234,38,279
,1629011,Mitchell Robinson,,1610612752,NYK,25.0,22,10,12,0.455,53.1,1.0,5.2,1.0,8.4,15.2,26.7,5.8,41.9,3.1,1.0,6.3,4.7,51.6,169,179,300,263,43,231,58,149,144,265,414,189,207,35,321,297,180,84
,1630167,Obi Toppin,,1610612752,NYK,25.0,6,5,1,0.833,44.2,6.7,0.0,13.3,13.3,0.0,10.0,13.3,40.0,0.0,0.0,10.0,0.0,23.3,322,259,18,23,337,41,238,5,67,1,148,404,234,204,1,402,329,345
,1629656,Quentin Grimes,,1610612752,NYK,23.0,34,17,17,0.5,45.5,0.9,4.5,0.9,4.5,17.2,15.4,6.8,34.4,0.5,0.0,7.2,1.8,30.0,63,61,376,188,301,235,82,154,244,319,283,235,342,191,1,335,298,278
,1629628,RJ Barrett,,1610612752,NYK,23.0,35,17,18,0.486,49.4,1.4,3.5,1.4,9.1,16.1,20.7,6.7,42.8,1.1,2.1,8.1,5.3,34.5,55,61,384,237,120,215,122,131,129,294,381,226,191,132,408,355,160,228
