team_id,team_name,gp,w,l,w_pct,min,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_tov,opp_stl,opp_blk,opp_blka,opp_pf,opp_pfd,opp_pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,opp_fgm_rank,opp_fga_rank,opp_fg_pct_rank,opp_fg3m_rank,opp_fg3a_rank,opp_fg3_pct_rank,opp_ftm_rank,opp_fta_rank,opp_ft_pct_rank,opp_oreb_rank,opp_dreb_rank,opp_reb_rank,opp_ast_rank,opp_tov_rank,opp_stl_rank,opp_blk_rank,opp_blka_rank,opp_pf_rank,opp_pfd_rank,opp_pts_rank,plus_minus_rank,team
1610612737,Atlanta Hawks,36,18,18,0.5,48.2,41.2,85.0,0.485,12.0,31.5,0.381,28.5,32.2,0.884,8.2,30.3,38.6,23.2,12.0,6.4,5.6,3.7,22.5,24.0,122.8,8.6,13,11,18,14,3,29,22,29,21,14,27,17,11,30,4,8,3,30,13,16,23,23,3,18,26,22,ATLANTA HAWKS
1610612738,Boston Celtics,43,17,26,0.395,45.4,35.5,82.5,0.431,13.6,40.4,0.336,34.0,41.9,0.813,8.4,34.0,42.5,18.7,13.6,6.3,4.5,5.4,28.0,29.8,118.7,17.2,1,17,29,27,23,18,20,14,28,29,16,24,25,21,7,25,16,21,7,14,15,7,25,7,22,26,BOSTON CELTICS
1610612751,Brooklyn Nets,40,27,13,0.675,43.6,34.7,75.1,0.462,9.1,33.4,0.273,23.4,35.3,0.664,10.0,31.3,41.3,16.7,11.9,6.7,2.7,2.7,29.5,24.9,101.8,-13.7,3,1,3,3,28,14,7,22,7,21,4,7,17,1,17,12,10,7,14,19,5,28,28,13,10,7,BROOKLYN NETS
1610612766,Charlotte Hornets,31,18,13,0.581,46.7,29.9,74.1,0.404,9.4,30.8,0.304,28.1,34.8,0.808,9.4,29.0,38.4,17.9,12.9,5.4,2.7,4.5,28.6,29.0,97.3,-25.0,23,11,3,6,14,3,4,5,9,12,9,16,16,18,12,5,2,15,8,4,4,16,26,8,5,2,CHARLOTTE HORNETS
1610612741,Chicago Bulls,35,14,21,0.4,43.4,33.8,76.3,0.443,11.8,31.7,0.374,34.8,40.4,0.862,8.4,28.6,36.9,18.8,11.1,6.3,2.1,4.2,26.5,26.1,114.3,7.0,15,24,24,26,30,11,9,18,19,16,23,26,24,28,6,3,1,22,24,13,2,20,19,12,21,20,CHICAGO BULLS
1610612739,Cleveland Cavaliers,26,11,15,0.423,47.3,38.2,79.6,0.48,10.2,27.1,0.377,23.6,30.7,0.768,10.7,32.9,43.6,20.4,15.1,6.2,8.0,2.7,29.3,24.9,110.2,11.6,29,27,10,24,7,23,12,28,14,4,24,8,9,5,19,20,22,25,2,12,29,29,27,14,15,24,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,33,18,15,0.545,47.1,39.5,87.0,0.455,12.1,34.4,0.351,30.7,36.3,0.846,12.1,32.1,44.2,16.3,7.9,6.5,3.3,3.7,27.0,24.7,121.9,7.4,20,11,10,10,10,28,27,21,22,23,19,21,20,27,23,16,25,6,30,17,8,24,20,16,23,21,DALLAS MAVERICKS
1610612743,Denver Nuggets,31,18,13,0.581,47.6,36.2,81.3,0.445,7.9,29.9,0.264,26.6,31.9,0.835,12.2,28.6,40.8,15.8,12.8,7.9,4.9,4.9,26.3,22.7,106.9,-9.2,23,11,3,6,5,19,16,20,3,10,2,14,10,26,24,4,9,4,10,25,19,11,18,24,13,8,DENVER NUGGETS
1610612765,Detroit Pistons,32,7,25,0.219,47.3,38.0,81.8,0.464,12.8,31.0,0.413,38.0,48.8,0.778,10.5,32.2,42.6,20.9,9.3,7.0,7.0,2.3,27.9,33.3,126.7,20.2,21,29,28,30,8,21,18,23,25,13,29,28,28,9,18,18,17,27,29,20,27,30,24,3,29,27,DETROIT PISTONS
1610612744,Golden State Warriors,32,16,16,0.5,46.6,38.6,83.0,0.465,14.1,35.7,0.395,31.5,40.2,0.784,11.6,31.5,43.2,17.4,11.6,6.6,3.7,5.0,17.4,27.0,122.8,8.7,21,20,13,14,16,25,21,24,29,27,28,23,23,12,21,13,20,12,18,18,11,10,1,10,25,23,GOLDEN STATE WARRIORS
