GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,ROUND,GAME_NO_IN_SERIES
41800101,2019-04-14,DET,MIL,RND1,1
41800102,2019-04-17,DET,MIL,RND1,2
41800103,2019-04-20,MIL,DET,RND1,3
41800104,2019-04-22,MIL,DET,RND1,4
41800201,2019-04-28,BOS,MIL,SF,1
41800202,2019-04-30,BOS,MIL,SF,2
41800203,2019-05-03,MIL,BOS,SF,3
41800204,2019-05-06,MIL,BOS,SF,4
41800205,2019-05-08,BOS,MIL,SF,5
41800301,2019-05-15,TOR,MIL,CONF,1
41800302,2019-05-17,TOR,MIL,CONF,2
41800303,2019-05-19,MIL,TOR,CONF,3
41800304,2019-05-21,MIL,TOR,CONF,4
41800305,2019-05-23,TOR,MIL,CONF,5
41800306,2019-05-25,MIL,TOR,CONF,6
