TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1610612747,Los Angeles Lakers,LAL,5,5,0.37,91,161,0.565,0.631,-0.066
1610612760,Oklahoma City Thunder,OKC,17,17,0.292,250,432,0.579,0.641,-0.062
1610612738,Boston Celtics,BOS,11,11,0.308,167,289,0.578,0.631,-0.053
1610612746,LA Clippers,LAC,7,7,0.39,139,233,0.597,0.649,-0.052
1610612765,Detroit Pistons,DET,6,6,0.313,97,165,0.588,0.635,-0.047
1610612754,Indiana Pacers,IND,17,17,0.337,307,505,0.608,0.647,-0.039
1610612752,New York Knicks,NYK,18,18,0.311,298,475,0.627,0.649,-0.022
1610612753,Orlando Magic,ORL,5,5,0.349,86,136,0.632,0.653,-0.021
1610612744,Golden State Warriors,GSW,12,12,0.366,215,362,0.594,0.611,-0.017
1610612745,Houston Rockets,HOU,7,7,0.31,110,188,0.585,0.598,-0.013
1610612743,Denver Nuggets,DEN,14,14,0.333,264,413,0.639,0.638,0.002
1610612750,Minnesota Timberwolves,MIN,15,15,0.308,246,386,0.637,0.632,0.005
1610612763,Memphis Grizzlies,MEM,4,4,0.285,71,109,0.651,0.642,0.009
1610612749,Milwaukee Bucks,MIL,5,5,0.279,82,122,0.672,0.663,0.009
1610612748,Miami Heat,MIA,4,4,0.307,73,105,0.695,0.661,0.034
1610612739,Cleveland Cavaliers,CLE,9,9,0.272,142,204,0.696,0.652,0.044
