CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,18,18,1.0,140,300,0.467,0.49,-0.024
203999,Nikola Jokić,1610612743,DEN,C,30.0,14,14,1.0,139,285,0.488,0.508,-0.02
1628973,Jalen Brunson,1610612752,NYK,G,28.0,18,18,1.0,137,283,0.484,0.463,0.021
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,18,18,1.0,126,279,0.452,0.498,-0.046
1626167,Myles Turner,1610612754,IND,C-F,29.0,18,18,1.0,127,273,0.465,0.52,-0.054
1631128,Christian Braun,1610612743,DEN,G,24.0,14,14,1.0,112,264,0.424,0.479,-0.055
1627750,Jamal Murray,1610612743,DEN,G,28.0,14,14,1.0,123,252,0.488,0.483,0.005
1629614,Andrew Nembhard,1610612754,IND,G-F,25.0,18,18,1.0,108,251,0.43,0.479,-0.049
1628404,Josh Hart,1610612752,NYK,G,30.0,18,18,1.0,115,251,0.458,0.478,-0.019
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,18,18,1.0,106,249,0.426,0.472,-0.047
1627783,Pascal Siakam,1610612754,IND,F,31.0,18,18,1.0,115,245,0.469,0.504,-0.035
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,18,18,1.0,109,242,0.45,0.473,-0.023
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,18,18,1.0,105,238,0.441,0.484,-0.043
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,18,18,1.0,97,227,0.427,0.476,-0.048
203497,Rudy Gobert,1610612750,MIN,C,32.0,15,15,1.0,98,224,0.438,0.488,-0.051
203110,Draymond Green,1610612744,GSW,F,35.0,12,12,1.0,88,212,0.415,0.477,-0.062
1628392,Isaiah Hartenstein,1610612760,OKC,C-F,27.0,18,18,1.0,99,208,0.476,0.509,-0.033
1630183,Jaden McDaniels,1610612750,MIN,F,24.0,15,15,1.0,92,204,0.451,0.469,-0.018
1629652,Luguentz Dort,1610612760,OKC,G,26.0,18,18,1.0,82,198,0.414,0.478,-0.064
1630174,Aaron Nesmith,1610612754,IND,G-F,25.0,18,18,1.0,88,193,0.456,0.488,-0.032
1627936,Alex Caruso,1610612760,OKC,G,31.0,18,18,1.0,82,183,0.448,0.482,-0.034
203944,Julius Randle,1610612750,MIN,F-C,30.0,15,15,1.0,83,183,0.454,0.482,-0.029
1641717,Cason Wallace,1610612760,OKC,G,21.0,18,18,1.0,73,177,0.412,0.477,-0.065
203932,Aaron Gordon,1610612743,DEN,F,29.0,14,14,1.0,75,176,0.426,0.486,-0.06
201143,Al Horford,1610612738,BOS,C-F,39.0,11,11,1.0,65,176,0.369,0.476,-0.107
1629675,Naz Reid,1610612750,MIN,C-F,25.0,15,15,1.0,81,166,0.488,0.474,0.014
1628401,Derrick White,1610612738,BOS,G,30.0,11,11,1.0,74,163,0.454,0.465,-0.011
1627826,Ivica Zubac,1610612746,LAC,C,28.0,7,7,1.0,77,158,0.487,0.52,-0.032
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,18,18,1.0,74,151,0.49,0.491,-0.001
1630162,Anthony Edwards,1610612750,MIN,G,23.0,15,15,1.0,60,148,0.405,0.471,-0.065
1629011,Mitchell Robinson,1610612752,NYK,C-F,27.0,18,18,1.0,58,142,0.408,0.484,-0.076
1629008,Michael Porter Jr.,1610612743,DEN,F,26.0,14,14,1.0,69,137,0.504,0.5,0.004
1628386,Jarrett Allen,1610612739,CLE,C,27.0,9,9,1.0,62,134,0.463,0.489,-0.026
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,11,11,1.0,59,131,0.45,0.469,-0.019
1627741,Buddy Hield,1610612744,GSW,G,32.0,12,12,1.0,69,130,0.531,0.459,0.071
1629638,Nickeil Alexander-Walker,1610612750,MIN,G,26.0,15,15,1.0,60,128,0.469,0.468,0.001
202710,Jimmy Butler III,1610612744,GSW,F,35.0,11,11,1.0,70,126,0.556,0.473,0.082
201144,Mike Conley,1610612750,MIN,G,37.0,15,15,1.0,50,120,0.417,0.463,-0.047
1630596,Evan Mobley,1610612739,CLE,C,23.0,8,8,1.0,58,119,0.487,0.485,0.003
204001,Kristaps Porziņģis,1610612738,BOS,F-C,29.0,11,11,1.0,58,118,0.492,0.476,0.016
1641764,Brandin Podziemski,1610612744,GSW,G,22.0,12,12,1.0,53,116,0.457,0.46,-0.003
1628436,Luke Kornet,1610612738,BOS,C-F,29.0,11,11,1.0,41,109,0.376,0.476,-0.1
1630540,Miles McBride,1610612752,NYK,G,24.0,18,18,1.0,53,109,0.486,0.464,0.022
1629622,Max Strus,1610612739,CLE,G-F,29.0,9,9,1.0,49,109,0.45,0.482,-0.032
1628978,Donte DiVincenzo,1610612750,MIN,G,28.0,15,15,1.0,57,106,0.538,0.465,0.073
1630167,Obi Toppin,1610612754,IND,F,27.0,18,18,1.0,47,106,0.443,0.49,-0.047
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,5,5,1.0,48,105,0.457,0.477,-0.019
1630578,Alperen Sengun,1610612745,HOU,C,22.0,7,7,1.0,39,104,0.375,0.445,-0.07
1627832,Fred VanVleet,1610612745,HOU,G,31.0,7,7,1.0,49,104,0.471,0.428,0.043
1631105,Jalen Duren,1610612765,DET,C,21.0,6,6,1.0,40,102,0.392,0.502,-0.11
1630595,Cade Cunningham,1610612765,DET,G,23.0,6,6,1.0,45,98,0.459,0.48,-0.021
1630559,Austin Reaves,1610612747,LAL,G,27.0,5,5,1.0,37,97,0.381,0.462,-0.081
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,7,7,1.0,45,97,0.464,0.449,0.015
201935,James Harden,1610612746,LAC,G,35.0,7,7,1.0,48,96,0.5,0.515,-0.015
1630598,Aaron Wiggins,1610612760,OKC,G,26.0,16,16,1.0,35,96,0.365,0.481,-0.116
201950,Jrue Holiday,1610612738,BOS,G,34.0,8,8,1.0,37,96,0.385,0.479,-0.094
1629060,Rui Hachimura,1610612747,LAL,F,27.0,5,5,1.0,42,96,0.438,0.478,-0.04
1631097,Bennedict Mathurin,1610612754,IND,G-F,22.0,15,15,1.0,49,95,0.516,0.473,0.043
1631094,Paolo Banchero,1610612753,ORL,F,22.0,5,5,1.0,47,91,0.516,0.466,0.051
1630202,Payton Pritchard,1610612738,BOS,G,27.0,11,11,1.0,35,89,0.393,0.457,-0.064
1631212,Peyton Watson,1610612743,DEN,G,22.0,14,14,1.0,38,86,0.442,0.476,-0.034
204456,T.J. McConnell,1610612754,IND,G,33.0,18,18,1.0,38,86,0.442,0.45,-0.008
1631119,Jaylin Williams,1610612760,OKC,F,22.0,14,14,1.0,35,84,0.417,0.497,-0.081
1629660,Ty Jerome,1610612739,CLE,G-F,27.0,9,9,1.0,32,82,0.39,0.478,-0.088
203471,Dennis Schröder,1610612765,DET,G,31.0,6,6,1.0,42,82,0.512,0.472,0.04
1628369,Jayson Tatum,1610612738,BOS,F-G,27.0,8,8,1.0,42,82,0.512,0.469,0.043
1642366,Quinten Post,1610612744,GSW,C,25.0,11,11,1.0,40,81,0.494,0.477,0.016
202699,Tobias Harris,1610612765,DET,F,32.0,6,6,1.0,31,81,0.383,0.504,-0.121
1630224,Jalen Green,1610612745,HOU,G,23.0,7,7,1.0,28,79,0.354,0.443,-0.088
201566,Russell Westbrook,1610612743,DEN,G,36.0,13,13,1.0,24,79,0.304,0.485,-0.181
202695,Kawhi Leonard,1610612746,LAC,F,33.0,7,7,1.0,31,78,0.397,0.512,-0.114
1628378,Donovan Mitchell,1610612739,CLE,G,28.0,9,9,1.0,42,78,0.538,0.482,0.057
1641767,Ben Sheppard,1610612754,IND,G,23.0,16,16,1.0,41,77,0.532,0.476,0.056
1628418,Thomas Bryant,1610612754,IND,C-F,27.0,15,15,1.0,32,77,0.416,0.492,-0.076
1630541,Moses Moody,1610612744,GSW,G,23.0,12,12,1.0,35,74,0.473,0.457,0.016
1641744,Zach Edey,1610612763,MEM,C,23.0,4,4,1.0,37,72,0.514,0.515,-0.001
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,5,5,1.0,31,72,0.431,0.462,-0.032
1641708,Amen Thompson,1610612745,HOU,G-F,22.0,7,7,1.0,32,71,0.451,0.453,-0.002
1627739,Kris Dunn,1610612746,LAC,G,31.0,7,7,1.0,40,71,0.563,0.503,0.061
1629631,De'Andre Hunter,1610612739,CLE,F-G,27.0,8,8,1.0,30,71,0.423,0.475,-0.053
201587,Nicolas Batum,1610612746,LAC,G-F,36.0,7,7,1.0,36,70,0.514,0.501,0.014
201939,Stephen Curry,1610612744,GSW,G,37.0,8,8,1.0,29,70,0.414,0.45,-0.036
1626171,Bobby Portis,1610612749,MIL,F,30.0,5,5,1.0,26,68,0.382,0.486,-0.104
1626172,Kevon Looney,1610612744,GSW,F,29.0,11,11,1.0,32,66,0.485,0.47,0.015
203500,Steven Adams,1610612745,HOU,C,31.0,7,7,1.0,25,65,0.385,0.461,-0.077
1630198,Isaiah Joe,1610612760,OKC,G,25.0,17,17,1.0,35,65,0.538,0.478,0.061
1629731,Dean Wade,1610612739,CLE,F-C,28.0,8,8,1.0,36,62,0.581,0.486,0.095
1641709,Ausar Thompson,1610612765,DET,G-F,22.0,6,6,1.0,30,62,0.484,0.489,-0.005
1629639,Tyler Herro,1610612748,MIA,G,25.0,4,4,1.0,35,62,0.565,0.464,0.101
1631106,Tari Eason,1610612745,HOU,F,24.0,7,7,1.0,25,61,0.41,0.454,-0.044
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,5,5,1.0,29,61,0.475,0.492,-0.017
1630228,Jonathan Kuminga,1610612744,GSW,F,22.0,8,8,1.0,25,60,0.417,0.465,-0.048
1627827,Dorian Finney-Smith,1610612747,LAL,F,32.0,5,5,1.0,23,59,0.39,0.452,-0.063
203507,Giannis Antetokounmpo,1610612749,MIL,F,30.0,5,5,1.0,25,59,0.424,0.49,-0.067
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,4,4,1.0,22,57,0.386,0.485,-0.099
