CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
1627832,Fred VanVleet,1610612745,HOU,G,31.0,7,7,0.452,25,47,0.532,0.527,0.005
1628436,Luke Kornet,1610612738,BOS,C-F,29.0,11,11,0.431,21,47,0.447,0.6,-0.153
1628386,Jarrett Allen,1610612739,CLE,C,27.0,9,9,0.343,24,46,0.522,0.613,-0.091
1630559,Austin Reaves,1610612747,LAL,G,27.0,5,5,0.474,22,46,0.478,0.582,-0.104
1628978,Donte DiVincenzo,1610612750,MIN,G,28.0,15,14,0.425,34,45,0.756,0.595,0.16
1631105,Jalen Duren,1610612765,DET,C,21.0,6,6,0.441,21,45,0.467,0.604,-0.137
1630540,Miles McBride,1610612752,NYK,G,24.0,18,16,0.404,25,44,0.568,0.595,-0.027
1630595,Cade Cunningham,1610612765,DET,G,23.0,6,6,0.449,24,44,0.545,0.609,-0.064
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,7,7,0.443,29,43,0.674,0.564,0.11
1630596,Evan Mobley,1610612739,CLE,C,23.0,8,8,0.353,27,42,0.643,0.61,0.033
1626172,Kevon Looney,1610612744,GSW,F,29.0,11,11,0.636,22,42,0.524,0.57,-0.046
201587,Nicolas Batum,1610612746,LAC,G-F,36.0,7,7,0.6,27,42,0.643,0.623,0.019
1628369,Jayson Tatum,1610612738,BOS,F-G,27.0,8,8,0.5,25,41,0.61,0.59,0.019
201950,Jrue Holiday,1610612738,BOS,G,34.0,8,8,0.417,23,40,0.575,0.589,-0.014
1630598,Aaron Wiggins,1610612760,OKC,G,26.0,16,16,0.417,13,40,0.325,0.6,-0.275
202695,Kawhi Leonard,1610612746,LAC,F,33.0,7,7,0.513,20,40,0.5,0.613,-0.113
1631094,Paolo Banchero,1610612753,ORL,F,22.0,5,5,0.44,25,40,0.625,0.623,0.002
1630202,Payton Pritchard,1610612738,BOS,G,27.0,11,11,0.438,23,39,0.59,0.575,0.014
1642366,Quinten Post,1610612744,GSW,C,25.0,11,9,0.481,22,39,0.564,0.583,-0.019
1630167,Obi Toppin,1610612754,IND,F,27.0,18,14,0.358,24,38,0.632,0.62,0.012
1631212,Peyton Watson,1610612743,DEN,G,22.0,14,13,0.43,19,37,0.514,0.599,-0.086
1628418,Thomas Bryant,1610612754,IND,C-F,27.0,15,14,0.481,20,37,0.541,0.615,-0.074
1629660,Ty Jerome,1610612739,CLE,G-F,27.0,9,8,0.439,20,36,0.556,0.614,-0.058
203471,Dennis Schröder,1610612765,DET,G,31.0,6,6,0.415,18,34,0.529,0.561,-0.032
1630198,Isaiah Joe,1610612760,OKC,G,25.0,17,12,0.523,22,34,0.647,0.582,0.065
1630541,Moses Moody,1610612744,GSW,G,23.0,12,11,0.446,20,33,0.606,0.569,0.037
1629731,Dean Wade,1610612739,CLE,F-C,28.0,8,7,0.532,22,33,0.667,0.597,0.07
1631119,Jaylin Williams,1610612760,OKC,F,22.0,14,10,0.393,17,33,0.515,0.605,-0.09
1641767,Ben Sheppard,1610612754,IND,G,23.0,16,15,0.416,23,32,0.719,0.598,0.121
1627827,Dorian Finney-Smith,1610612747,LAL,F,32.0,5,5,0.525,16,31,0.516,0.57,-0.053
2544,LeBron James,1610612747,LAL,F,40.0,5,5,0.544,14,31,0.452,0.575,-0.124
1630578,Alperen Sengun,1610612745,HOU,C,22.0,7,6,0.288,11,30,0.367,0.561,-0.194
1630224,Jalen Green,1610612745,HOU,G,23.0,7,7,0.38,12,30,0.4,0.547,-0.147
1627739,Kris Dunn,1610612746,LAC,G,31.0,7,6,0.423,19,30,0.633,0.608,0.025
1631106,Tari Eason,1610612745,HOU,F,24.0,7,7,0.475,17,29,0.586,0.572,0.014
1630532,Franz Wagner,1610612753,ORL,F,23.0,5,5,0.527,20,29,0.69,0.616,0.074
1641709,Ausar Thompson,1610612765,DET,G-F,22.0,6,6,0.468,16,29,0.552,0.608,-0.056
201566,Russell Westbrook,1610612743,DEN,G,36.0,13,13,0.354,12,28,0.429,0.589,-0.16
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,5,5,0.389,19,28,0.679,0.623,0.055
1630228,Jonathan Kuminga,1610612744,GSW,F,22.0,8,8,0.467,17,28,0.607,0.576,0.031
1626171,Bobby Portis,1610612749,MIL,F,30.0,5,5,0.397,11,27,0.407,0.612,-0.205
203500,Steven Adams,1610612745,HOU,C,31.0,7,7,0.415,9,27,0.333,0.575,-0.242
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,5,5,0.443,18,27,0.667,0.617,0.049
1629631,De'Andre Hunter,1610612739,CLE,F-G,27.0,8,8,0.38,19,27,0.704,0.599,0.105
204456,T.J. McConnell,1610612754,IND,G,33.0,18,17,0.314,17,27,0.63,0.571,0.058
1641744,Zach Edey,1610612763,MEM,C,23.0,4,4,0.375,15,27,0.556,0.613,-0.057
1626181,Norman Powell,1610612746,LAC,G,32.0,7,7,0.542,15,26,0.577,0.618,-0.041
1631218,Trayce Jackson-Davis,1610612744,GSW,F,25.0,7,7,0.667,15,26,0.577,0.59,-0.013
1629636,Darius Garland,1610612739,CLE,G,25.0,5,5,0.595,19,25,0.76,0.612,0.148
203501,Tim Hardaway Jr.,1610612765,DET,G-F,33.0,6,6,0.455,19,25,0.76,0.602,0.158
1628378,Donovan Mitchell,1610612739,CLE,G,28.0,9,9,0.308,18,24,0.75,0.594,0.156
1627780,Gary Payton II,1610612744,GSW,G,32.0,11,9,0.49,9,24,0.375,0.558,-0.183
203507,Giannis Antetokounmpo,1610612749,MIL,F,30.0,5,5,0.407,13,24,0.542,0.628,-0.086
1627884,Derrick Jones Jr.,1610612746,LAC,F,28.0,7,7,0.48,11,24,0.458,0.587,-0.129
201939,Stephen Curry,1610612744,GSW,G,37.0,8,8,0.329,13,23,0.565,0.559,0.007
