SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,AVAILABLE_FLAG
2023-24,1610612738,BOS,Boston Celtics,0022301186,2024-04-14T00:00:00,BOS vs. WAS,W,45.3,20.8,13.2,22.6,56.6,22.6,13.2,25.5,64.2,0,0,0,1,119,562,1293,244,653,2081,1163,2333,2269,1
2023-24,1610612741,CHI,Chicago Bulls,0022301190,2024-04-14T00:00:00,CHI @ NYK,L,51.0,17.3,8.7,12.5,67.3,10.6,30.8,14.4,57.7,0,0,0,1231,17,1029,1971,1449,115,396,2440,1307,1876,1
2023-24,1610612755,PHI,Philadelphia 76ers,0022301192,2024-04-14T00:00:00,PHI vs. BKN,W,48.0,13.0,20.0,28.0,52.0,16.0,8.0,21.0,42.0,0,0,0,1,119,1721,354,52,1063,1202,388,2112,484,1
2023-24,1610612757,POR,Portland Trail Blazers,0022301200,2024-04-14T00:00:00,POR @ SAC,L,48.5,19.2,24.2,6.1,44.4,24.2,19.2,19.2,48.5,0,0,0,1231,119,752,109,2282,1769,2183,2017,1938,1050,1
2023-24,1610612751,BKN,Brooklyn Nets,0022301192,2024-04-14T00:00:00,BKN @ PHI,L,48.5,16.2,8.1,21.2,42.4,13.1,20.2,28.3,52.5,0,0,0,1231,119,1218,2045,326,1938,744,2112,2408,1439,1
2023-24,1610612765,DET,Detroit Pistons,0022301197,2024-04-14T00:00:00,DET @ SAS,L,47.5,12.9,21.8,8.9,45.5,20.8,9.9,25.7,63.4,0,0,0,1231,119,1742,223,2000,1676,1899,650,2341,2231,1
2023-24,1610612761,TOR,Toronto Raptors,0022301189,2024-04-14T00:00:00,TOR @ MIA,L,48.5,22.2,24.2,8.1,54.5,29.3,20.2,16.2,68.7,0,0,0,1231,119,415,109,2083,801,2397,2112,1590,2379,1
2023-24,1610612739,CLE,Cleveland Cavaliers,0022301187,2024-04-14T00:00:00,CLE vs. CHA,L,49.5,11.3,19.6,14.4,49.5,19.6,15.5,17.5,49.5,0,0,0,1231,119,1975,393,1130,1309,1746,1548,1762,1143,1
2023-24,1610612756,PHX,Phoenix Suns,0022301194,2024-04-14T00:00:00,PHX @ MIN,W,51.1,37.2,22.3,13.8,51.1,16.0,22.3,7.4,53.2,0,0,0,1,119,1,189,1236,1130,1194,2275,305,1523,1
2023-24,1610612744,GSW,Golden State Warriors,0022301198,2024-04-14T00:00:00,GSW vs. UTA,W,48.0,31.0,17.0,15.0,54.0,7.0,23.0,10.0,60.0,0,0,0,1,119,32,680,1036,845,110,2305,614,2040,1
2023-24,1610612766,CHA,Charlotte Hornets,0022301187,2024-04-14T00:00:00,CHA @ CLE,W,49.5,19.6,15.5,17.5,49.5,11.3,19.6,14.4,49.5,0,0,0,1,119,708,902,691,1309,480,2062,1315,1143,1
2023-24,1610612747,LAL,Los Angeles Lakers,0022301195,2024-04-14T00:00:00,LAL @ NOP,W,47.5,26.7,10.9,18.8,67.3,11.9,7.9,14.9,41.6,0,0,0,1,119,143,1649,553,106,540,374,1385,456,1
2023-24,1610612748,MIA,Miami Heat,0022301189,2024-04-14T00:00:00,MIA vs. TOR,W,47.5,28.7,19.8,15.8,67.3,21.8,23.8,7.9,53.5,0,0,0,1,119,72,376,902,106,1989,2334,355,1550,1
2023-24,1610612764,WAS,Washington Wizards,0022301186,2024-04-14T00:00:00,WAS @ BOS,L,45.7,22.9,13.3,25.7,64.8,21.0,13.3,22.9,57.1,0,0,0,1231,119,362,1274,121,172,1916,1181,2228,1824,1
2023-24,1610612760,OKC,Oklahoma City Thunder,0022301196,2024-04-14T00:00:00,OKC vs. DAL,W,45.3,22.6,21.7,14.2,66.0,17.0,11.3,26.4,35.8,0,0,0,1,119,381,230,1178,132,1355,875,2367,153,1
2023-24,1610612746,LAC,LA Clippers,0022301199,2024-04-14T00:00:00,LAC vs. HOU,L,44.9,15.9,14.0,20.6,54.2,8.4,31.8,17.8,69.2,0,0,0,1231,119,1265,1140,394,833,198,2446,1787,2387,1
2023-24,1610612762,UTA,Utah Jazz,0022301198,2024-04-14T00:00:00,UTA @ GSW,L,48.0,7.0,23.0,10.0,60.0,31.0,17.0,15.0,54.0,0,0,0,1231,119,2349,153,1835,398,2429,1774,1403,1594,1
2023-24,1610612749,MIL,Milwaukee Bucks,0022301191,2024-04-14T00:00:00,MIL @ ORL,L,50.5,11.6,7.4,2.1,33.7,25.3,10.5,26.3,56.8,0,0,0,1231,119,1950,2149,2431,2373,2243,744,2360,1805,1
2023-24,1610612750,MIN,Minnesota Timberwolves,0022301194,2024-04-14T00:00:00,MIN vs. PHX,L,51.6,16.1,22.6,7.5,53.8,37.6,22.6,14.0,51.6,0,0,0,1231,119,1233,171,2144,875,2460,2288,1240,1367,1
2023-24,1610612745,HOU,Houston Rockets,0022301199,2024-04-14T00:00:00,HOU @ LAC,W,44.9,8.4,31.8,17.8,69.2,15.9,14.0,20.6,54.2,0,0,0,1,119,2264,15,667,73,1191,1314,2069,1619,1
2023-24,1610612753,ORL,Orlando Magic,0022301191,2024-04-14T00:00:00,ORL vs. MIL,W,51.1,25.5,10.6,26.6,57.4,11.7,7.4,2.1,34.0,0,0,0,1,119,208,1691,90,599,514,318,31,96,1
2023-24,1610612737,ATL,Atlanta Hawks,0022301188,2024-04-14T00:00:00,ATL @ IND,L,44.9,15.0,11.2,10.3,43.0,26.2,18.7,24.3,74.8,0,0,0,1231,119,1426,1601,1806,1901,2282,1978,2297,2442,1
2023-24,1610612754,IND,Indiana Pacers,0022301188,2024-04-14T00:00:00,IND vs. ATL,W,44.9,26.2,18.7,24.3,74.8,15.0,11.2,10.3,43.0,0,0,0,1,119,181,477,162,21,1031,859,653,561,1
2023-24,1610612743,DEN,Denver Nuggets,0022301193,2024-04-14T00:00:00,DEN @ MEM,W,46.6,16.5,18.4,17.5,58.3,23.3,15.5,6.8,64.1,0,0,0,1,119,1161,506,698,520,2125,1563,243,2261,1
2023-24,1610612752,NYK,New York Knicks,0022301190,2024-04-14T00:00:00,NYK vs. CHI,W,50.5,10.5,30.5,14.3,57.1,17.1,8.6,12.4,66.7,0,0,0,1,17,2069,21,1153,618,1388,474,987,2332,1
2023-24,1610612740,NOP,New Orleans Pelicans,0022301195,2024-04-14T00:00:00,NOP vs. LAL,L,47.1,11.8,7.8,14.7,41.2,26.5,10.8,18.6,66.7,0,0,0,1231,119,1931,2088,1094,2021,2301,784,1883,2332,1
2023-24,1610612763,MEM,Memphis Grizzlies,0022301193,2024-04-14T00:00:00,MEM vs. DEN,L,46.6,23.3,15.5,6.8,64.1,16.5,18.4,17.5,58.3,0,0,0,1231,119,333,889,2219,195,1292,1953,1756,1926,1
2023-24,1610612758,SAC,Sacramento Kings,0022301200,2024-04-14T00:00:00,SAC vs. POR,W,48.5,24.2,19.2,19.2,48.5,19.2,24.2,6.1,44.4,0,0,0,1,119,272,427,511,1392,1702,2351,173,679,1
