close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg3m,fg3a,fg3_pct,ns_fg3_pct,plusminus
201935,James Harden,1610612746,LAC,G,35.0,79,77,0.392,144,405,0.356,0.363,-0.007
1627826,Ivica Zubac,1610612746,LAC,C,28.0,80,79,0.272,142,398,0.357,0.356,0.001
1627739,Kris Dunn,1610612746,LAC,G,31.0,74,73,0.445,109,300,0.363,0.366,-0.002
1627884,Derrick Jones Jr.,1610612746,LAC,F,28.0,77,75,0.396,86,261,0.33,0.364,-0.035
1626181,Norman Powell,1610612746,LAC,G,32.0,60,58,0.481,96,250,0.384,0.365,0.019
1629599,Amir Coffey,1610612746,LAC,G-F,27.0,72,66,0.442,92,246,0.374,0.369,0.005
203992,Bogdan Bogdanović,1610612746,LAC,G,32.0,54,52,0.437,96,241,0.398,0.37,0.029
201587,Nicolas Batum,1610612746,LAC,G-F,36.0,78,72,0.401,52,200,0.26,0.36,-0.1
202695,Kawhi Leonard,1610612746,LAC,F,33.0,37,36,0.452,69,169,0.408,0.363,0.045
1627732,Ben Simmons,1610612746,LAC,G-F,28.0,51,48,0.381,57,158,0.361,0.36,0.001
1629234,Drew Eubanks,1610612746,LAC,F-C,28.0,60,50,0.313,37,134,0.276,0.354,-0.078
1641757,Jordan Miller,1610612746,LAC,G,25.0,31,22,0.407,20,61,0.328,0.361,-0.033
201988,Patty Mills,1610612746,LAC,G,36.0,26,22,0.431,16,50,0.32,0.362,-0.042
1641738,Kobe Brown,1610612746,LAC,F,25.0,26,13,0.319,12,30,0.4,0.366,0.034
1631116,Patrick Baldwin Jr.,1610612746,LAC,F,22.0,17,7,0.345,5,10,0.5,0.355,0.145
1642353,Cam Christie,1610612746,LAC,G,19.0,7,3,0.412,0,7,0.0,0.361,-0.361
1642280,Trentyn Flowers,1610612746,LAC,F,20.0,4,3,0.4,1,4,0.25,0.301,-0.051
