game_id,game_date,away_team,home_team,pf,opp_pf,round,game_no_in_series
41800161,2019-04-14,OKC,POR,104,99.0,rnd1,1
41800162,2019-04-16,OKC,POR,114,94.0,rnd1,2
41800163,2019-04-19,POR,OKC,108,120.0,rnd1,3
41800164,2019-04-21,POR,OKC,111,98.0,rnd1,4
41800165,2019-04-23,OKC,POR,118,115.0,rnd1,5
41800231,2019-04-29,POR,DEN,113,121.0,sf,1
41800232,2019-05-01,POR,DEN,97,90.0,sf,2
41800233,2019-05-03,DEN,POR,140,137.0,sf,3
41800234,2019-05-05,DEN,POR,112,116.0,sf,4
41800235,2019-05-07,POR,DEN,98,124.0,sf,5
41800236,2019-05-09,DEN,POR,119,108.0,sf,6
41800237,2019-05-12,POR,DEN,100,96.0,sf,7
41800311,2019-05-14,POR,GSW,94,116.0,conf,1
41800312,2019-05-16,POR,GSW,111,114.0,conf,2
41800313,2019-05-18,GSW,POR,99,110.0,conf,3
41800314,2019-05-20,GSW,POR,117,119.0,conf,4
