GAME_ID,GAME_DATE,AWAY_TEAM,HOME_TEAM,ROUND,GAME_NO_IN_SERIES
42200101,2023-04-16,MIA,MIL,RND1,1
42200102,2023-04-19,MIA,MIL,RND1,2
42200103,2023-04-22,MIL,MIA,RND1,3
42200104,2023-04-24,MIL,MIA,RND1,4
42200105,2023-04-26,MIA,MIL,RND1,5
42200201,2023-04-30,MIA,NYK,SF,1
42200202,2023-05-02,MIA,NYK,SF,2
42200203,2023-05-06,NYK,MIA,SF,3
42200204,2023-05-08,NYK,MIA,SF,4
42200205,2023-05-10,MIA,NYK,SF,5
42200206,2023-05-12,NYK,MIA,SF,6
42200301,2023-05-17,MIA,BOS,CONF,1
42200302,2023-05-19,MIA,BOS,CONF,2
42200303,2023-05-21,BOS,MIA,CONF,3
42200304,2023-05-23,BOS,MIA,CONF,4
42200305,2023-05-25,MIA,BOS,CONF,5
42200306,2023-05-27,BOS,MIA,CONF,6
42200307,2023-05-29,MIA,BOS,CONF,7
42200401,2023-06-01,MIA,DEN,FINALS,1
42200402,2023-06-04,MIA,DEN,FINALS,2
42200403,2023-06-07,DEN,MIA,FINALS,3
42200404,2023-06-09,DEN,MIA,FINALS,4
42200405,2023-06-12,MIA,DEN,FINALS,5
