group_set,player_id,player,nickname,team_id,team,age,gp,w,l,w_pct,min,usg_pct,pct_fgm,pct_fga,pct_fg3m,pct_fg3a,pct_ftm,pct_fta,pct_oreb,pct_dreb,pct_reb,pct_ast,pct_tov,pct_stl,pct_blk,pct_blka,pct_pf,pct_pfd,pct_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,usg_pct_rank,pct_fgm_rank,pct_fga_rank,pct_fg3m_rank,pct_fg3a_rank,pct_ftm_rank,pct_fta_rank,pct_oreb_rank,pct_dreb_rank,pct_reb_rank,pct_ast_rank,pct_tov_rank,pct_stl_rank,pct_blk_rank,pct_blka_rank,pct_pf_rank,pct_pfd_rank,pct_pts_rank
Players,202692,Alec Burks,Alec,1610612752,NYK,29.0,22,11,11,0.5,75.0,0.288,0.353,0.321,0.476,0.42,0.375,0.364,0.0,0.2,0.169,0.111,0.188,0.083,0.333,0.375,0.176,0.316,0.374,121,114,332,176,104,53,41,54,30,30,37,40,263,179,226,222,316,224,75,398,211,64,33
Players,201565,Derrick Rose,Derrick,1610612752,NYK,32.0,23,11,12,0.478,78.0,0.231,0.208,0.287,0.2,0.2,0.023,0.035,0.0,0.14,0.103,0.16,0.238,0.273,0.3,0.3,0.105,0.047,0.155,104,114,349,224,99,84,131,76,150,169,294,299,263,273,325,181,354,113,92,361,120,311,205
Players,203901,Elfrid Payton,Elfrid,1610612752,NYK,27.0,14,6,8,0.429,39.0,0.16,0.16,0.183,0.0,0.1,0.118,0.115,0.222,0.0,0.048,0.375,0.2,0.0,0.0,0.2,0.111,0.136,0.137,205,214,264,265,193,182,203,169,245,276,198,224,144,360,367,46,321,238,180,308,125,211,240
Players,1628373,Frank Ntilikina,Frank,1610612752,NYK,22.0,12,9,3,0.75,10.0,0.154,0.2,0.231,0.5,0.333,0.5,0.333,0.0,0.222,0.2,0.5,0.0,1.0,0.0,0.0,0.429,0.2,0.313,235,152,109,39,323,195,139,108,16,62,17,48,263,154,175,16,1,1,180,1,420,126,56
Players,1630193,Immanuel Quickley,Immanuel,1610612752,NYK,22.0,23,13,10,0.565,64.0,0.182,0.14,0.191,0.091,0.233,0.306,0.286,0.167,0.095,0.111,0.355,0.118,0.083,0.167,0.2,0.179,0.158,0.178,104,77,302,134,127,142,236,158,218,141,64,78,179,314,313,53,248,224,132,308,215,184,158
Players,203944,Julius Randle,Julius,1610612752,NYK,26.0,35,19,16,0.543,156.0,0.307,0.286,0.314,0.205,0.2,0.303,0.306,0.259,0.322,0.31,0.345,0.353,0.37,0.133,0.235,0.213,0.378,0.281,9,15,410,155,1,46,77,59,149,169,69,66,125,59,68,58,407,57,149,336,273,30,76
Players,1628995,Kevin Knox II,Kevin,1610612752,NYK,21.0,5,4,1,0.8,2.0,0.125,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328,259,25,30,424,253,355,142,245,8,295,304,263,360,374,291,1,238,180,1,1,319,368
Players,1629011,Mitchell Robinson,Mitchell,1610612752,NYK,23.0,11,5,6,0.455,36.0,0.089,0.143,0.094,0.0,0.0,0.043,0.133,0.286,0.267,0.27,0.0,0.0,0.5,0.6,0.167,0.273,0.136,0.106,246,237,205,238,202,336,222,333,245,320,285,202,111,102,98,291,1,21,26,291,351,211,290
Players,203457,Nerlens Noel,Nerlens,1610612752,NYK,27.0,17,10,7,0.588,80.0,0.055,0.053,0.04,0.0,0.0,0.208,0.257,0.333,0.175,0.203,0.03,0.0,0.091,0.364,0.2,0.306,0.2,0.068,175,137,238,108,93,399,340,393,245,320,118,100,76,219,173,287,1,221,72,308,376,126,345
Players,1629628,RJ Barrett,RJ,1610612752,NYK,21.0,34,19,15,0.559,130.0,0.201,0.258,0.238,0.226,0.222,0.157,0.157,0.13,0.232,0.213,0.283,0.118,0.12,0.091,0.267,0.148,0.167,0.227,15,15,401,140,16,118,92,103,136,148,155,179,203,145,159,96,248,207,166,352,177,168,112
Players,203493,Reggie Bullock Jr.,Reggie,1610612752,NYK,30.0,28,17,11,0.607,119.0,0.102,0.1,0.082,0.231,0.209,0.069,0.063,0.111,0.198,0.183,0.105,0.31,0.292,0.091,0.0,0.111,0.063,0.107,58,26,332,97,22,313,287,352,133,165,258,277,215,194,208,231,385,99,166,1,125,300,288
Players,201959,Taj Gibson,Taj,1610612752,NYK,36.0,14,8,6,0.571,36.0,0.079,0.045,0.033,0.0,0.0,0.219,0.263,0.857,0.143,0.286,0.0,0.0,0.0,0.0,0.167,0.5,0.231,0.11,205,171,205,125,203,362,348,397,245,320,113,94,9,269,81,291,1,238,180,291,429,102,281
