team_id,team,sos_v0,season
1610612737,ATL,-1.8982748364069006,2016-17
1610612738,BOS,-1.7504461629982153,2016-17
1610612739,CLE,-1.652290303390839,2016-17
1610612740,NOP,-1.2157941701368233,2016-17
1610612741,CHI,-1.6027662105889353,2016-17
1610612742,DAL,-1.5318262938726948,2016-17
1610612743,DEN,-1.3658536585365855,2016-17
1610612744,GSW,-2.034800713860797,2016-17
1610612745,HOU,-1.3771564544913741,2016-17
1610612746,LAC,-1.5319750148721,2016-17
1610612747,LAL,-0.9596966091612135,2016-17
1610612748,MIA,-1.5600832837596668,2016-17
1610612749,MIL,-1.4150803093396789,2016-17
1610612750,MIN,-1.1485722784057109,2016-17
1610612751,BKN,-1.3221296847114814,2016-17
1610612752,NYK,-1.4509220701963117,2016-17
1610612753,ORL,-1.492415229030339,2016-17
1610612754,IND,-1.8413146936347413,2016-17
1610612755,PHI,-1.2085068411659725,2016-17
1610612756,PHX,-1.1563057703747768,2016-17
1610612757,POR,-1.4375371802498513,2016-17
1610612758,SAC,-1.328227245687091,2016-17
1610612759,SAS,-2.0197798929208806,2016-17
1610612760,OKC,-1.7343842950624628,2016-17
1610612761,TOR,-1.8602022605591908,2016-17
1610612762,UTA,-1.49360499702558,2016-17
1610612763,MEM,-1.0651397977394408,2016-17
1610612764,WAS,-1.586258179654967,2016-17
1610612765,DET,-1.4531528851873885,2016-17
1610612766,CHA,-1.5055026769779893,2016-17
1610612737,ATL,-1.62849494348602,2017-18
1610612738,BOS,-1.9503271861986913,2017-18
1610612739,CLE,-2.0353955978584177,2017-18
1610612740,NOP,-0.9791790600832838,2017-18
1610612741,CHI,-1.6622546103509817,2017-18
1610612742,DAL,-1.101130279595479,2017-18
1610612743,DEN,-1.2720107079119574,2017-18
1610612744,GSW,-1.8425044616299822,2017-18
1610612745,HOU,-1.610053539559786,2017-18
1610612746,LAC,-1.4955383700178464,2017-18
1610612747,LAL,-0.9869125520523497,2017-18
1610612748,MIA,-1.9531528851873885,2017-18
1610612749,MIL,-1.7441998810232004,2017-18
1610612750,MIN,-1.352766210588935,2017-18
1610612751,BKN,-1.4803688280785248,2017-18
1610612752,NYK,-1.5975609756097562,2017-18
1610612753,ORL,-1.4262343842950624,2017-18
1610612754,IND,-1.5983045806067817,2017-18
1610612755,PHI,-1.4155264723378942,2017-18
1610612756,PHX,-0.8979773944080905,2017-18
1610612757,POR,-1.3030933967876264,2017-18
1610612758,SAC,-1.1402439024390243,2017-18
1610612759,SAS,-1.5181439619274242,2017-18
1610612760,OKC,-1.2839083878643665,2017-18
1610612761,TOR,-1.955978584176086,2017-18
1610612762,UTA,-1.249851279000595,2017-18
1610612763,MEM,-1.37150505651398,2017-18
1610612764,WAS,-1.745092207019631,2017-18
1610612765,DET,-1.636228435455086,2017-18
1610612766,CHA,-1.7660618679357525,2017-18
1610612737,ATL,-1.4286139202855443,2018-19
1610612738,BOS,-1.669393218322427,2018-19
1610612739,CLE,-1.567668054729328,2018-19
1610612740,NOP,-1.5855145746579415,2018-19
1610612741,CHI,-1.3016061867935753,2018-19
1610612742,DAL,-1.1573468173706127,2018-19
1610612743,DEN,-1.2195121951219512,2018-19
1610612744,GSW,-1.8011600237953598,2018-19
1610612745,HOU,-1.7229327781082688,2018-19
1610612746,LAC,-1.5651397977394408,2018-19
