team_id,team_name,gp,w,l,w_pct,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612737,Atlanta Hawks,44,24,20,0.545,3.8,1.2,1.1,0.8,3.3,0.9,1.4,0.8,2.8,10,13,12,13,16,11,16,9,9,9,28,20,9,ATLANTA HAWKS
1610612738,Boston Celtics,46,25,21,0.543,3.4,1.3,1.3,1.2,3.2,0.8,1.1,0.6,2.9,7,7,15,14,19,8,8,5,10,7,14,8,15,BOSTON CELTICS
1610612751,Brooklyn Nets,41,15,26,0.366,3.4,1.0,1.0,0.7,2.8,1.5,0.7,0.6,3.0,21,25,23,25,24,20,20,20,18,26,2,7,18,BROOKLYN NETS
1610612766,Charlotte Hornets,42,22,20,0.524,3.7,1.2,1.2,0.5,2.2,0.6,1.0,0.9,3.0,16,15,12,15,20,14,10,23,29,2,10,26,19,CHARLOTTE HORNETS
1610612741,Chicago Bulls,46,27,19,0.587,4.6,1.0,0.9,0.2,2.8,1.2,1.9,1.1,4.3,7,5,9,7,3,22,26,30,16,15,30,28,30,CHICAGO BULLS
1610612739,Cleveland Cavaliers,33,19,14,0.576,4.3,1.4,1.4,1.0,3.7,1.2,1.3,0.8,3.2,28,20,3,9,23,7,7,7,5,18,24,20,24,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,49,25,24,0.51,4.6,1.7,0.8,1.1,3.0,0.7,1.3,0.8,3.4,5,7,20,16,1,1,29,6,13,5,22,19,28,DALLAS MAVERICKS
1610612743,Denver Nuggets,52,25,27,0.481,3.7,0.8,0.9,0.7,3.0,1.2,1.0,0.6,2.9,2,7,25,19,8,29,27,13,14,14,8,10,14,DENVER NUGGETS
1610612765,Detroit Pistons,42,25,17,0.595,4.1,1.2,1.2,0.5,3.6,0.7,0.9,0.4,3.1,16,7,4,4,10,13,10,25,7,4,4,2,22,DETROIT PISTONS
1610612744,Golden State Warriors,34,30,4,0.882,4.2,1.6,1.6,1.3,3.8,1.1,0.9,0.8,3.1,26,2,1,1,22,4,4,2,3,11,5,17,23,GOLDEN STATE WARRIORS
