season,team,team_id,team_hca,team_rcp,win_pct,opp_win_pct,opp_opp_win_pct,sos_v0
2022-23,ATL,1610612737,2.24,-1.66,0.5,0.5,0.501,-0.132
2022-23,BOS,1610612738,10.05,3.0,0.695,0.493,0.501,-0.287
2022-23,CLE,1610612739,8.2,2.56,0.622,0.496,0.501,-0.079
2022-23,NOP,1610612740,5.0,-1.22,0.512,0.495,0.5,-0.035
2022-23,CHI,1610612741,2.88,-0.29,0.488,0.504,0.501,0.08
2022-23,DAL,1610612742,2.68,-2.54,0.463,0.497,0.499,-0.14
2022-23,DEN,1610612743,9.78,-3.12,0.646,0.489,0.5,-0.228
2022-23,GSW,1610612744,7.98,-4.37,0.537,0.497,0.499,-0.458
2022-23,HOU,1610612745,-4.39,-11.32,0.268,0.509,0.499,0.35
2022-23,LAC,1610612746,2.15,-1.15,0.537,0.494,0.5,-0.026
2022-23,LAL,1610612747,3.22,-2.07,0.524,0.497,0.499,0.205
2022-23,MIA,1610612748,1.2,-1.83,0.537,0.503,0.5,-0.116
2022-23,MIL,1610612749,6.34,0.93,0.707,0.493,0.501,-0.115
2022-23,MIN,1610612750,0.9,-0.98,0.512,0.496,0.5,-0.164
2022-23,BKN,1610612751,2.98,-1.27,0.549,0.504,0.5,0.117
2022-23,NYK,1610612752,4.27,1.59,0.573,0.5,0.501,0.106
2022-23,ORL,1610612753,-0.41,-4.71,0.415,0.504,0.501,0.39
2022-23,IND,1610612754,-0.8,-5.56,0.427,0.507,0.5,0.072
2022-23,PHI,1610612755,4.66,3.98,0.659,0.499,0.501,-0.075
2022-23,PHX,1610612756,4.85,-0.71,0.549,0.502,0.499,-0.273
2022-23,POR,1610612757,-3.71,-4.32,0.402,0.502,0.499,0.331
2022-23,SAC,1610612758,3.27,2.02,0.585,0.491,0.5,0.265
2022-23,SAS,1610612759,-6.34,-13.73,0.268,0.505,0.499,-0.138
2022-23,OKC,1610612760,5.2,-3.02,0.488,0.499,0.499,0.413
2022-23,TOR,1610612761,4.63,-1.68,0.5,0.505,0.5,0.001
2022-23,UTA,1610612762,1.07,-2.95,0.451,0.501,0.499,-0.382
2022-23,MEM,1610612763,10.59,-2.71,0.622,0.489,0.5,-0.204
2022-23,WAS,1610612764,-0.37,-2.05,0.427,0.507,0.5,0.16
2022-23,DET,1610612765,-6.2,-10.24,0.207,0.515,0.5,0.366
2022-23,CHA,1610612766,-6.9,-5.59,0.329,0.507,0.501,-0.006
