season,team_id,game_id,game_date,away_team,home_team,opponent,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2019-20,1610612747,41900141,2020-08-18,POR,LAL,POR,1610612757,93,100,L,-7,rnd1,1
2019-20,1610612747,41900142,2020-08-20,POR,LAL,POR,1610612757,111,88,W,23,rnd1,2
2019-20,1610612747,41900143,2020-08-22,LAL,POR,POR,1610612757,116,108,W,8,rnd1,3
2019-20,1610612747,41900144,2020-08-24,LAL,POR,POR,1610612757,135,115,W,20,rnd1,4
2019-20,1610612747,41900145,2020-08-29,POR,LAL,POR,1610612757,131,122,W,9,rnd1,5
2019-20,1610612747,41900221,2020-09-04,HOU,LAL,HOU,1610612745,97,112,L,-15,sf,1
2019-20,1610612747,41900222,2020-09-06,HOU,LAL,HOU,1610612745,117,109,W,8,sf,2
2019-20,1610612747,41900223,2020-09-08,LAL,HOU,HOU,1610612745,112,102,W,10,sf,3
2019-20,1610612747,41900224,2020-09-10,LAL,HOU,HOU,1610612745,110,100,W,10,sf,4
2019-20,1610612747,41900225,2020-09-12,HOU,LAL,HOU,1610612745,119,96,W,23,sf,5
2019-20,1610612747,41900311,2020-09-18,DEN,LAL,DEN,1610612743,126,114,W,12,conf,1
2019-20,1610612747,41900312,2020-09-20,DEN,LAL,DEN,1610612743,105,103,W,2,conf,2
2019-20,1610612747,41900313,2020-09-22,LAL,DEN,DEN,1610612743,106,114,L,-8,conf,3
2019-20,1610612747,41900314,2020-09-24,LAL,DEN,DEN,1610612743,114,108,W,6,conf,4
2019-20,1610612747,41900315,2020-09-26,DEN,LAL,DEN,1610612743,117,107,W,10,conf,5
2019-20,1610612747,41900401,2020-09-30,MIA,LAL,MIA,1610612748,116,98,W,18,finals,1
2019-20,1610612747,41900402,2020-10-02,MIA,LAL,MIA,1610612748,124,114,W,10,finals,2
2019-20,1610612747,41900403,2020-10-04,LAL,MIA,MIA,1610612748,104,115,L,-11,finals,3
2019-20,1610612747,41900404,2020-10-06,LAL,MIA,MIA,1610612748,102,96,W,6,finals,4
2019-20,1610612747,41900405,2020-10-09,MIA,LAL,MIA,1610612748,108,111,L,-3,finals,5
2019-20,1610612747,41900406,2020-10-11,LAL,MIA,MIA,1610612748,106,93,W,13,finals,6
