season,team_id,team,srs_v1,sos_v1_raw,sos_v1
2016-17,1610612744,GSW,11.35,-0.283,0.24
2016-17,1610612759,SAS,7.13,-0.062,0.433
2016-17,1610612745,HOU,5.84,0.076,0.554
2016-17,1610612746,LAC,4.42,0.129,0.6
2016-17,1610612762,UTA,4.0,0.063,0.542
2016-17,1610612761,TOR,3.65,-0.557,0.0
2016-17,1610612739,CLE,2.88,-0.308,0.218
2016-17,1610612738,BOS,2.25,-0.385,0.15
2016-17,1610612764,WAS,1.36,-0.444,0.099
2016-17,1610612760,OKC,1.14,0.389,0.828
2016-17,1610612763,MEM,0.96,0.471,0.9
2016-17,1610612748,MIA,0.78,-0.286,0.237
2016-17,1610612743,DEN,0.7,0.19,0.653
2016-17,1610612741,CHI,0.04,-0.392,0.144
2016-17,1610612766,CHA,-0.06,-0.258,0.261
2016-17,1610612757,POR,-0.23,0.299,0.749
2016-17,1610612749,MIL,-0.44,-0.262,0.258
2016-17,1610612750,MIN,-0.63,0.476,0.903
2016-17,1610612754,IND,-0.64,-0.42,0.12
2016-17,1610612737,ATL,-1.23,-0.373,0.161
2016-17,1610612765,DET,-1.29,-0.17,0.339
2016-17,1610612740,NOP,-1.69,0.412,0.848
2016-17,1610612742,DAL,-2.52,0.403,0.84
2016-17,1610612758,SAC,-3.29,0.585,0.999
2016-17,1610612752,NYK,-3.87,-0.199,0.313
2016-17,1610612756,PHX,-5.14,0.495,0.921
2016-17,1610612755,PHI,-5.83,-0.135,0.369
2016-17,1610612747,LAL,-6.29,0.586,1.0
2016-17,1610612753,ORL,-6.61,-0.037,0.455
2016-17,1610612751,BKN,-6.74,-0.004,0.484
