season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away,MON
2018-19,1610612742,DAL,Dallas Mavericks,21800694,2019-01-21,DAL @ MIL,L,48.0,0.485,0.172,0.106,0.262,0.527,0.242,0.144,0.26,0,0,0,0,135,1801,2063,458,1297,1281,1090,1030,1121,1,2018,2019,False,MIL,DAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800681,2019-01-19,DAL @ IND,L,48.0,0.472,0.227,0.137,0.327,0.541,0.282,0.117,0.304,0,0,0,0,135,1984,1531,1225,477,1500,1519,1767,1711,1,2018,2019,False,IND,DAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800661,2019-01-16,DAL vs. SAS,L,48.0,0.517,0.186,0.159,0.392,0.572,0.145,0.102,0.286,0,0,0,0,135,1323,1950,1760,98,1919,224,2057,1456,1,2018,2019,True,DAL,SAS,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800642,2019-01-13,DAL vs. GSW,L,48.0,0.505,0.319,0.126,0.368,0.551,0.121,0.105,0.382,0,0,0,0,135,1504,603,938,187,1645,114,2004,2319,1,2018,2019,True,DAL,GSW,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800626,2019-01-11,DAL @ MIN,W,48.0,0.521,0.247,0.07,0.298,0.51,0.127,0.131,0.404,0,0,0,0,135,1282,1290,54,820,1009,141,1376,2385,1,2018,2019,False,MIN,DAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800613,2019-01-09,DAL vs. PHX,W,48.0,0.514,0.643,0.204,0.298,0.47,0.25,0.152,0.245,0,0,0,0,135,1370,3,2340,835,463,1173,865,914,1,2018,2019,True,DAL,PHX,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800596,2019-01-07,DAL vs. LAL,L,48.0,0.465,0.279,0.184,0.321,0.479,0.287,0.139,0.3,0,0,0,0,135,2057,968,2178,553,579,1571,1170,1642,1,2018,2019,True,DAL,LAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800578,2019-01-05,DAL @ PHI,L,48.0,0.483,0.261,0.147,0.218,0.506,0.398,0.097,0.163,0,0,0,0,135,1838,1159,1496,1854,987,2280,2144,136,1,2018,2019,False,PHI,DAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800566,2019-01-04,DAL @ BOS,L,48.0,0.449,0.216,0.14,0.241,0.547,0.115,0.13,0.291,0,0,0,0,135,2191,1669,1308,1581,1590,89,1415,1532,1,2018,2019,False,BOS,DAL,JAN
2018-19,1610612742,DAL,Dallas Mavericks,21800554,2019-01-02,DAL @ CHA,W,48.0,0.558,0.189,0.12,0.308,0.389,0.211,0.139,0.226,0,0,0,0,135,726,1919,751,696,30,745,1170,682,1,2018,2019,False,CHA,DAL,JAN
