season,player_id,player_name,nickname,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,nba_fantasy_pts,dd2,td3,wnba_fantasy_pts,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,nba_fantasy_pts_rank,dd2_rank,td3_rank,wnba_fantasy_pts_rank,available_flag,min_sec,season_start,season_end
2023-24,1630346,Matt Ryan,Matt,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,2.066666666666667,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,1,13252,13252,13252,25475,22557,24896,22557,14651,20560,14651,13417,14233,13417,13449,22149,23241,19657,16035,12108,8529,1,1,17532,23140,7721,25245,2248,138,25279,1,2:04,2023,2024
2023-24,1630526,Jeremiah Robinson-Earl,Jeremiah,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,2.066666666666667,1,2,0.5,0,0,0.0,0,1,0.0,1,1,2,0,0,0,0,0,0,1,2,5,4.4,0,0,4.0,1,13252,13252,13252,25475,18910,21406,8954,14651,20560,14651,13417,12641,13417,6495,17515,15973,19657,16035,12108,8529,1,1,11166,21036,7721,22806,2248,138,22721,1,2:04,2023,2024
2023-24,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,17.623333333333335,1,4,0.25,0,3,0.0,0,0,0.0,0,2,2,1,0,0,0,0,0,0,2,0,5.9,0,0,5.0,1,13252,13252,13252,17566,18910,17737,20383,14651,10539,14651,13417,14233,13417,13449,13100,15973,14131,16035,12108,8529,1,1,17532,21036,12394,21966,2248,138,22092,1,17:37,2023,2024
2023-24,203469,Cody Zeller,Cody,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,4.35,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,-2,0.5,0,0,1.0,1,13252,13252,13252,24307,22557,24896,22557,14651,20560,14651,13417,14233,13417,13449,22149,23241,14131,8468,12108,8529,1,6163,17532,23140,14544,25134,2248,138,24649,1,4:21,2023,2024
2023-24,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,7.266666666666667,1,3,0.333,0,1,0.0,0,0,0.0,0,3,3,1,4,0,0,0,3,0,2,-10,3.1,0,0,6.0,1,13252,13252,13252,22996,18910,19584,17629,14651,16961,14651,13417,14233,13417,13449,9402,12548,14131,804,12108,8529,1,18879,17532,21036,21324,23640,2248,138,21429,1,7:16,2023,2024
2023-24,1627742,Brandon Ingram,Brandon,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,23.391666666666666,6,9,0.667,1,3,0.333,0,0,0.0,0,5,5,0,2,0,0,0,0,2,13,-28,17.0,0,0,19.0,1,13252,13252,13252,13303,5451,9591,3541,8460,10539,9124,13417,14233,13417,13449,4442,7148,19657,4132,12108,8529,1,1,6969,8427,26138,14749,2248,138,12632,1,23:24,2023,2024
2023-24,1629627,Zion Williamson,Zion,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,34.333333333333336,4,13,0.308,0,1,0.0,4,5,0.8,3,5,8,8,4,2,0,1,2,3,12,-21,35.6,0,0,32.0,1,13252,13252,13252,4337,9679,5230,19425,14651,16961,14651,2744,2911,7723,1506,4442,2854,1009,804,1349,8529,17336,13042,4296,9297,25405,4841,2248,138,5538,1,34:20,2023,2024
2023-24,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,32.18333333333333,6,13,0.462,4,7,0.571,2,2,1.0,1,4,5,1,1,2,0,0,3,1,18,-20,30.5,0,0,32.0,1,13252,13252,13252,6113,5451,5230,12872,1043,2715,3678,6103,7481,1,6495,6490,7148,14131,8468,1349,8529,1,18879,11166,4872,25213,6965,2248,138,5538,1,32:11,2023,2024
2023-24,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,31.543333333333333,4,8,0.5,3,6,0.5,0,0,0.0,1,2,3,2,1,2,1,0,2,1,11,-1,25.6,0,0,25.0,1,13252,13252,13252,6672,9679,11049,8954,2226,3921,4049,13417,14233,13417,6495,13100,12548,9909,8468,1349,2720,1,13042,11166,10286,13562,9471,2248,138,9026,1,31:33,2023,2024
2023-24,1626204,Larry Nance Jr.,Larry,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,30.511666666666667,5,8,0.625,1,2,0.5,2,2,1.0,2,4,6,4,1,1,0,0,3,2,13,2,28.2,0,0,26.0,1,13252,13252,13252,7544,7292,11049,5137,8460,13570,4049,6103,7481,1,3105,6490,5291,4938,8468,4430,8529,1,18879,6969,8427,10350,8088,2248,138,8454,1,30:31,2023,2024
2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,33.74666666666667,9,19,0.474,4,9,0.444,3,4,0.75,2,2,4,7,3,0,0,2,3,3,25,-11,37.3,0,0,40.0,1,13252,13252,13252,4823,1924,1555,12502,1043,1137,7253,4235,3806,8216,3105,13100,9569,1520,1850,12108,8529,23757,18879,4296,1973,21910,4232,2248,138,2810,1,33:45,2023,2024
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14T00:00:00,NOP vs. LAL,L,20.916666666666668,4,7,0.571,2,5,0.4,0,0,0.0,0,1,1,1,2,1,0,0,0,0,10,1,13.7,0,0,16.0,1,13252,13252,13252,15136,9679,12577,6891,4439,5663,7875,13417,14233,13417,13449,17515,19646,14131,4132,4430,8529,1,1,17532,11320,11403,16971,2248,138,14655,1,20:55,2023,2024
2023-24,1629627,Zion Williamson,Zion,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,36.56666666666667,11,26,0.423,1,2,0.5,3,6,0.5,0,3,3,3,2,6,1,1,2,6,26,15,53.1,0,0,47.0,1,1,1,1,2547,789,174,14775,8460,13570,4049,4235,1912,10591,13449,9402,12548,7003,4132,5,2720,17336,13042,906,1681,2411,918,2248,138,1383,1,36:34,2023,2024
2023-24,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,26.07333333333333,2,4,0.5,1,1,1.0,1,1,1.0,3,5,8,7,0,2,1,0,1,1,6,5,35.1,0,0,28.0,1,1,1,1,11187,15517,17737,8954,8460,16961,1,10099,12641,1,1506,4442,2854,1520,16035,1349,2720,1,6163,11166,15809,7721,5034,2248,138,7405,1,26:04,2023,2024
2023-24,203468,CJ McCollum,CJ,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,37.84333333333333,10,21,0.476,8,13,0.615,0,0,0.0,0,5,5,5,3,0,2,0,3,0,28,-5,44.5,0,0,50.0,1,1,1,1,1687,1283,930,12454,29,135,3184,13417,14233,13417,13449,4442,7148,3413,1850,12108,879,1,18879,17532,1259,17506,2204,2248,138,998,1,37:51,2023,2024
2023-24,1630529,Herbert Jones,Herbert,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,38.376666666666665,5,10,0.5,2,5,0.4,1,2,0.5,0,5,5,4,1,1,1,1,3,2,13,6,30.0,0,0,28.0,1,1,1,1,1384,7292,8327,8954,4439,5663,7875,10099,7481,10591,13449,4442,7148,4938,8468,4430,2720,17336,18879,6969,8427,6978,7210,2248,138,7405,1,38:23,2023,2024
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,35.3,1,5,0.2,1,5,0.2,1,2,0.5,0,3,3,2,0,1,0,0,3,2,4,18,13.6,0,0,12.0,1,1,1,1,3553,18910,15951,21471,8460,5663,13222,10099,7481,10591,13449,9402,12548,9909,16035,4430,8529,1,18879,6969,18488,1570,17038,2248,138,17454,1,35:18,2023,2024
2023-24,1630526,Jeremiah Robinson-Earl,Jeremiah,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,7.24,1,3,0.333,1,2,0.5,0,0,0.0,0,1,1,0,0,0,0,0,0,0,3,-1,4.2,0,0,5.0,1,1,1,1,23008,18910,19584,17629,8460,13570,4049,13417,14233,13417,13449,17515,19646,19657,16035,12108,8529,1,1,17532,19746,13562,22926,2248,138,22092,1,7:14,2023,2024
2023-24,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,42.23333333333333,8,12,0.667,6,9,0.667,2,2,1.0,0,8,8,2,1,1,0,1,0,2,24,4,38.6,0,0,42.0,1,1,1,1,263,2806,6130,3541,198,1137,2080,6103,7481,1,13449,1266,2854,9909,8468,4430,8529,17336,1,6969,2264,8492,3804,2248,138,2278,1,42:14,2023,2024
2023-24,202685,Jonas Valančiūnas,Jonas,1610612740,NOP,New Orleans Pelicans,22301182,2024-04-12T00:00:00,NOP @ GSW,W,16.366666666666667,4,9,0.444,0,1,0.0,2,3,0.667,2,3,5,1,1,0,0,2,1,2,10,-17,16.5,0,0,16.0,1,1,1,1,18427,9679,9591,13458,14651,16961,14651,6103,6016,9424,3105,9402,7148,14131,8468,12108,8529,23757,6163,6969,11320,24448,15083,2248,138,14655,1,16:22,2023,2024
2023-24,1630700,Dyson Daniels,Dyson,1610612740,NOP,New Orleans Pelicans,22301170,2024-04-11T00:00:00,NOP @ SAC,W,25.456666666666667,4,8,0.5,2,5,0.4,0,0,0.0,0,4,4,1,1,1,1,0,2,1,10,-1,21.3,0,0,21.0,1,1,1,1,11679,9679,11049,8954,4439,5663,7875,13417,14233,13417,13449,6490,9569,14131,8468,4430,2720,1,13042,11166,11320,13562,12025,2248,138,11363,1,25:27,2023,2024
2023-24,1630530,Trey Murphy III,Trey,1610612740,NOP,New Orleans Pelicans,22301170,2024-04-11T00:00:00,NOP @ SAC,W,44.89666666666667,7,14,0.5,6,12,0.5,7,8,0.875,0,5,5,4,1,0,0,0,1,4,27,15,38.0,0,0,42.0,1,1,1,1,75,3981,4371,8954,198,245,4049,790,948,6953,13449,4442,7148,4938,8468,12108,8529,1,6163,2625,1465,2411,3990,2248,138,2278,1,44:54,2023,2024
2023-24,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,22301170,2024-04-11T00:00:00,NOP @ SAC,W,22.023333333333333,5,8,0.625,4,6,0.667,0,0,0.0,1,5,6,6,0,0,0,0,4,1,14,17,30.2,0,0,30.0,1,1,1,1,14281,7292,11049,5137,1043,3921,2080,13417,14233,13417,6495,4442,5291,2326,16035,12108,8529,1,22902,11166,7525,1815,7103,2248,138,6414,1,22:01,2023,2024
