season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2022-23,1610612759,SAS,San Antonio Spurs,22200542,2022-12-31,SAS vs. DAL,L,48.0,4.0,32.0,14.0,64.0,19.0,10.0,4.0,50.0,0,0,0,0,159,2430,8,1066,215,1535,627,63,1108,1,2022,2023,True,SAS,DAL
2022-23,1610612746,LAC,LA Clippers,22200538,2022-12-31,LAC @ IND,L,48.0,16.0,8.0,16.0,40.0,15.0,11.0,15.0,58.0,0,0,0,0,159,1249,1967,800,1994,924,766,1396,1820,1,2022,2023,False,IND,LAC
2022-23,1610612765,DET,Detroit Pistons,22200544,2022-12-31,DET @ MIN,W,48.0,17.0,22.0,24.0,56.0,13.0,6.0,11.0,42.0,0,0,0,0,159,1085,166,152,642,626,169,768,468,1,2022,2023,False,MIN,DET
2022-23,1610612740,NOP,New Orleans Pelicans,22200543,2022-12-31,NOP @ MEM,L,48.0,25.0,18.0,13.0,44.0,23.0,17.0,26.0,74.0,0,0,0,0,159,225,487,1217,1702,2017,1720,2337,2420,1,2022,2023,False,MEM,NOP
2022-23,1610612748,MIA,Miami Heat,22200546,2022-12-31,MIA @ UTA,W,48.0,25.0,15.0,13.0,54.0,15.0,22.0,6.0,32.0,0,0,0,0,159,225,883,1217,802,924,2229,176,60,1,2022,2023,False,UTA,MIA
2022-23,1610612763,MEM,Memphis Grizzlies,22200543,2022-12-31,MEM vs. NOP,W,48.0,23.0,17.0,26.0,74.0,25.0,18.0,13.0,44.0,0,0,0,0,159,360,595,84,22,2174,1867,1089,603,1,2022,2023,True,MEM,NOP
2022-23,1610612751,BKN,Brooklyn Nets,22200539,2022-12-31,BKN @ CHA,W,48.0,12.0,4.0,18.0,58.0,21.0,19.0,11.0,52.0,0,0,0,0,159,1836,2335,565,517,1783,1975,768,1294,1,2022,2023,False,CHA,BKN
2022-23,1610612750,MIN,Minnesota Timberwolves,22200544,2022-12-31,MIN vs. DET,L,48.0,13.0,6.0,11.0,42.0,17.0,22.0,24.0,56.0,0,0,0,0,159,1692,2200,1535,1859,1213,2229,2258,1660,1,2022,2023,True,MIN,DET
2022-23,1610612739,CLE,Cleveland Cavaliers,22200540,2022-12-31,CLE @ CHI,W,48.0,16.0,25.0,10.0,44.0,20.0,2.0,21.0,54.0,0,0,0,0,159,1249,70,1694,1702,1660,10,2083,1463,1,2022,2023,False,CHI,CLE
2022-23,1610612755,PHI,Philadelphia 76ers,22200545,2022-12-31,PHI @ OKC,W,48.0,17.0,13.0,12.0,66.0,12.0,17.0,7.0,42.0,0,0,0,0,159,1085,1203,1373,156,485,1720,281,468,1,2022,2023,False,OKC,PHI
