close_def_person_id,player,team_id,team,player_position,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
203497,Rudy Gobert,1610612762,UTA,C,28.0,68,68,0.775,7.69,17.72,0.434,0.53,-0.096
1626220,Royce O'Neale,1610612762,UTA,F,27.0,71,71,0.657,4.37,7.92,0.552,0.52,0.032
201144,Mike Conley,1610612762,UTA,G,32.0,47,47,0.617,4.0,6.94,0.577,0.519,0.057
1628396,Tony Bradley,1610612762,UTA,C-F,22.0,57,57,0.798,3.19,6.44,0.496,0.523,-0.028
202711,Bojan Bogdanović,1610612762,UTA,F,31.0,63,63,0.62,3.16,6.08,0.52,0.519,0.0
1628378,Donovan Mitchell,1610612762,UTA,G,23.0,69,69,0.614,3.26,5.91,0.551,0.517,0.034
204060,Joe Ingles,1610612762,UTA,F-G,32.0,71,71,0.619,3.28,5.72,0.574,0.516,0.057
203903,Jordan Clarkson,1610612762,UTA,G,28.0,71,71,0.651,2.42,4.99,0.486,0.509,-0.023
202334,Ed Davis,1610612762,UTA,C-F,31.0,28,28,0.768,2.39,4.96,0.482,0.527,-0.045
1629714,Jarrell Brantley,1610612762,UTA,F,24.0,7,6,0.737,2.29,4.0,0.571,0.517,0.055
1629671,Miye Oni,1610612762,UTA,G-F,22.0,8,6,0.667,2.38,4.0,0.594,0.504,0.09
1626144,Emmanuel Mudiay,1610612762,UTA,G,24.0,51,48,0.659,1.78,3.53,0.506,0.503,0.002
1627777,Georges Niang,1610612762,UTA,F,27.0,65,62,0.641,1.72,3.05,0.566,0.508,0.058
1629742,Stanton Kidd,1610612762,UTA,F,28.0,2,2,0.6,1.0,3.0,0.333,0.414,-0.08
1629625,Justin Wright-Foreman,1610612762,UTA,G,22.0,3,3,0.75,2.33,3.0,0.778,0.51,0.268
1629752,Juwan Morgan,1610612762,UTA,F,23.0,17,15,0.733,1.18,2.59,0.455,0.512,-0.057
1629730,Rayjon Tucker,1610612762,UTA,G,22.0,16,12,0.611,1.19,2.06,0.576,0.475,0.101
1628430,Nigel Williams-Goss,1610612762,UTA,G,25.0,6,4,0.706,1.0,2.0,0.5,0.506,-0.006
