team_id,team_name,gp,w,l,w_pct,min,def_rating,dreb,dreb_pct,stl,blk,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,def_rating_rank,dreb_rank,dreb_pct_rank,stl_rank,blk_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,team
1610612737,Atlanta Hawks,82,43,39,0.524,3976.0,105.2,25.3,0.717,6.1,3.6,12.9,9.8,9.5,29.1,1,11,11,11,4,4,11,19,8,15,23,18,12,2,ATLANTA HAWKS
1610612738,Boston Celtics,82,53,29,0.646,3951.0,108.0,24.6,0.705,5.6,3.1,11.3,10.4,9.1,32.3,1,4,4,4,25,14,20,29,18,23,9,27,9,13,BOSTON CELTICS
1610612751,Brooklyn Nets,82,20,62,0.244,3951.0,110.1,26.2,0.716,5.4,3.5,14.3,10.7,10.5,33.6,1,30,30,30,25,23,1,22,21,18,30,29,21,21,BROOKLYN NETS
1610612766,Charlotte Hornets,82,36,46,0.439,3966.0,108.4,25.9,0.749,5.2,3.5,9.7,8.5,9.6,30.1,1,20,20,20,10,17,4,3,27,17,2,3,13,5,CHARLOTTE HORNETS
1610612741,Chicago Bulls,82,41,41,0.5,3956.0,106.2,25.5,0.733,5.9,3.6,11.5,8.9,10.2,33.8,1,15,15,15,18,5,9,8,15,16,11,6,18,22,CHICAGO BULLS
1610612739,Cleveland Cavaliers,82,51,31,0.622,3976.0,109.7,25.5,0.722,4.9,3.0,12.4,10.2,9.9,33.0,1,5,5,5,4,21,8,14,30,25,19,24,15,18,CLEVELAND CAVALIERS
1610612742,Dallas Mavericks,82,33,49,0.402,3956.0,107.7,22.9,0.733,5.6,2.8,10.4,8.7,10.2,29.5,1,22,22,22,18,13,30,7,19,30,4,5,17,3,DALLAS MAVERICKS
1610612743,Denver Nuggets,82,40,42,0.488,3951.0,111.7,25.8,0.753,5.2,2.9,13.4,9.1,10.7,35.4,1,18,18,18,25,29,5,2,28,26,26,8,24,28,DENVER NUGGETS
1610612765,Detroit Pistons,82,37,45,0.451,3961.0,106.7,25.8,0.775,5.2,2.8,9.5,7.6,8.0,30.7,1,19,19,19,13,8,6,1,25,29,1,1,4,9,DETROIT PISTONS
1610612744,Golden State Warriors,82,67,15,0.817,3956.0,103.4,26.1,0.709,7.1,5.1,12.5,10.4,10.8,33.9,1,1,1,1,18,2,2,27,1,1,20,28,25,23,GOLDEN STATE WARRIORS
1610612745,Houston Rockets,82,55,27,0.671,3956.0,108.4,25.0,0.717,6.1,3.2,13.0,10.3,10.6,36.6,1,3,3,3,18,18,14,21,7,20,25,26,22,30,HOUSTON ROCKETS
1610612754,Indiana Pacers,82,42,40,0.512,3971.0,108.1,24.5,0.713,6.1,3.7,12.1,9.6,7.9,29.5,1,13,13,13,7,15,22,24,9,10,15,16,2,4,INDIANA PACERS
1610612746,LA Clippers,82,51,31,0.622,3951.0,107.5,25.4,0.733,5.6,3.2,11.4,9.5,10.7,31.9,1,5,5,5,25,12,10,6,20,21,10,14,23,12,LA CLIPPERS
