player_id,player_name,nickname,team_id,team_abbreviation,age,gp,w,l,w_pct,travel,double_dribble,discontinued_dribble,off_three_sec,inbound,backcourt,off_goaltending,palming,off_foul,def_three_sec,charge,def_goaltending,lane,jump_ball,kicked_ball,gp_rank,w_rank,l_rank,w_pct_rank,travel_rank,double_dribble_rank,discontinued_dribble_rank,off_three_sec_rank,inbound_rank,backcourt_rank,off_goaltending_rank,palming_rank,off_foul_rank,def_three_sec_rank,charge_rank,def_goaltending_rank,lane_rank,jump_ball_rank,kicked_ball_rank,team
202687,Bismack Biyombo,Bismack,1610612766,CHA,26.0,54,24,30,0.444,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,274,262,324,335,65,1,3,39,2,8,14,3,97,47,173,13,4,1,116,CHA
203469,Cody Zeller,Cody,1610612766,CHA,26.0,49,22,27,0.449,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,300,276,271,327,65,1,3,4,2,8,14,3,17,3,26,73,4,1,116,CHA
1628984,Devonte' Graham,Devonte',1610612766,CHA,24.0,46,18,28,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,321,292,387,294,1,3,39,2,8,14,3,386,47,173,73,4,1,116,CHA
1628407,Dwayne Bacon,Dwayne,1610612766,CHA,23.0,43,20,23,0.465,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331,294,230,311,65,1,3,39,2,8,14,3,386,47,173,73,4,1,116,CHA
1626163,Frank Kaminsky,Frank,1610612766,CHA,26.0,47,22,25,0.468,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,310,276,255,304,65,1,3,39,2,8,14,3,97,47,26,73,4,1,13,CHA
1629122,J.P. Macura,J.P.,1610612766,CHA,24.0,2,1,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511,499,9,251,294,1,3,39,2,8,14,3,386,47,173,73,4,1,116,CHA
203087,Jeremy Lamb,Jeremy,1610612766,CHA,27.0,79,38,41,0.481,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,56,132,462,286,65,1,3,39,2,8,14,3,199,47,173,73,4,1,116,CHA
1629147,Joe Chealey,Joe,1610612766,CHA,23.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518,519,9,519,294,1,3,39,2,8,14,3,386,47,173,73,4,1,116,CHA
202689,Kemba Walker,Kemba,1610612766,CHA,29.0,82,39,43,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1,118,474,293,294,1,3,39,2,8,14,3,199,47,173,73,4,1,116,CHA
1628370,Malik Monk,Malik,1610612766,CHA,21.0,73,34,39,0.466,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,124,165,438,310,65,1,3,39,2,8,14,3,199,47,26,73,4,1,116,CHA
101107,Marvin Williams,Marvin,1610612766,CHA,33.0,75,35,40,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,98,152,454,305,294,1,3,39,2,8,14,3,97,47,173,73,4,1,116,CHA
203077,Michael Kidd-Gilchrist,Michael,1610612766,CHA,25.0,64,29,35,0.453,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,201,209,397,323,65,1,3,39,2,8,14,3,97,47,7,73,4,1,116,CHA
1628970,Miles Bridges,Miles,1610612766,CHA,21.0,80,38,42,0.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,42,132,465,296,294,1,3,39,2,8,14,3,199,47,26,6,4,1,116,CHA
201587,Nicolas Batum,Nicolas,1610612766,CHA,30.0,75,35,40,0.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,98,152,454,305,294,1,3,39,2,8,14,3,199,47,173,73,4,1,13,CHA
202714,Shelvin Mack,Shelvin,1610612766,CHA,29.0,57,22,35,0.386,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,259,276,397,397,65,1,3,39,2,8,14,3,199,47,173,73,4,1,116,CHA
2225,Tony Parker,Tony,1610612766,CHA,37.0,56,30,26,0.536,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,263,201,262,222,14,1,3,39,2,8,14,3,199,47,173,73,4,1,116,CHA
1626195,Willy Hernangomez,Willy,1610612766,CHA,25.0,58,31,27,0.534,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.1,0.0,0.0,0.0,248,187,271,224,65,1,3,39,2,8,14,3,49,3,26,13,4,1,116,CHA
