close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
203991,Clint Capela,1610612745,HOU,C,24.0,17,17,0.509,64,137,0.467,0.627,-0.16
201935,James Harden,1610612745,HOU,G,28.0,17,17,0.444,64,111,0.577,0.622,-0.046
200782,P.J. Tucker,1610612745,HOU,F,33.0,17,17,0.413,46,81,0.568,0.627,-0.059
101108,Chris Paul,1610612745,HOU,G,33.0,15,15,0.397,51,73,0.699,0.621,0.078
2772,Trevor Ariza,1610612745,HOU,F-G,33.0,17,17,0.418,46,59,0.78,0.633,0.147
201569,Eric Gordon,1610612745,HOU,G,29.0,17,17,0.327,34,55,0.618,0.624,-0.005
101123,Gerald Green,1610612745,HOU,G-F,32.0,17,15,0.284,22,31,0.71,0.617,0.093
2403,Nene,1610612745,HOU,C-F,35.0,11,8,0.417,11,25,0.44,0.587,-0.147
201601,Luc Mbah a Moute,1610612745,HOU,F,31.0,9,9,0.429,10,21,0.476,0.594,-0.118
201583,Ryan Anderson,1610612745,HOU,F,30.0,11,8,0.353,8,12,0.667,0.587,0.079
2207,Joe Johnson,1610612745,HOU,G-F,37.0,6,5,0.636,7,7,1.0,0.698,0.302
204028,Tarik Black,1610612745,HOU,F-C,26.0,4,2,0.4,2,2,1.0,0.559,0.441
1628935,Aaron Jackson,1610612745,HOU,G,32.0,4,1,0.167,0,1,0.0,0.543,-0.543
1627778,Chinanu Onuaku,1610612745,HOU,C,21.0,1,1,0.5,0,1,0.0,0.621,-0.621
