season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2023-24,1610612760,42300141,2024-04-21,NOP,OKC,1610612740,94,92,W,2,rnd1,1
2023-24,1610612760,42300142,2024-04-24,NOP,OKC,1610612740,124,92,W,32,rnd1,2
2023-24,1610612760,42300143,2024-04-27,OKC,NOP,1610612740,106,85,W,21,rnd1,3
2023-24,1610612760,42300144,2024-04-29,OKC,NOP,1610612740,97,89,W,8,rnd1,4
2023-24,1610612760,42300221,2024-05-07,DAL,OKC,1610612742,117,95,W,22,sf,1
2023-24,1610612760,42300222,2024-05-09,DAL,OKC,1610612742,110,119,L,-9,sf,2
2023-24,1610612760,42300223,2024-05-11,OKC,DAL,1610612742,101,105,L,-4,sf,3
2023-24,1610612760,42300224,2024-05-13,OKC,DAL,1610612742,100,96,W,4,sf,4
2023-24,1610612760,42300225,2024-05-15,DAL,OKC,1610612742,92,104,L,-12,sf,5
2023-24,1610612760,42300226,2024-05-18,OKC,DAL,1610612742,116,117,L,-1,sf,6
