season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2019-20,1610612743,DEN,41900165,2020-08-25,UTA,DEN,1610612762,117,107,W,rnd1,5
2019-20,1610612743,DEN,41900166,2020-08-30,DEN,UTA,1610612762,119,107,W,rnd1,6
2019-20,1610612743,DEN,41900167,2020-09-01,UTA,DEN,1610612762,80,78,W,rnd1,7
2019-20,1610612743,DEN,41900231,2020-09-03,DEN,LAC,1610612746,97,120,L,sf,1
2019-20,1610612743,DEN,41900232,2020-09-05,DEN,LAC,1610612746,110,101,W,sf,2
2019-20,1610612743,DEN,41900233,2020-09-07,LAC,DEN,1610612746,107,113,L,sf,3
2019-20,1610612743,DEN,41900234,2020-09-09,LAC,DEN,1610612746,85,96,L,sf,4
2019-20,1610612743,DEN,41900235,2020-09-11,DEN,LAC,1610612746,111,105,W,sf,5
2019-20,1610612743,DEN,41900236,2020-09-13,LAC,DEN,1610612746,111,98,W,sf,6
2019-20,1610612743,DEN,41900237,2020-09-15,DEN,LAC,1610612746,104,89,W,sf,7
2019-20,1610612743,DEN,41900311,2020-09-18,DEN,LAL,1610612747,114,126,L,conf,1
2019-20,1610612743,DEN,41900312,2020-09-20,DEN,LAL,1610612747,103,105,L,conf,2
2019-20,1610612743,DEN,41900313,2020-09-22,LAL,DEN,1610612747,114,106,W,conf,3
2019-20,1610612743,DEN,41900314,2020-09-24,LAL,DEN,1610612747,108,114,L,conf,4
2019-20,1610612743,DEN,41900315,2020-09-26,DEN,LAL,1610612747,107,117,L,conf,5
2019-20,1610612745,HOU,41900171,2020-08-18,OKC,HOU,1610612760,123,108,W,rnd1,1
2019-20,1610612745,HOU,41900172,2020-08-20,OKC,HOU,1610612760,111,98,W,rnd1,2
2019-20,1610612745,HOU,41900173,2020-08-22,HOU,OKC,1610612760,107,119,L,rnd1,3
2019-20,1610612745,HOU,41900174,2020-08-24,HOU,OKC,1610612760,114,117,L,rnd1,4
2019-20,1610612745,HOU,41900175,2020-08-29,OKC,HOU,1610612760,114,80,W,rnd1,5
2019-20,1610612745,HOU,41900176,2020-08-31,HOU,OKC,1610612760,100,104,L,rnd1,6
2019-20,1610612745,HOU,41900177,2020-09-02,OKC,HOU,1610612760,104,102,W,rnd1,7
2019-20,1610612745,HOU,41900221,2020-09-04,HOU,LAL,1610612747,112,97,W,sf,1
2019-20,1610612745,HOU,41900222,2020-09-06,HOU,LAL,1610612747,109,117,L,sf,2
2019-20,1610612745,HOU,41900223,2020-09-08,LAL,HOU,1610612747,102,112,L,sf,3
2019-20,1610612745,HOU,41900224,2020-09-10,LAL,HOU,1610612747,100,110,L,sf,4
2019-20,1610612745,HOU,41900225,2020-09-12,HOU,LAL,1610612747,96,119,L,sf,5
2019-20,1610612754,IND,41900131,2020-08-18,MIA,IND,1610612748,101,113,L,rnd1,1
2019-20,1610612754,IND,41900132,2020-08-20,MIA,IND,1610612748,100,109,L,rnd1,2
2019-20,1610612754,IND,41900133,2020-08-22,IND,MIA,1610612748,115,124,L,rnd1,3
2019-20,1610612754,IND,41900134,2020-08-24,IND,MIA,1610612748,87,99,L,rnd1,4
2019-20,1610612746,LAC,41900151,2020-08-17,DAL,LAC,1610612742,118,110,W,rnd1,1
2019-20,1610612746,LAC,41900152,2020-08-19,DAL,LAC,1610612742,114,127,L,rnd1,2
2019-20,1610612746,LAC,41900153,2020-08-21,LAC,DAL,1610612742,130,122,W,rnd1,3
2019-20,1610612746,LAC,41900154,2020-08-23,LAC,DAL,1610612742,133,135,L,rnd1,4
2019-20,1610612746,LAC,41900155,2020-08-25,DAL,LAC,1610612742,154,111,W,rnd1,5
2019-20,1610612746,LAC,41900156,2020-08-30,LAC,DAL,1610612742,111,97,W,rnd1,6
2019-20,1610612746,LAC,41900231,2020-09-03,DEN,LAC,1610612743,120,97,W,sf,1
2019-20,1610612746,LAC,41900232,2020-09-05,DEN,LAC,1610612743,101,110,L,sf,2
2019-20,1610612746,LAC,41900233,2020-09-07,LAC,DEN,1610612743,113,107,W,sf,3
2019-20,1610612746,LAC,41900234,2020-09-09,LAC,DEN,1610612743,96,85,W,sf,4
2019-20,1610612746,LAC,41900235,2020-09-11,DEN,LAC,1610612743,105,111,L,sf,5
2019-20,1610612746,LAC,41900236,2020-09-13,LAC,DEN,1610612743,98,111,L,sf,6
2019-20,1610612746,LAC,41900237,2020-09-15,DEN,LAC,1610612743,89,104,L,sf,7
2019-20,1610612747,LAL,41900141,2020-08-18,POR,LAL,1610612757,93,100,L,rnd1,1
2019-20,1610612747,LAL,41900142,2020-08-20,POR,LAL,1610612757,111,88,W,rnd1,2
2019-20,1610612747,LAL,41900143,2020-08-22,LAL,POR,1610612757,116,108,W,rnd1,3
2019-20,1610612747,LAL,41900144,2020-08-24,LAL,POR,1610612757,135,115,W,rnd1,4
2019-20,1610612747,LAL,41900145,2020-08-29,POR,LAL,1610612757,131,122,W,rnd1,5
2019-20,1610612747,LAL,41900221,2020-09-04,HOU,LAL,1610612745,97,112,L,sf,1
2019-20,1610612747,LAL,41900222,2020-09-06,HOU,LAL,1610612745,117,109,W,sf,2
2019-20,1610612747,LAL,41900223,2020-09-08,LAL,HOU,1610612745,112,102,W,sf,3
2019-20,1610612747,LAL,41900224,2020-09-10,LAL,HOU,1610612745,110,100,W,sf,4
2019-20,1610612747,LAL,41900225,2020-09-12,HOU,LAL,1610612745,119,96,W,sf,5
2019-20,1610612747,LAL,41900311,2020-09-18,DEN,LAL,1610612743,126,114,W,conf,1
2019-20,1610612747,LAL,41900312,2020-09-20,DEN,LAL,1610612743,105,103,W,conf,2
2019-20,1610612747,LAL,41900313,2020-09-22,LAL,DEN,1610612743,106,114,L,conf,3
2019-20,1610612747,LAL,41900314,2020-09-24,LAL,DEN,1610612743,114,108,W,conf,4
2019-20,1610612747,LAL,41900315,2020-09-26,DEN,LAL,1610612743,117,107,W,conf,5
2019-20,1610612747,LAL,41900401,2020-09-30,MIA,LAL,1610612748,116,98,W,finals,1
2019-20,1610612747,LAL,41900402,2020-10-02,MIA,LAL,1610612748,124,114,W,finals,2
2019-20,1610612747,LAL,41900403,2020-10-04,LAL,MIA,1610612748,104,115,L,finals,3
2019-20,1610612747,LAL,41900404,2020-10-06,LAL,MIA,1610612748,102,96,W,finals,4
2019-20,1610612747,LAL,41900405,2020-10-09,MIA,LAL,1610612748,108,111,L,finals,5
2019-20,1610612747,LAL,41900406,2020-10-11,LAL,MIA,1610612748,106,93,W,finals,6
2019-20,1610612748,MIA,41900131,2020-08-18,MIA,IND,1610612754,113,101,W,rnd1,1
2019-20,1610612748,MIA,41900132,2020-08-20,MIA,IND,1610612754,109,100,W,rnd1,2
2019-20,1610612748,MIA,41900133,2020-08-22,IND,MIA,1610612754,124,115,W,rnd1,3
2019-20,1610612748,MIA,41900134,2020-08-24,IND,MIA,1610612754,99,87,W,rnd1,4
2019-20,1610612748,MIA,41900201,2020-08-31,MIA,MIL,1610612749,115,104,W,sf,1
2019-20,1610612748,MIA,41900202,2020-09-02,MIA,MIL,1610612749,116,114,W,sf,2
2019-20,1610612748,MIA,41900203,2020-09-04,MIL,MIA,1610612749,115,100,W,sf,3
2019-20,1610612748,MIA,41900204,2020-09-06,MIL,MIA,1610612749,115,118,L,sf,4
2019-20,1610612748,MIA,41900205,2020-09-08,MIA,MIL,1610612749,103,94,W,sf,5
2019-20,1610612748,MIA,41900301,2020-09-15,MIA,BOS,1610612738,117,114,W,conf,1
2019-20,1610612748,MIA,41900302,2020-09-17,MIA,BOS,1610612738,106,101,W,conf,2
2019-20,1610612748,MIA,41900303,2020-09-19,BOS,MIA,1610612738,106,117,L,conf,3
2019-20,1610612748,MIA,41900304,2020-09-23,BOS,MIA,1610612738,112,109,W,conf,4
2019-20,1610612748,MIA,41900305,2020-09-25,MIA,BOS,1610612738,108,121,L,conf,5
2019-20,1610612748,MIA,41900306,2020-09-27,BOS,MIA,1610612738,125,113,W,conf,6
2019-20,1610612748,MIA,41900401,2020-09-30,MIA,LAL,1610612747,98,116,L,finals,1
2019-20,1610612748,MIA,41900402,2020-10-02,MIA,LAL,1610612747,114,124,L,finals,2
2019-20,1610612748,MIA,41900403,2020-10-04,LAL,MIA,1610612747,115,104,W,finals,3
2019-20,1610612748,MIA,41900404,2020-10-06,LAL,MIA,1610612747,96,102,L,finals,4
2019-20,1610612748,MIA,41900405,2020-10-09,MIA,LAL,1610612747,111,108,W,finals,5
2019-20,1610612748,MIA,41900406,2020-10-11,LAL,MIA,1610612747,93,106,L,finals,6
2019-20,1610612749,MIL,41900101,2020-08-18,ORL,MIL,1610612753,110,122,L,rnd1,1
2019-20,1610612749,MIL,41900102,2020-08-20,ORL,MIL,1610612753,111,96,W,rnd1,2
2019-20,1610612749,MIL,41900103,2020-08-22,MIL,ORL,1610612753,121,107,W,rnd1,3
2019-20,1610612749,MIL,41900104,2020-08-24,MIL,ORL,1610612753,121,106,W,rnd1,4
2019-20,1610612749,MIL,41900105,2020-08-29,ORL,MIL,1610612753,118,104,W,rnd1,5
2019-20,1610612749,MIL,41900201,2020-08-31,MIA,MIL,1610612748,104,115,L,sf,1
2019-20,1610612749,MIL,41900202,2020-09-02,MIA,MIL,1610612748,114,116,L,sf,2
2019-20,1610612749,MIL,41900203,2020-09-04,MIL,MIA,1610612748,100,115,L,sf,3
2019-20,1610612749,MIL,41900204,2020-09-06,MIL,MIA,1610612748,118,115,W,sf,4
2019-20,1610612749,MIL,41900205,2020-09-08,MIA,MIL,1610612748,94,103,L,sf,5
2019-20,1610612760,OKC,41900171,2020-08-18,OKC,HOU,1610612745,108,123,L,rnd1,1
2019-20,1610612760,OKC,41900172,2020-08-20,OKC,HOU,1610612745,98,111,L,rnd1,2
2019-20,1610612760,OKC,41900173,2020-08-22,HOU,OKC,1610612745,119,107,W,rnd1,3
2019-20,1610612760,OKC,41900174,2020-08-24,HOU,OKC,1610612745,117,114,W,rnd1,4
2019-20,1610612760,OKC,41900175,2020-08-29,OKC,HOU,1610612745,80,114,L,rnd1,5
2019-20,1610612760,OKC,41900176,2020-08-31,HOU,OKC,1610612745,104,100,W,rnd1,6
2019-20,1610612760,OKC,41900177,2020-09-02,OKC,HOU,1610612745,102,104,L,rnd1,7
2019-20,1610612753,ORL,41900101,2020-08-18,ORL,MIL,1610612749,122,110,W,rnd1,1
2019-20,1610612753,ORL,41900102,2020-08-20,ORL,MIL,1610612749,96,111,L,rnd1,2
2019-20,1610612753,ORL,41900103,2020-08-22,MIL,ORL,1610612749,107,121,L,rnd1,3
2019-20,1610612753,ORL,41900104,2020-08-24,MIL,ORL,1610612749,106,121,L,rnd1,4
2019-20,1610612753,ORL,41900105,2020-08-29,ORL,MIL,1610612749,104,118,L,rnd1,5
2019-20,1610612755,PHI,41900121,2020-08-17,PHI,BOS,1610612738,101,109,L,rnd1,1
2019-20,1610612755,PHI,41900122,2020-08-19,PHI,BOS,1610612738,101,128,L,rnd1,2
2019-20,1610612755,PHI,41900123,2020-08-21,BOS,PHI,1610612738,94,102,L,rnd1,3
2019-20,1610612755,PHI,41900124,2020-08-23,BOS,PHI,1610612738,106,110,L,rnd1,4
2019-20,1610612757,POR,41900141,2020-08-18,POR,LAL,1610612747,100,93,W,rnd1,1
2019-20,1610612757,POR,41900142,2020-08-20,POR,LAL,1610612747,88,111,L,rnd1,2
2019-20,1610612757,POR,41900143,2020-08-22,LAL,POR,1610612747,108,116,L,rnd1,3
2019-20,1610612757,POR,41900144,2020-08-24,LAL,POR,1610612747,115,135,L,rnd1,4
2019-20,1610612757,POR,41900145,2020-08-29,POR,LAL,1610612747,122,131,L,rnd1,5
2019-20,1610612761,TOR,41900111,2020-08-17,BKN,TOR,1610612751,134,110,W,rnd1,1
2019-20,1610612761,TOR,41900112,2020-08-19,BKN,TOR,1610612751,104,99,W,rnd1,2
2019-20,1610612761,TOR,41900113,2020-08-21,TOR,BKN,1610612751,117,92,W,rnd1,3
2019-20,1610612761,TOR,41900114,2020-08-23,TOR,BKN,1610612751,150,122,W,rnd1,4
2019-20,1610612761,TOR,41900211,2020-08-30,BOS,TOR,1610612738,94,112,L,sf,1
2019-20,1610612761,TOR,41900212,2020-09-01,BOS,TOR,1610612738,99,102,L,sf,2
2019-20,1610612761,TOR,41900213,2020-09-03,TOR,BOS,1610612738,104,103,W,sf,3
2019-20,1610612761,TOR,41900214,2020-09-05,TOR,BOS,1610612738,100,93,W,sf,4
2019-20,1610612761,TOR,41900215,2020-09-07,BOS,TOR,1610612738,89,111,L,sf,5
2019-20,1610612761,TOR,41900216,2020-09-09,TOR,BOS,1610612738,125,122,W,sf,6
2019-20,1610612761,TOR,41900217,2020-09-11,BOS,TOR,1610612738,87,92,L,sf,7
2019-20,1610612762,UTA,41900161,2020-08-17,UTA,DEN,1610612743,125,135,L,rnd1,1
2019-20,1610612762,UTA,41900162,2020-08-19,UTA,DEN,1610612743,124,105,W,rnd1,2
2019-20,1610612762,UTA,41900163,2020-08-21,DEN,UTA,1610612743,124,87,W,rnd1,3
2019-20,1610612762,UTA,41900164,2020-08-23,DEN,UTA,1610612743,129,127,W,rnd1,4
2019-20,1610612762,UTA,41900165,2020-08-25,UTA,DEN,1610612743,107,117,L,rnd1,5
2019-20,1610612762,UTA,41900166,2020-08-30,DEN,UTA,1610612743,107,119,L,rnd1,6
2019-20,1610612762,UTA,41900167,2020-09-01,UTA,DEN,1610612743,78,80,L,rnd1,7
