season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,round,game_no_in_series
2019-20,1610612751,BKN,41900111,2020-08-17,BKN,TOR,1610612761,110,134,L,rnd1,1
2019-20,1610612751,BKN,41900112,2020-08-19,BKN,TOR,1610612761,99,104,L,rnd1,2
2019-20,1610612751,BKN,41900113,2020-08-21,TOR,BKN,1610612761,92,117,L,rnd1,3
2019-20,1610612751,BKN,41900114,2020-08-23,TOR,BKN,1610612761,122,150,L,rnd1,4
2019-20,1610612738,BOS,41900121,2020-08-17,PHI,BOS,1610612755,109,101,W,rnd1,1
2019-20,1610612738,BOS,41900122,2020-08-19,PHI,BOS,1610612755,128,101,W,rnd1,2
2019-20,1610612738,BOS,41900123,2020-08-21,BOS,PHI,1610612755,102,94,W,rnd1,3
2019-20,1610612738,BOS,41900124,2020-08-23,BOS,PHI,1610612755,110,106,W,rnd1,4
2019-20,1610612738,BOS,41900211,2020-08-30,BOS,TOR,1610612761,112,94,W,sf,1
2019-20,1610612738,BOS,41900212,2020-09-01,BOS,TOR,1610612761,102,99,W,sf,2
2019-20,1610612738,BOS,41900213,2020-09-03,TOR,BOS,1610612761,103,104,L,sf,3
2019-20,1610612738,BOS,41900214,2020-09-05,TOR,BOS,1610612761,93,100,L,sf,4
2019-20,1610612738,BOS,41900215,2020-09-07,BOS,TOR,1610612761,111,89,W,sf,5
2019-20,1610612738,BOS,41900216,2020-09-09,TOR,BOS,1610612761,122,125,L,sf,6
2019-20,1610612738,BOS,41900217,2020-09-11,BOS,TOR,1610612761,92,87,W,sf,7
2019-20,1610612738,BOS,41900301,2020-09-15,MIA,BOS,1610612748,114,117,L,conf,1
2019-20,1610612738,BOS,41900302,2020-09-17,MIA,BOS,1610612748,101,106,L,conf,2
2019-20,1610612738,BOS,41900303,2020-09-19,BOS,MIA,1610612748,117,106,W,conf,3
2019-20,1610612738,BOS,41900304,2020-09-23,BOS,MIA,1610612748,109,112,L,conf,4
2019-20,1610612738,BOS,41900305,2020-09-25,MIA,BOS,1610612748,121,108,W,conf,5
2019-20,1610612738,BOS,41900306,2020-09-27,BOS,MIA,1610612748,113,125,L,conf,6
2019-20,1610612742,DAL,41900151,2020-08-17,DAL,LAC,1610612746,110,118,L,rnd1,1
2019-20,1610612742,DAL,41900152,2020-08-19,DAL,LAC,1610612746,127,114,W,rnd1,2
2019-20,1610612742,DAL,41900153,2020-08-21,LAC,DAL,1610612746,122,130,L,rnd1,3
2019-20,1610612742,DAL,41900154,2020-08-23,LAC,DAL,1610612746,135,133,W,rnd1,4
2019-20,1610612742,DAL,41900155,2020-08-25,DAL,LAC,1610612746,111,154,L,rnd1,5
2019-20,1610612742,DAL,41900156,2020-08-30,LAC,DAL,1610612746,97,111,L,rnd1,6
2019-20,1610612743,DEN,41900161,2020-08-17,UTA,DEN,1610612762,135,125,W,rnd1,1
2019-20,1610612743,DEN,41900162,2020-08-19,UTA,DEN,1610612762,105,124,L,rnd1,2
2019-20,1610612743,DEN,41900163,2020-08-21,DEN,UTA,1610612762,87,124,L,rnd1,3
2019-20,1610612743,DEN,41900164,2020-08-23,DEN,UTA,1610612762,127,129,L,rnd1,4
