GAME_ID,GAME_DATE,TEAM,OPPONENT,HOME/AWAY,ROUND,GAME_NO_IN_SERIES
41900111,2020-08-17,BKN,TOR,AWAY,RND1,1
41900111,2020-08-17,BKN,TOR,AWAY,RND1,2
41900112,2020-08-19,BKN,TOR,AWAY,RND1,3
41900112,2020-08-19,BKN,TOR,AWAY,RND1,4
41900113,2020-08-21,BKN,TOR,HOME,RND1,5
41900113,2020-08-21,BKN,TOR,HOME,RND1,6
41900114,2020-08-23,BKN,TOR,HOME,RND1,7
41900114,2020-08-23,BKN,TOR,HOME,RND1,8
41900121,2020-08-17,BOS,PHI,HOME,RND1,1
41900121,2020-08-17,BOS,PHI,HOME,RND1,2
41900122,2020-08-19,BOS,PHI,HOME,RND1,3
41900122,2020-08-19,BOS,PHI,HOME,RND1,4
41900123,2020-08-21,BOS,PHI,AWAY,RND1,5
41900123,2020-08-21,BOS,PHI,AWAY,RND1,6
41900124,2020-08-23,BOS,PHI,AWAY,RND1,7
41900124,2020-08-23,BOS,PHI,AWAY,RND1,8
41900211,2020-08-30,BOS,TOR,AWAY,SF,1
41900211,2020-08-30,BOS,TOR,AWAY,SF,2
41900212,2020-09-01,BOS,TOR,AWAY,SF,3
41900212,2020-09-01,BOS,TOR,AWAY,SF,4
41900213,2020-09-03,BOS,TOR,HOME,SF,5
41900213,2020-09-03,BOS,TOR,HOME,SF,6
41900214,2020-09-05,BOS,TOR,HOME,SF,7
41900214,2020-09-05,BOS,TOR,HOME,SF,8
41900215,2020-09-07,BOS,TOR,AWAY,SF,9
41900215,2020-09-07,BOS,TOR,AWAY,SF,10
41900216,2020-09-09,BOS,TOR,HOME,SF,11
41900216,2020-09-09,BOS,TOR,HOME,SF,12
41900217,2020-09-11,BOS,TOR,AWAY,SF,13
41900217,2020-09-11,BOS,TOR,AWAY,SF,14
41900301,2020-09-15,BOS,MIA,HOME,CONF,1
41900301,2020-09-15,BOS,MIA,HOME,CONF,2
41900302,2020-09-17,BOS,MIA,HOME,CONF,3
41900302,2020-09-17,BOS,MIA,HOME,CONF,4
41900303,2020-09-19,BOS,MIA,AWAY,CONF,5
41900303,2020-09-19,BOS,MIA,AWAY,CONF,6
41900304,2020-09-23,BOS,MIA,AWAY,CONF,7
41900304,2020-09-23,BOS,MIA,AWAY,CONF,8
41900305,2020-09-25,BOS,MIA,HOME,CONF,9
41900305,2020-09-25,BOS,MIA,HOME,CONF,10
41900306,2020-09-27,BOS,MIA,AWAY,CONF,11
41900306,2020-09-27,BOS,MIA,AWAY,CONF,12
41900151,2020-08-17,DAL,LAC,AWAY,RND1,1
41900151,2020-08-17,DAL,LAC,AWAY,RND1,2
41900152,2020-08-19,DAL,LAC,AWAY,RND1,3
41900152,2020-08-19,DAL,LAC,AWAY,RND1,4
41900153,2020-08-21,DAL,LAC,HOME,RND1,5
41900153,2020-08-21,DAL,LAC,HOME,RND1,6
41900154,2020-08-23,DAL,LAC,HOME,RND1,7
41900154,2020-08-23,DAL,LAC,HOME,RND1,8
41900155,2020-08-25,DAL,LAC,AWAY,RND1,9
41900155,2020-08-25,DAL,LAC,AWAY,RND1,10
41900156,2020-08-30,DAL,LAC,HOME,RND1,11
41900156,2020-08-30,DAL,LAC,HOME,RND1,12
41900161,2020-08-17,DEN,UTA,HOME,RND1,1
41900161,2020-08-17,DEN,UTA,HOME,RND1,2
41900162,2020-08-19,DEN,UTA,HOME,RND1,3
41900162,2020-08-19,DEN,UTA,HOME,RND1,4
41900163,2020-08-21,DEN,UTA,AWAY,RND1,5
41900163,2020-08-21,DEN,UTA,AWAY,RND1,6
41900164,2020-08-23,DEN,UTA,AWAY,RND1,7
41900164,2020-08-23,DEN,UTA,AWAY,RND1,8
41900165,2020-08-25,DEN,UTA,HOME,RND1,9
41900165,2020-08-25,DEN,UTA,HOME,RND1,10
41900166,2020-08-30,DEN,UTA,AWAY,RND1,11
41900166,2020-08-30,DEN,UTA,AWAY,RND1,12
41900167,2020-09-01,DEN,UTA,HOME,RND1,13
41900167,2020-09-01,DEN,UTA,HOME,RND1,14
41900231,2020-09-03,DEN,LAC,AWAY,SF,1
41900231,2020-09-03,DEN,LAC,AWAY,SF,2
41900232,2020-09-05,DEN,LAC,AWAY,SF,3
41900232,2020-09-05,DEN,LAC,AWAY,SF,4
41900233,2020-09-07,DEN,LAC,HOME,SF,5
41900233,2020-09-07,DEN,LAC,HOME,SF,6
41900234,2020-09-09,DEN,LAC,HOME,SF,7
41900234,2020-09-09,DEN,LAC,HOME,SF,8
41900235,2020-09-11,DEN,LAC,AWAY,SF,9
41900235,2020-09-11,DEN,LAC,AWAY,SF,10
41900236,2020-09-13,DEN,LAC,HOME,SF,11
41900236,2020-09-13,DEN,LAC,HOME,SF,12
41900237,2020-09-15,DEN,LAC,AWAY,SF,13
41900237,2020-09-15,DEN,LAC,AWAY,SF,14
41900311,2020-09-18,DEN,LAL,AWAY,CONF,1
41900311,2020-09-18,DEN,LAL,AWAY,CONF,2
41900312,2020-09-20,DEN,LAL,AWAY,CONF,3
41900312,2020-09-20,DEN,LAL,AWAY,CONF,4
41900313,2020-09-22,DEN,LAL,HOME,CONF,5
41900313,2020-09-22,DEN,LAL,HOME,CONF,6
41900314,2020-09-24,DEN,LAL,HOME,CONF,7
41900314,2020-09-24,DEN,LAL,HOME,CONF,8
41900315,2020-09-26,DEN,LAL,AWAY,CONF,9
41900315,2020-09-26,DEN,LAL,AWAY,CONF,10
41900171,2020-08-18,HOU,OKC,HOME,RND1,1
41900171,2020-08-18,HOU,OKC,HOME,RND1,2
41900172,2020-08-20,HOU,OKC,HOME,RND1,3
41900172,2020-08-20,HOU,OKC,HOME,RND1,4
41900173,2020-08-22,HOU,OKC,AWAY,RND1,5
41900173,2020-08-22,HOU,OKC,AWAY,RND1,6
41900174,2020-08-24,HOU,OKC,AWAY,RND1,7
41900174,2020-08-24,HOU,OKC,AWAY,RND1,8
41900175,2020-08-29,HOU,OKC,HOME,RND1,9
41900175,2020-08-29,HOU,OKC,HOME,RND1,10
41900176,2020-08-31,HOU,OKC,AWAY,RND1,11
41900176,2020-08-31,HOU,OKC,AWAY,RND1,12
41900177,2020-09-02,HOU,OKC,HOME,RND1,13
41900177,2020-09-02,HOU,OKC,HOME,RND1,14
41900221,2020-09-04,HOU,LAL,AWAY,SF,1
41900221,2020-09-04,HOU,LAL,AWAY,SF,2
41900222,2020-09-06,HOU,LAL,AWAY,SF,3
41900222,2020-09-06,HOU,LAL,AWAY,SF,4
41900223,2020-09-08,HOU,LAL,HOME,SF,5
41900223,2020-09-08,HOU,LAL,HOME,SF,6
41900224,2020-09-10,HOU,LAL,HOME,SF,7
41900224,2020-09-10,HOU,LAL,HOME,SF,8
41900225,2020-09-12,HOU,LAL,AWAY,SF,9
41900225,2020-09-12,HOU,LAL,AWAY,SF,10
41900131,2020-08-18,IND,MIA,HOME,RND1,1
