season,team_id,team,team_name,game_id,game_date,matchup,wl,min,efg_pct,fta_rate,tm_tov_pct,oreb_pct,opp_efg_pct,opp_fta_rate,opp_tov_pct,opp_oreb_pct,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,efg_pct_rank,fta_rate_rank,tm_tov_pct_rank,oreb_pct_rank,opp_efg_pct_rank,opp_fta_rate_rank,opp_tov_pct_rank,opp_oreb_pct_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612747,LAL,Los Angeles Lakers,22301195,2024-04-14,LAL @ NOP,W,48.0,0.615,0.207,0.149,0.231,0.564,0.163,0.186,0.234,0,0,0,0,119,386,1608,1563,1826,1497,399,238,646,1,2023,2024,False,NOP,LAL
2023-24,1610612765,DET,Detroit Pistons,22301197,2024-04-14,DET @ SAS,L,48.0,0.435,0.217,0.139,0.276,0.621,0.154,0.14,0.273,0,0,0,0,119,2369,1489,1310,1284,2127,328,1086,1117,1,2023,2024,False,SAS,DET
2023-24,1610612750,MIN,Minnesota Timberwolves,22301194,2024-04-14,MIN vs. PHX,L,48.0,0.579,0.443,0.258,0.4,0.64,0.209,0.138,0.366,0,0,0,0,119,775,59,2458,124,2260,874,1152,2160,1,2023,2024,True,MIN,PHX
2023-24,1610612758,SAC,Sacramento Kings,22301200,2024-04-14,SAC vs. POR,W,48.0,0.569,0.31,0.141,0.319,0.352,0.173,0.182,0.412,0,0,0,0,119,897,526,1388,731,2,486,296,2359,1,2023,2024,True,SAC,POR
2023-24,1610612757,POR,Portland Trail Blazers,22301200,2024-04-14,POR @ SAC,L,48.0,0.352,0.173,0.182,0.412,0.569,0.31,0.141,0.319,0,0,0,0,119,2459,1974,2152,98,1562,1928,1054,1721,1,2023,2024,False,SAC,POR
2023-24,1610612753,ORL,Orlando Magic,22301191,2024-04-14,ORL vs. MIL,W,48.0,0.559,0.224,0.149,0.341,0.447,0.307,0.179,0.2,0,0,0,0,119,1043,1409,1585,501,161,1899,326,304,1,2023,2024,True,ORL,MIL
2023-24,1610612738,BOS,Boston Celtics,22301186,2024-04-14,BOS vs. WAS,W,48.0,0.663,0.236,0.16,0.286,0.544,0.097,0.114,0.259,0,0,0,0,119,114,1253,1823,1148,1190,49,1732,966,1,2023,2024,True,BOS,WAS
2023-24,1610612743,DEN,Denver Nuggets,22301193,2024-04-14,DEN @ MEM,W,48.0,0.584,0.292,0.175,0.391,0.49,0.18,0.126,0.333,0,0,0,0,119,685,674,2083,171,476,558,1465,1834,1,2023,2024,False,MEM,DEN
2023-24,1610612749,MIL,Milwaukee Bucks,22301191,2024-04-14,MIL @ ORL,L,48.0,0.447,0.307,0.179,0.2,0.559,0.224,0.149,0.341,0,0,0,0,119,2300,560,2127,2117,1411,1049,863,1950,1,2023,2024,False,ORL,MIL
2023-24,1610612761,TOR,Toronto Raptors,22301189,2024-04-14,TOR @ MIA,L,48.0,0.472,0.233,0.192,0.352,0.58,0.218,0.188,0.333,0,0,0,0,119,2152,1284,2275,410,1724,973,217,1834,1,2023,2024,False,MIA,TOR
2023-24,1610612740,NOP,New Orleans Pelicans,22301195,2024-04-14,NOP vs. LAL,L,48.0,0.564,0.163,0.186,0.234,0.615,0.207,0.149,0.231,0,0,0,0,119,956,2059,2217,1799,2070,845,877,624,1,2023,2024,True,NOP,LAL
2023-24,1610612760,OKC,Oklahoma City Thunder,22301196,2024-04-14,OKC vs. DAL,W,48.0,0.629,0.165,0.142,0.311,0.371,0.175,0.143,0.235,0,0,0,0,119,271,2038,1408,826,5,505,1001,664,1,2023,2024,True,OKC,DAL
2023-24,1610612756,PHX,Phoenix Suns,22301194,2024-04-14,PHX @ MIN,W,48.0,0.64,0.209,0.138,0.366,0.579,0.443,0.258,0.4,0,0,0,0,119,198,1580,1302,299,1686,2402,3,2323,1,2023,2024,False,MIN,PHX
2023-24,1610612764,WAS,Washington Wizards,22301186,2024-04-14,WAS @ BOS,L,48.0,0.544,0.097,0.114,0.259,0.663,0.236,0.16,0.286,0,0,0,0,119,1270,2411,720,1485,2347,1202,635,1278,1,2023,2024,False,BOS,WAS
2023-24,1610612744,GSW,Golden State Warriors,22301198,2024-04-14,GSW vs. UTA,W,48.0,0.553,0.245,0.09,0.294,0.596,0.18,0.2,0.333,0,0,0,0,119,1124,1143,241,1044,1895,552,113,1834,1,2023,2024,True,GSW,UTA
2023-24,1610612741,CHI,Chicago Bulls,22301190,2024-04-14,CHI @ NYK,L,53.0,0.525,0.158,0.115,0.296,0.571,0.231,0.2,0.396,0,0,0,0,17,1537,2094,745,1018,1582,1132,113,2309,1,2023,2024,False,NYK,CHI
2023-24,1610612737,ATL,Atlanta Hawks,22301188,2024-04-14,ATL @ IND,L,48.0,0.506,0.303,0.159,0.255,0.745,0.1,0.15,0.333,0,0,0,0,119,1819,582,1796,1539,2456,57,857,1834,1,2023,2024,False,IND,ATL
2023-24,1610612746,LAC,LA Clippers,22301199,2024-04-14,LAC vs. HOU,L,48.0,0.433,0.163,0.112,0.286,0.539,0.136,0.168,0.362,0,0,0,0,119,2375,2047,666,1148,1121,204,489,2132,1,2023,2024,True,LAC,HOU
2023-24,1610612752,NYK,New York Knicks,22301190,2024-04-14,NYK vs. CHI,W,53.0,0.571,0.231,0.2,0.396,0.525,0.158,0.115,0.296,0,0,0,0,17,863,1316,2328,147,924,366,1703,1437,1,2023,2024,True,NYK,CHI
2023-24,1610612759,SAS,San Antonio Spurs,22301197,2024-04-14,SAS vs. DET,W,48.0,0.621,0.154,0.14,0.273,0.435,0.217,0.139,0.276,0,0,0,0,119,331,2126,1347,1315,91,964,1130,1172,1,2023,2024,True,SAS,DET
2023-24,1610612755,PHI,Philadelphia 76ers,22301192,2024-04-14,PHI vs. BKN,W,48.0,0.5,0.156,0.14,0.328,0.44,0.205,0.131,0.113,0,0,0,0,119,1870,2111,1347,633,116,827,1333,15,1,2023,2024,True,PHI,BKN
2023-24,1610612763,MEM,Memphis Grizzlies,22301193,2024-04-14,MEM vs. DEN,L,48.0,0.49,0.18,0.126,0.333,0.584,0.292,0.175,0.391,0,0,0,0,119,1985,1903,977,563,1772,1783,374,2287,1,2023,2024,True,MEM,DEN
2023-24,1610612762,UTA,Utah Jazz,22301198,2024-04-14,UTA @ GSW,L,48.0,0.596,0.18,0.2,0.333,0.553,0.245,0.09,0.294,0,0,0,0,119,562,1904,2328,563,1333,1312,2204,1396,1,2023,2024,False,GSW,UTA
2023-24,1610612766,CHA,Charlotte Hornets,22301187,2024-04-14,CHA @ CLE,W,48.0,0.61,0.121,0.103,0.244,0.559,0.097,0.144,0.269,0,0,0,0,119,434,2340,463,1666,1419,46,968,1096,1,2023,2024,False,CLE,CHA
2023-24,1610612748,MIA,Miami Heat,22301189,2024-04-14,MIA vs. TOR,W,48.0,0.58,0.218,0.188,0.333,0.472,0.233,0.192,0.352,0,0,0,0,119,730,1483,2235,563,307,1171,175,2041,1,2023,2024,True,MIA,TOR
2023-24,1610612751,BKN,Brooklyn Nets,22301192,2024-04-14,BKN @ PHI,L,48.0,0.44,0.205,0.131,0.113,0.5,0.156,0.14,0.328,0,0,0,0,119,2344,1631,1110,2445,541,348,1086,1824,1,2023,2024,False,PHI,BKN
2023-24,1610612754,IND,Indiana Pacers,22301188,2024-04-14,IND vs. ATL,W,48.0,0.745,0.1,0.15,0.333,0.506,0.303,0.159,0.255,0,0,0,0,119,5,2402,1600,563,634,1875,664,906,1,2023,2024,True,IND,ATL
2023-24,1610612745,HOU,Houston Rockets,22301199,2024-04-14,HOU @ LAC,W,48.0,0.539,0.136,0.168,0.362,0.433,0.163,0.112,0.286,0,0,0,0,119,1340,2257,1970,324,86,413,1789,1278,1,2023,2024,False,LAC,HOU
2023-24,1610612739,CLE,Cleveland Cavaliers,22301187,2024-04-14,CLE vs. CHA,L,48.0,0.559,0.097,0.144,0.269,0.61,0.121,0.103,0.244,0,0,0,0,119,1035,2413,1478,1361,2024,119,1980,781,1,2023,2024,True,CLE,CHA
2023-24,1610612742,DAL,Dallas Mavericks,22301196,2024-04-14,DAL @ OKC,L,48.0,0.371,0.175,0.143,0.235,0.629,0.165,0.142,0.311,0,0,0,0,119,2456,1955,1419,1783,2190,423,1044,1626,1,2023,2024,False,OKC,DAL
2023-24,1610612748,MIA,Miami Heat,22301176,2024-04-12,MIA vs. TOR,W,48.0,0.622,0.267,0.071,0.205,0.545,0.286,0.175,0.195,0,0,0,0,119,321,914,77,2083,1213,1719,364,271,1,2023,2024,True,MIA,TOR
2023-24,1610612756,PHX,Phoenix Suns,22301185,2024-04-12,PHX @ SAC,W,48.0,0.605,0.224,0.202,0.25,0.516,0.154,0.074,0.235,0,0,0,0,119,473,1406,2359,1565,792,328,2353,664,1,2023,2024,False,SAC,PHX
2023-24,1610612764,WAS,Washington Wizards,22301172,2024-04-12,WAS vs. CHI,L,48.0,0.628,0.337,0.114,0.128,0.561,0.286,0.121,0.345,0,0,0,0,119,279,379,720,2427,1461,1719,1560,1976,1,2023,2024,True,WAS,CHI
2023-24,1610612754,IND,Indiana Pacers,22301174,2024-04-12,IND @ CLE,L,48.0,0.567,0.247,0.136,0.273,0.595,0.242,0.108,0.292,0,0,0,0,119,913,1111,1236,1315,1886,1279,1885,1361,1,2023,2024,False,CLE,IND
