season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612756,PHX,Phoenix Suns,22301194,2024-04-14,PHX @ MIN,W,48.0,0.663,0.337,0.496,0.112,0.384,0.104,0.12,0.28,0.384,0.484,0.516,0.813,0.188,0.596,0.404,0,0,0,0,119,497,1954,1425,429,707,1560,1749,21,1877,1686,761,1592,834,1605,848,1,2023,2024,False,MIN,PHX
2023-24,1610612759,SAS,San Antonio Spurs,22301197,2024-04-14,SAS vs. DET,W,48.0,0.626,0.374,0.553,0.033,0.366,0.211,0.081,0.171,0.52,0.588,0.412,0.867,0.133,0.673,0.327,0,0,0,0,119,957,1497,804,2098,886,166,2260,726,395,807,1639,1155,1256,821,1627,1,2023,2024,True,SAS,DET
2023-24,1610612743,DEN,Denver Nuggets,22301193,2024-04-14,DEN @ MEM,W,48.0,0.596,0.404,0.54,0.063,0.286,0.143,0.175,0.135,0.476,0.618,0.382,0.917,0.083,0.696,0.304,0,0,0,0,119,1366,1086,945,1341,1744,822,710,1335,812,599,1852,714,1665,593,1864,1,2023,2024,False,MEM,DEN
2023-24,1610612749,MIL,Milwaukee Bucks,22301191,2024-04-14,MIL @ ORL,L,48.0,0.64,0.36,0.523,0.159,0.239,0.023,0.239,0.125,0.364,0.391,0.609,1.0,0.0,0.533,0.467,0,0,0,0,119,778,1680,1138,88,2137,2428,111,1517,2048,2230,221,1,2028,2115,341,1,2023,2024,False,ORL,MIL
2023-24,1610612742,DAL,Dallas Mavericks,22301196,2024-04-14,DAL @ OKC,L,48.0,0.598,0.402,0.558,0.116,0.279,0.326,0.163,0.209,0.442,0.458,0.542,1.0,0.0,0.594,0.406,0,0,0,0,119,1333,1127,749,373,1811,5,927,307,1208,1890,561,1,2028,1649,810,1,2023,2024,False,OKC,DAL
2023-24,1610612751,BKN,Brooklyn Nets,22301192,2024-04-14,BKN @ PHI,L,48.0,0.59,0.41,0.535,0.047,0.314,0.244,0.151,0.186,0.488,0.565,0.435,0.667,0.333,0.594,0.406,0,0,0,0,119,1434,1022,997,1761,1451,53,1145,527,672,1004,1437,2225,174,1649,810,1,2023,2024,False,PHI,BKN
2023-24,1610612762,UTA,Utah Jazz,22301198,2024-04-14,UTA @ GSW,L,48.0,0.618,0.382,0.552,0.034,0.362,0.086,0.086,0.06,0.517,0.344,0.656,0.786,0.214,0.478,0.522,0,0,0,0,119,1071,1380,811,2022,930,1873,2218,2355,423,2369,86,1754,657,2339,121,1,2023,2024,False,GSW,UTA
2023-24,1610612760,OKC,Oklahoma City Thunder,22301196,2024-04-14,OKC vs. DAL,W,48.0,0.649,0.351,0.593,0.074,0.311,0.111,0.096,0.178,0.519,0.6,0.4,1.0,0.0,0.704,0.296,0,0,0,0,119,657,1801,404,1096,1480,1424,2111,640,407,689,1712,1,2028,536,1925,1,2023,2024,True,OKC,DAL
2023-24,1610612745,HOU,Houston Rockets,22301199,2024-04-14,HOU @ LAC,W,48.0,0.631,0.369,0.672,0.034,0.284,0.164,0.043,0.078,0.638,0.513,0.487,1.0,0.0,0.62,0.38,0,0,0,0,119,883,1575,74,2022,1755,575,2442,2230,15,1513,945,1,2028,1384,1072,1,2023,2024,False,LAC,HOU
2023-24,1610612752,NYK,New York Knicks,22301190,2024-04-14,NYK vs. CHI,W,53.0,0.648,0.352,0.567,0.067,0.3,0.125,0.133,0.092,0.5,0.471,0.529,0.917,0.083,0.587,0.413,0,0,0,0,17,668,1788,647,1263,1598,1143,1492,2072,541,1800,649,714,1665,1704,747,1,2023,2024,True,NYK,CHI
