season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612739,CLE,Cleveland Cavaliers,42300135,2024-04-30,CLE vs. ORL,W,48.0,17.0,11.0,19.0,42.0,8.0,6.0,7.0,30.0,0,0,0,0,7,53,86,13,90,21,14,22,6,1,2023,2024,True,CLE,ORL
2023-24,1610612755,PHI,Philadelphia 76ers,42300115,2024-04-30,PHI @ NYK,W,53.0,18.0,15.0,6.0,38.0,21.0,11.0,16.0,40.0,0,0,0,0,1,40,42,144,120,139,63,128,46,1,2023,2024,False,NYK,PHI
2023-24,1610612753,ORL,Orlando Magic,42300135,2024-04-30,ORL @ CLE,L,48.0,8.0,6.0,7.0,30.0,17.0,11.0,19.0,42.0,0,0,0,0,7,138,141,135,158,100,63,152,61,1,2023,2024,False,CLE,ORL
2023-24,1610612749,MIL,Milwaukee Bucks,42300125,2024-04-30,MIL vs. IND,W,48.0,23.0,16.0,11.0,50.0,14.0,9.0,5.0,42.0,0,0,0,0,7,11,28,91,46,79,46,8,61,1,2023,2024,True,MIL,IND
2023-24,1610612754,IND,Indiana Pacers,42300125,2024-04-30,IND @ MIL,L,48.0,14.0,9.0,5.0,42.0,23.0,16.0,11.0,50.0,0,0,0,0,7,75,110,152,90,151,124,62,116,1,2023,2024,False,MIL,IND
2023-24,1610612752,NYK,New York Knicks,42300115,2024-04-30,NYK vs. PHI,L,53.0,21.0,11.0,16.0,40.0,18.0,15.0,6.0,38.0,0,0,0,0,1,20,86,26,105,113,113,14,33,1,2023,2024,True,NYK,PHI
2023-24,1610612748,MIA,Miami Heat,42300104,2024-04-29,MIA vs. BOS,L,48.0,10.0,10.0,8.0,46.0,20.0,12.0,16.0,40.0,0,0,0,0,7,120,103,123,63,133,80,128,46,1,2023,2024,True,MIA,BOS
2023-24,1610612743,DEN,Denver Nuggets,42300155,2024-04-29,DEN vs. LAL,W,48.0,8.0,15.0,14.0,46.0,17.0,8.0,15.0,52.0,0,0,0,0,7,138,42,50,63,100,29,116,120,1,2023,2024,True,DEN,LAL
2023-24,1610612740,NOP,New Orleans Pelicans,42300144,2024-04-29,NOP vs. OKC,L,48.0,8.0,16.0,10.0,36.0,20.0,7.0,16.0,46.0,0,0,0,0,7,138,28,104,133,133,25,128,85,1,2023,2024,True,NOP,OKC
2023-24,1610612738,BOS,Boston Celtics,42300104,2024-04-29,BOS @ MIA,W,48.0,20.0,12.0,16.0,40.0,10.0,10.0,8.0,46.0,0,0,0,0,7,27,73,26,105,36,56,31,85,1,2023,2024,False,MIA,BOS
2023-24,1610612747,LAL,Los Angeles Lakers,42300155,2024-04-29,LAL @ DEN,L,48.0,17.0,8.0,15.0,52.0,8.0,15.0,14.0,46.0,0,0,0,0,7,53,120,38,33,21,113,100,85,1,2023,2024,False,DEN,LAL
2023-24,1610612760,OKC,Oklahoma City Thunder,42300144,2024-04-29,OKC @ NOP,W,48.0,20.0,7.0,16.0,46.0,8.0,16.0,10.0,36.0,0,0,0,0,7,27,137,26,63,21,124,49,20,1,2023,2024,False,NOP,OKC
2023-24,1610612746,LAC,LA Clippers,42300174,2024-04-28,LAC @ DAL,W,48.0,23.0,6.0,12.0,46.0,10.0,15.0,12.0,42.0,0,0,0,0,7,11,141,77,63,36,113,75,61,1,2023,2024,False,DAL,LAC
