season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pct_fga_2pt,pct_fga_3pt,pct_pts_2pt,pct_pts_2pt_mr,pct_pts_3pt,pct_pts_fb,pct_pts_ft,pct_pts_off_tov,pct_pts_paint,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pct_fga_2pt_rank,pct_fga_3pt_rank,pct_pts_2pt_rank,pct_pts_2pt_mr_rank,pct_pts_3pt_rank,pct_pts_fb_rank,pct_pts_ft_rank,pct_pts_off_tov_rank,pct_pts_paint_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,available_flag,season_start,season_end,is_home,home,away,MON
2023-24,1610612760,OKC,Oklahoma City Thunder,22301196,2024-04-14,OKC vs. DAL,W,48.0,0.649,0.351,0.593,0.074,0.311,0.111,0.096,0.178,0.519,0.6,0.4,1.0,0.0,0.704,0.296,0,0,0,0,119,657,1801,404,1096,1480,1424,2111,640,407,689,1712,1,2028,536,1925,1,2023,2024,True,OKC,DAL,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301179,2024-04-12,OKC vs. MIL,W,48.0,0.573,0.427,0.544,0.08,0.312,0.12,0.144,0.2,0.464,0.471,0.529,1.0,0.0,0.617,0.383,0,0,0,0,119,1677,779,905,954,1465,1255,1286,383,942,1800,649,1,2028,1411,1042,1,2023,2024,True,OKC,MIL,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301163,2024-04-10,OKC vs. SAS,W,48.0,0.624,0.376,0.488,0.094,0.378,0.26,0.134,0.22,0.394,0.645,0.355,0.813,0.188,0.702,0.298,0,0,0,0,119,993,1466,1535,682,773,30,1482,210,1775,407,2036,1592,834,546,1907,1,2023,2024,True,OKC,SAS,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301153,2024-04-09,OKC vs. SAC,W,48.0,0.625,0.375,0.5,0.125,0.295,0.116,0.205,0.134,0.375,0.429,0.571,0.818,0.182,0.538,0.462,0,0,0,0,119,971,1469,1361,279,1671,1333,335,1355,1960,2039,400,1517,870,2083,366,1,2023,2024,True,OKC,SAC,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301135,2024-04-07,OKC @ CHA,W,48.0,0.586,0.414,0.446,0.033,0.446,0.157,0.107,0.223,0.413,0.593,0.407,0.944,0.056,0.733,0.267,0,0,0,0,119,1485,963,1966,2079,261,648,1957,195,1563,768,1665,453,1991,331,2123,1,2023,2024,False,CHA,OKC,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301116,2024-04-05,OKC @ IND,L,48.0,0.651,0.349,0.607,0.054,0.214,0.152,0.179,0.188,0.554,0.5,0.5,0.875,0.125,0.571,0.429,0,0,0,0,119,628,1826,304,1574,2260,714,646,510,197,1520,805,1082,1307,1830,591,1,2023,2024,False,IND,OKC,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301105,2024-04-03,OKC @ BOS,L,48.0,0.704,0.296,0.6,0.06,0.15,0.11,0.25,0.13,0.54,0.567,0.433,0.8,0.2,0.6,0.4,0,0,0,0,119,165,2294,348,1416,2422,1454,64,1437,277,983,1458,1631,724,1557,859,1,2023,2024,False,BOS,OKC,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301093,2024-04-02,OKC @ PHI,L,48.0,0.552,0.448,0.457,0.095,0.371,0.095,0.171,0.219,0.362,0.708,0.292,1.0,0.0,0.811,0.189,0,0,0,0,119,1916,540,1855,670,833,1712,768,225,2069,153,2300,1,2028,53,2407,1,2023,2024,False,PHI,OKC,APR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301082,2024-03-31,OKC @ NYK,W,48.0,0.585,0.415,0.549,0.159,0.345,0.177,0.106,0.195,0.389,0.548,0.452,0.923,0.077,0.659,0.341,0,0,0,0,119,1500,952,844,87,1082,411,1976,437,1827,1149,1289,644,1749,956,1490,1,2023,2024,False,NYK,OKC,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301069,2024-03-29,OKC vs. PHX,W,48.0,0.655,0.345,0.516,0.094,0.375,0.117,0.109,0.117,0.422,0.515,0.485,1.0,0.0,0.673,0.327,0,0,0,0,119,579,1872,1213,697,784,1309,1933,1669,1455,1480,970,1,2028,821,1627,1,2023,2024,True,OKC,PHX,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301057,2024-03-27,OKC vs. HOU,L,53.0,0.604,0.396,0.524,0.048,0.333,0.143,0.143,0.19,0.476,0.424,0.576,0.857,0.143,0.553,0.447,0,0,0,0,17,1259,1199,1122,1733,1207,822,1294,480,812,2063,388,1208,1159,1991,462,1,2023,2024,True,OKC,HOU,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301046,2024-03-26,OKC @ NOP,W,48.0,0.605,0.395,0.521,0.084,0.378,0.109,0.101,0.143,0.437,0.484,0.516,0.867,0.133,0.609,0.391,0,0,0,0,119,1244,1210,1158,870,767,1460,2054,1166,1255,1686,761,1155,1256,1497,957,1,2023,2024,False,NOP,OKC,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301030,2024-03-24,OKC @ MIL,L,48.0,0.517,0.483,0.495,0.151,0.323,0.129,0.183,0.194,0.344,0.435,0.565,1.0,0.0,0.606,0.394,0,0,0,0,119,2202,255,1482,124,1351,1074,594,447,2186,2011,442,1,2028,1508,947,1,2023,2024,False,MIL,OKC,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301012,2024-03-22,OKC @ TOR,W,48.0,0.663,0.337,0.585,0.065,0.293,0.195,0.122,0.301,0.52,0.472,0.528,0.833,0.167,0.563,0.438,0,0,0,0,119,477,1977,463,1308,1689,261,1710,7,395,1793,662,1385,973,1925,528,1,2023,2024,False,TOR,OKC,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22301000,2024-03-20,OKC vs. UTA,W,48.0,0.614,0.386,0.555,0.084,0.252,0.294,0.193,0.16,0.471,0.636,0.364,0.8,0.2,0.674,0.326,0,0,0,0,119,1128,1325,787,870,2058,11,465,894,869,467,1983,1631,724,785,1654,1,2023,2024,True,OKC,UTA,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22300972,2024-03-16,OKC @ MEM,W,48.0,0.598,0.402,0.559,0.186,0.305,0.169,0.136,0.153,0.373,0.394,0.606,1.0,0.0,0.556,0.444,0,0,0,0,119,1341,1113,730,35,1553,496,1445,1003,1981,2210,247,1,2028,1972,471,1,2023,2024,False,MEM,OKC,MAR
2023-24,1610612760,OKC,Oklahoma City Thunder,22300959,2024-03-14,OKC vs. DAL,W,48.0,0.547,0.453,0.46,0.127,0.381,0.143,0.159,0.27,0.333,0.448,0.552,0.938,0.063,0.622,0.378,0,0,0,0,119,1960,494,1814,267,741,822,998,33,2240,1947,501,497,1921,1347,1098,1,2023,2024,True,OKC,DAL,MAR
