season,team_id,game_id,game_date,away_team,home_team,opponent_id,game_no,pf,opp_pf,wl,differential
2015-16,1610612757,21500453,2015-12-26,CLE,POR,1610612739,32,105,76,W,29
2015-16,1610612757,21500457,2015-12-27,POR,SAC,1610612758,33,98,94,W,4
2015-16,1610612757,21500482,2015-12-30,DEN,POR,1610612743,34,110,103,W,7
2015-16,1610612757,21500489,2015-12-31,POR,UTA,1610612762,35,96,109,L,-13
2015-16,1610612757,21500509,2016-01-03,POR,DEN,1610612743,36,112,106,W,6
2015-16,1610612757,21500519,2016-01-04,MEM,POR,1610612763,37,78,91,L,-13
2015-16,1610612757,21500535,2016-01-06,LAC,POR,1610612746,38,98,109,L,-11
2015-16,1610612757,21500548,2016-01-08,GSW,POR,1610612744,39,108,128,L,-20
2015-16,1610612757,21500564,2016-01-10,OKC,POR,1610612760,40,115,110,W,5
2015-16,1610612757,21500584,2016-01-13,UTA,POR,1610612762,41,99,85,W,14
2015-16,1610612757,21500596,2016-01-15,POR,BKN,1610612751,42,116,104,W,12
2015-16,1610612757,21500606,2016-01-16,POR,PHI,1610612755,43,89,114,L,-25
2015-16,1610612757,21500617,2016-01-18,POR,WAS,1610612764,44,108,98,W,10
2015-16,1610612757,21500639,2016-01-20,ATL,POR,1610612737,45,98,104,L,-6
2015-16,1610612757,21500662,2016-01-23,LAL,POR,1610612747,46,121,103,W,18
2015-16,1610612757,21500682,2016-01-26,SAC,POR,1610612758,47,112,97,W,15
2015-16,1610612757,21500705,2016-01-29,CHA,POR,1610612766,48,109,91,W,18
2015-16,1610612757,21500719,2016-01-31,MIN,POR,1610612750,49,96,93,W,3
2015-16,1610612757,21500733,2016-02-02,MIL,POR,1610612749,50,107,95,W,12
2015-16,1610612757,21500748,2016-02-04,TOR,POR,1610612761,51,103,110,L,-7
2015-16,1610612757,21500760,2016-02-06,POR,HOU,1610612745,52,96,79,W,17
2015-16,1610612757,21500781,2016-02-08,POR,MEM,1610612763,53,112,106,W,6
2015-16,1610612757,21500800,2016-02-10,HOU,POR,1610612745,54,116,103,W,13
2015-16,1610612757,21500815,2016-02-19,GSW,POR,1610612744,55,137,105,W,32
2015-16,1610612757,21500832,2016-02-21,UTA,POR,1610612762,56,115,111,W,4
2015-16,1610612757,21500844,2016-02-23,BKN,POR,1610612751,57,112,104,W,8
2015-16,1610612757,21500859,2016-02-25,HOU,POR,1610612745,58,105,119,L,-14
2015-16,1610612757,21500871,2016-02-27,POR,CHI,1610612741,59,103,95,W,8
2015-16,1610612757,21500880,2016-02-28,POR,IND,1610612754,60,111,102,W,9
2015-16,1610612757,21500893,2016-03-01,POR,NYK,1610612752,61,104,85,W,19
2015-16,1610612757,21500899,2016-03-02,POR,BOS,1610612738,62,93,116,L,-23
2015-16,1610612757,21500916,2016-03-04,POR,TOR,1610612761,63,115,117,L,-2
2015-16,1610612757,21500934,2016-03-06,POR,DET,1610612765,64,103,123,L,-20
2015-16,1610612757,21500948,2016-03-08,WAS,POR,1610612764,65,116,109,W,7
2015-16,1610612757,21500971,2016-03-11,POR,GSW,1610612744,66,112,128,L,-16
2015-16,1610612757,21500982,2016-03-12,ORL,POR,1610612753,67,121,84,W,37
2015-16,1610612757,21500993,2016-03-14,POR,OKC,1610612760,68,94,128,L,-34
2015-16,1610612757,21501018,2016-03-17,POR,SAS,1610612759,69,110,118,L,-8
2015-16,1610612757,21501025,2016-03-18,POR,NOP,1610612740,70,117,112,W,5
2015-16,1610612757,21501037,2016-03-20,POR,DAL,1610612742,71,120,132,L,-12
