season,team_id,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2015-16,1610612757,41500171,2016-04-17,POR,LAC,1610612746,95,115,L,-20,rnd1,1
2015-16,1610612757,41500172,2016-04-20,POR,LAC,1610612746,81,102,L,-21,rnd1,2
2015-16,1610612757,41500173,2016-04-23,LAC,POR,1610612746,96,88,W,8,rnd1,3
2015-16,1610612757,41500174,2016-04-25,LAC,POR,1610612746,98,84,W,14,rnd1,4
2015-16,1610612757,41500175,2016-04-27,POR,LAC,1610612746,108,98,W,10,rnd1,5
2015-16,1610612757,41500176,2016-04-29,LAC,POR,1610612746,106,103,W,3,rnd1,6
2015-16,1610612757,41500221,2016-05-01,POR,GSW,1610612744,106,118,L,-12,sf,1
2015-16,1610612757,41500222,2016-05-03,POR,GSW,1610612744,99,110,L,-11,sf,2
2015-16,1610612757,41500223,2016-05-07,GSW,POR,1610612744,120,108,W,12,sf,3
2015-16,1610612757,41500224,2016-05-09,GSW,POR,1610612744,125,132,L,-7,sf,4
2015-16,1610612757,41500225,2016-05-11,POR,GSW,1610612744,121,125,L,-4,sf,5
