close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fg2m,fg2a,fg2_pct,ns_fg2_pct,plusminus
202326,DeMarcus Cousins,1610612758,SAC,C-F,25.0,64,64,0.828,6.55,13.95,0.469,0.496,-0.027
201585,Kosta Koufos,1610612758,SAC,C,27.0,77,77,0.857,3.9,8.06,0.483,0.498,-0.015
200752,Rudy Gay,1610612758,SAC,F,29.0,69,69,0.637,3.9,7.74,0.504,0.493,0.011
1626161,Willie Cauley-Stein,1610612758,SAC,C,22.0,65,64,0.702,3.32,6.66,0.499,0.493,0.006
201956,Omri Casspi,1610612758,SAC,F,28.0,68,68,0.653,3.24,5.82,0.556,0.492,0.063
200765,Rajon Rondo,1610612758,SAC,G,30.0,71,71,0.567,3.1,5.66,0.547,0.48,0.067
201954,Darren Collison,1610612758,SAC,G,28.0,73,73,0.573,2.58,4.89,0.527,0.478,0.048
203463,Ben McLemore,1610612758,SAC,G,23.0,67,65,0.608,2.55,4.73,0.539,0.484,0.055
203112,Quincy Acy,1610612758,SAC,F,25.0,56,54,0.743,2.36,4.64,0.508,0.5,0.008
202341,James Anderson,1610612758,SAC,G-F,27.0,44,39,0.684,1.84,4.18,0.44,0.493,-0.053
1626251,Duje Dukan,1610612758,SAC,F,24.0,1,1,0.444,3.0,4.0,0.75,0.52,0.23
201158,Marco Belinelli,1610612758,SAC,G-F,30.0,67,66,0.568,2.22,3.99,0.558,0.486,0.072
203552,Seth Curry,1610612758,SAC,G,25.0,40,36,0.605,1.73,3.38,0.511,0.479,0.032
203961,Eric Moreland,1610612758,SAC,F-C,24.0,5,5,0.8,1.2,3.2,0.375,0.496,-0.121
2406,Caron Butler,1610612758,SAC,F,36.0,13,13,0.596,1.46,2.38,0.613,0.497,0.116
