close_def_person_id,player,team_id,team,pos,age,gp,g,freq,fgm_gt_15,fga_gt_15,gt_15_pct,ns_gt_15_pct,plusminus
203468,CJ McCollum,1610612757,POR,G,24.0,80,80,0.605,2.76,6.9,0.4,0.372,0.028
203081,Damian Lillard,1610612757,POR,G,25.0,75,75,0.579,2.68,6.79,0.395,0.376,0.019
203086,Meyers Leonard,1610612757,POR,F-C,24.0,60,58,0.498,2.07,5.47,0.378,0.376,0.002
202329,Al-Farouq Aminu,1610612757,POR,F,25.0,82,79,0.493,1.72,4.52,0.38,0.371,0.009
203459,Allen Crabbe,1610612757,POR,G,24.0,81,79,0.599,1.64,4.35,0.378,0.373,0.004
201945,Gerald Henderson,1610612757,POR,G,28.0,70,67,0.619,1.64,3.5,0.469,0.367,0.103
203090,Maurice Harkless,1610612757,POR,F,23.0,74,68,0.536,1.22,3.39,0.359,0.364,-0.005
202334,Ed Davis,1610612757,POR,F-C,27.0,81,71,0.304,0.94,2.62,0.358,0.375,-0.017
203486,Mason Plumlee,1610612757,POR,C-F,26.0,82,71,0.242,1.1,2.62,0.419,0.384,0.035
203515,Phil Pressey,1610612757,POR,G,25.0,20,17,0.573,0.8,2.35,0.34,0.362,-0.021
203148,Brian Roberts,1610612757,POR,G,30.0,44,39,0.558,0.82,2.18,0.375,0.373,0.002
203943,Noah Vonleh,1610612757,POR,F,20.0,77,63,0.379,0.79,2.06,0.384,0.376,0.007
1626192,Pat Connaughton,1610612757,POR,G,23.0,19,16,0.674,0.47,1.53,0.31,0.366,-0.055
2549,Chris Kaman,1610612757,POR,C,34.0,15,9,0.489,0.53,1.53,0.348,0.387,-0.039
1626146,Cliff Alexander,1610612757,POR,F,20.0,6,5,0.5,0.33,1.33,0.25,0.355,-0.105
1626242,Luis Montero,1610612757,POR,G,23.0,6,5,0.667,0.67,1.0,0.667,0.411,0.256
