season,team_id,team,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,tov,stl,blk,blka,pf,pfd,pts,plus_minus,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,ftm_rank,fta_rank,ft_pct_rank,oreb_rank,dreb_rank,reb_rank,ast_rank,tov_rank,stl_rank,blk_rank,blka_rank,pf_rank,pfd_rank,pts_rank,plus_minus_rank,available_flag,season_start,season_end
2019-20,1610612754,IND,Indiana Pacers,21901316,2020-08-14T00:00:00,IND vs. MIA,W,48.0,32.3,66.8,0.483,11.3,28.5,0.395,6.0,8.3,0.727,9.0,29.3,38.3,24.0,15.0,8.3,2.3,3.8,20.3,11.3,81.8,12.8,1,1,1,1,139,583,878,711,394,512,679,2014,2018,1449,515,362,311,94,1882,204,1447,1028,1937,1877,1142,210,1,2019,2020
2019-20,1610612743,DEN,Denver Nuggets,21901318,2020-08-14T00:00:00,DEN @ TOR,L,48.0,27.0,65.3,0.414,12.0,28.5,0.421,15.8,17.3,0.913,6.8,24.0,30.8,20.3,12.0,6.8,8.3,3.8,11.3,18.0,81.8,-6.0,1,1060,1060,1060,139,1694,1128,1696,283,512,478,553,954,137,1152,1352,1419,531,1314,518,22,1028,152,387,1142,1486,1,2019,2020
2019-20,1610612761,TOR,Toronto Raptors,21901318,2020-08-14T00:00:00,TOR vs. DEN,W,48.0,33.8,67.5,0.5,13.5,26.3,0.514,6.8,10.5,0.643,9.8,28.5,38.3,20.3,14.3,6.0,3.8,8.3,18.0,11.3,87.8,6.0,1,1,1,1,139,345,766,492,112,823,68,1949,1862,1888,349,462,311,531,1783,769,782,2074,1618,1877,612,568,1,2019,2020
2019-20,1610612745,HOU,Houston Rockets,21901315,2020-08-14T00:00:00,HOU vs. PHI,L,48.0,26.3,60.0,0.438,9.0,36.0,0.25,10.5,12.0,0.875,0.8,19.5,20.3,18.8,12.8,7.5,6.8,3.0,13.5,14.3,72.0,-28.5,1,1060,1060,1060,139,1798,1873,1379,958,47,1890,1450,1702,297,2116,1989,2113,804,1495,343,99,691,507,1289,1882,2103,1,2019,2020
2019-20,1610612755,PHI,Philadelphia 76ers,21901315,2020-08-14T00:00:00,PHI @ HOU,W,48.0,36.8,65.3,0.563,13.5,28.5,0.474,13.5,16.5,0.818,6.0,32.3,38.3,23.3,12.0,6.0,3.0,6.8,14.3,13.5,100.5,28.5,1,1,1,1,139,97,1128,68,112,512,181,922,1087,691,1393,122,311,146,1314,769,1112,1955,668,1463,64,16,1,2019,2020
2019-20,1610612760,OKC,Oklahoma City Thunder,21901317,2020-08-14T00:00:00,OKC @ LAC,L,53.0,25.8,72.0,0.358,9.5,29.9,0.318,8.8,14.9,0.591,7.5,25.1,32.6,12.2,10.9,3.4,4.1,1.4,19.7,14.9,70.0,-2.7,1,1060,1060,1060,13,1876,203,2058,942,414,1419,1783,1395,2025,1121,1197,1169,2013,1093,1812,762,134,1929,1262,1973,1220,1,2019,2020
2019-20,1610612746,LAC,LA Clippers,21901317,2020-08-14T00:00:00,LAC vs. OKC,W,53.0,23.1,57.7,0.4,8.2,25.1,0.324,18.3,26.5,0.692,8.2,33.3,41.4,15.6,15.6,6.8,1.4,4.1,14.9,19.7,72.7,2.7,1,1,1,1,13,2073,2045,1836,1370,1071,1354,304,101,1658,894,92,113,1627,1960,503,1977,1338,842,183,1879,890,1,2019,2020
2019-20,1610612748,MIA,Miami Heat,21901316,2020-08-14T00:00:00,MIA @ IND,L,48.0,23.3,65.3,0.356,7.5,28.5,0.263,15.0,20.3,0.741,10.5,25.5,36.0,10.5,14.3,4.5,3.8,2.3,11.3,20.3,69.0,-12.8,1,1060,1060,1060,139,2054,1128,2064,1381,512,1834,663,554,1334,219,1048,548,2084,1783,1333,782,372,152,126,1991,1884,1,2019,2020
2019-20,1610612764,WAS,Washington Wizards,21901308,2020-08-13T00:00:00,WAS @ BOS,W,48.0,25.5,66.0,0.386,7.5,19.5,0.385,13.5,18.0,0.75,13.5,28.5,42.0,16.5,13.5,8.3,4.5,5.3,14.3,14.3,72.0,4.5,1,1,1,1,139,1880,1019,1942,1381,1809,783,922,849,1227,27,462,81,1336,1658,204,513,1620,668,1289,1882,714,1,2019,2020
2019-20,1610612749,MIL,Milwaukee Bucks,21901311,2020-08-13T00:00:00,MIL @ MEM,L,48.0,29.3,73.5,0.398,9.8,30.8,0.317,11.3,17.3,0.652,6.8,27.0,33.8,20.3,11.3,6.0,2.3,2.3,16.5,13.5,79.5,-9.8,1,1060,1060,1060,139,1224,114,1851,746,293,1429,1308,954,1847,1152,709,917,531,1109,769,1447,372,1267,1463,1351,1749,1,2019,2020
