season,team_id,team,team_name,game_id,game_date,matchup,wl,min,pts_off_tov,pts_2nd_chance,pts_fb,pts_paint,opp_pts_off_tov,opp_pts_2nd_chance,opp_pts_fb,opp_pts_paint,gp_rank,w_rank,l_rank,w_pct_rank,min_rank,pts_off_tov_rank,pts_2nd_chance_rank,pts_fb_rank,pts_paint_rank,opp_pts_off_tov_rank,opp_pts_2nd_chance_rank,opp_pts_fb_rank,opp_pts_paint_rank,available_flag,season_start,season_end,is_home,home,away
2023-24,1610612762,UTA,Utah Jazz,22300850,2024-02-29,UTA @ ORL,L,48.0,25.0,14.0,18.0,30.0,18.0,9.0,13.0,56.0,0,0,0,0,119,209,1062,600,2415,1452,466,1013,1663,1,2023,2024,False,ORL,UTA
2023-24,1610612764,WAS,Washington Wizards,22300856,2024-02-29,WAS @ LAL,L,53.0,16.0,17.0,19.0,62.0,14.0,13.0,13.0,84.0,0,0,0,0,17,1148,602,492,255,817,1070,1013,2455,1,2023,2024,False,LAL,WAS
2023-24,1610612749,MIL,Milwaukee Bucks,22300849,2024-02-29,MIL @ CHA,W,48.0,18.0,12.0,13.0,46.0,9.0,15.0,5.0,38.0,0,0,0,0,119,847,1392,1281,1528,209,1400,100,229,1,2023,2024,False,CHA,MIL
2023-24,1610612748,MIA,Miami Heat,22300855,2024-02-29,MIA @ DEN,L,48.0,12.0,11.0,12.0,48.0,15.0,13.0,9.0,40.0,0,0,0,0,119,1810,1550,1449,1342,980,1070,425,339,1,2023,2024,False,DEN,MIA
2023-24,1610612737,ATL,Atlanta Hawks,22300851,2024-02-29,ATL @ BKN,L,48.0,14.0,14.0,14.0,48.0,25.0,15.0,12.0,40.0,0,0,0,0,119,1482,1062,1124,1342,2195,1400,861,339,1,2023,2024,False,BKN,ATL
2023-24,1610612751,BKN,Brooklyn Nets,22300851,2024-02-29,BKN vs. ATL,W,48.0,25.0,15.0,12.0,40.0,14.0,14.0,14.0,48.0,0,0,0,0,119,209,888,1449,1993,817,1229,1181,934,1,2023,2024,True,BKN,ATL
2023-24,1610612752,NYK,New York Knicks,22300852,2024-02-29,NYK vs. GSW,L,48.0,12.0,16.0,14.0,44.0,14.0,9.0,18.0,58.0,0,0,0,0,119,1810,730,1124,1700,817,466,1755,1826,1,2023,2024,True,NYK,GSW
2023-24,1610612745,HOU,Houston Rockets,22300854,2024-02-29,HOU @ PHX,L,48.0,13.0,13.0,18.0,36.0,21.0,7.0,10.0,30.0,0,0,0,0,119,1645,1233,600,2233,1879,222,565,28,1,2023,2024,False,PHX,HOU
2023-24,1610612766,CHA,Charlotte Hornets,22300849,2024-02-29,CHA vs. MIL,L,48.0,9.0,15.0,5.0,38.0,18.0,12.0,13.0,46.0,0,0,0,0,119,2163,888,2315,2123,1452,912,1013,762,1,2023,2024,True,CHA,MIL
2023-24,1610612756,PHX,Phoenix Suns,22300854,2024-02-29,PHX vs. HOU,W,48.0,21.0,7.0,10.0,30.0,13.0,13.0,18.0,36.0,0,0,0,0,119,493,2141,1764,2415,652,1070,1755,150,1,2023,2024,True,PHX,HOU
